r,l,f,y,Demand
RE1,SummerDay,ELC002,2020,45.036
RE1,SummerDay,ELC002,2021,48.372
RE1,SummerDay,ELC002,2022,52.542
RE1,SummerDay,ELC002,2023,56.99
RE1,SummerDay,ELC002,2024,61.438
RE1,SummerDay,ELC002,2025,66.164
RE1,SummerDay,ELC002,2026,71.446
RE1,SummerDay,ELC002,2027,76.728
RE1,SummerDay,ELC002,2028,82.288
RE1,SummerDay,ELC002,2029,88.404
RE1,SummerDay,ELC002,2030,94.798
RE1,SummerDay,ELC002,2031,101.47
RE1,SummerDay,ELC002,2032,108.698
RE1,SummerDay,ELC002,2033,116.204
RE1,SummerDay,ELC002,2034,124.266
RE1,SummerDay,ELC002,2035,132.606
RE1,SummerDay,PUBWAT,2020,0.4251
RE1,SummerDay,PUBWAT,2021,0.4552
RE1,SummerDay,PUBWAT,2022,0.4869
RE1,SummerDay,PUBWAT,2023,0.5195
RE1,SummerDay,PUBWAT,2024,0.5534
RE1,SummerDay,PUBWAT,2025,0.589
RE1,SummerDay,PUBWAT,2026,0.6259
RE1,SummerDay,PUBWAT,2027,0.6641
RE1,SummerDay,PUBWAT,2028,0.7044
RE1,SummerDay,PUBWAT,2029,0.746
RE1,SummerDay,PUBWAT,2030,0.7898
RE1,SummerDay,PUBWAT,2031,0.8353
RE1,SummerDay,PUBWAT,2032,0.8825
RE1,SummerDay,PUBWAT,2033,0.9318
RE1,SummerDay,PUBWAT,2034,0.9833
RE1,SummerDay,PUBWAT,2035,1.0373
RE1,SummerNight,ELC002,2020,22.842
RE1,SummerNight,ELC002,2021,24.534
RE1,SummerNight,ELC002,2022,26.649
RE1,SummerNight,ELC002,2023,28.905
RE1,SummerNight,ELC002,2024,31.161
RE1,SummerNight,ELC002,2025,33.558
RE1,SummerNight,ELC002,2026,36.237
RE1,SummerNight,ELC002,2027,38.916
RE1,SummerNight,ELC002,2028,41.736
RE1,SummerNight,ELC002,2029,44.838
RE1,SummerNight,ELC002,2030,48.081
RE1,SummerNight,ELC002,2031,51.465
RE1,SummerNight,ELC002,2032,55.131
RE1,SummerNight,ELC002,2033,58.938
RE1,SummerNight,ELC002,2034,63.027
RE1,SummerNight,ELC002,2035,67.257
RE1,SummerNight,PUBWAT,2020,0.0714
RE1,SummerNight,PUBWAT,2021,0.0764
RE1,SummerNight,PUBWAT,2022,0.0817
RE1,SummerNight,PUBWAT,2023,0.0872
RE1,SummerNight,PUBWAT,2024,0.0929
RE1,SummerNight,PUBWAT,2025,0.0989
RE1,SummerNight,PUBWAT,2026,0.105
RE1,SummerNight,PUBWAT,2027,0.1115
RE1,SummerNight,PUBWAT,2028,0.1182
RE1,SummerNight,PUBWAT,2029,0.1252
RE1,SummerNight,PUBWAT,2030,0.1326
RE1,SummerNight,PUBWAT,2031,0.1402
RE1,SummerNight,PUBWAT,2032,0.1481
RE1,SummerNight,PUBWAT,2033,0.1564
RE1,SummerNight,PUBWAT,2034,0.165
RE1,SummerNight,PUBWAT,2035,0.1741
RE1,S21,ELC002,2020,66.42
RE1,S21,ELC002,2021,71.34
RE1,S21,ELC002,2022,77.49
RE1,S21,ELC002,2023,84.05
RE1,S21,ELC002,2024,90.61
RE1,S21,ELC002,2025,97.58
RE1,S21,ELC002,2026,105.37
RE1,S21,ELC002,2027,113.16
RE1,S21,ELC002,2028,121.36
RE1,S21,ELC002,2029,130.38
RE1,S21,ELC002,2030,139.81
RE1,S21,ELC002,2031,149.65
RE1,S21,ELC002,2032,160.31
RE1,S21,ELC002,2033,171.38
RE1,S21,ELC002,2034,183.27
RE1,S21,ELC002,2035,195.57
RE1,S21,PUBWAT,2020,0.436
