r,t,e,y,AnnualTechnologyEmission
RE1,LNDRICIRR,CH4,2033,0.0143
RE1,LNDRICIRR,CH4,2034,0.0145
RE1,LNDRICIRR,CH4,2035,0.0148
RE1,LNDFOR,CO2EQ,2020,-292.1472
RE1,LNDFOR,CO2EQ,2021,259.3728
RE1,LNDFOR,CO2EQ,2022,181.282
RE1,LNDFOR,CO2EQ,2023,370.1518
RE1,LNDFOR,CO2EQ,2024,-1888.3952
RE1,LNDFOR,CO2EQ,2025,-281.7425
RE1,LNDFOR,CO2EQ,2026,-288.2877
RE1,LNDFOR,CO2EQ,2027,-282.5856
RE1,LNDFOR,CO2EQ,2028,-286.5543
RE1,LNDFOR,CO2EQ,2029,-280.9156
RE1,LNDFOR,CO2EQ,2030,-280.5577
RE1,LNDFOR,CO2EQ,2031,-276.5543
RE1,LNDFOR,CO2EQ,2032,-270.6934
RE1,LNDFOR,CO2EQ,2033,-270.2315
RE1,LNDFOR,CO2EQ,2034,-275.3346
RE1,LNDFOR,CO2EQ,2035,-269.3506
RE1,DEMAGRDSL,CO2EQ,2020,0.1509
RE1,DEMAGRDSL,CO2EQ,2021,0.1572
RE1,DEMAGRDSL,CO2EQ,2022,0.1635
RE1,DEMAGRDSL,CO2EQ,2023,0.1698
RE1,DEMAGRDSL,CO2EQ,2024,0.1761
RE1,DEMAGRDSL,CO2EQ,2025,0.1834
RE1,DEMAGRDSL,CO2EQ,2026,0.1898
RE1,DEMAGRDSL,CO2EQ,2027,0.1963
RE1,DEMAGRDSL,CO2EQ,2028,0.2037
RE1,DEMAGRDSL,CO2EQ,2029,0.2111
RE1,DEMAGRDSL,CO2EQ,2030,0.2186
RE1,DEMAGRDSL,CO2EQ,2031,0.2242
RE1,DEMAGRDSL,CO2EQ,2032,0.2299
RE1,DEMAGRDSL,CO2EQ,2033,0.2356
RE1,DEMAGRDSL,CO2EQ,2034,0.2413
RE1,DEMAGRDSL,CO2EQ,2035,0.2471
RE1,DEMAGRDSL,CO2,2020,0.1503
RE1,DEMAGRDSL,CO2,2021,0.1565
RE1,DEMAGRDSL,CO2,2022,0.1628
RE1,DEMAGRDSL,CO2,2023,0.1691
RE1,DEMAGRDSL,CO2,2024,0.1754
RE1,DEMAGRDSL,CO2,2025,0.1826
RE1,DEMAGRDSL,CO2,2026,0.189
RE1,DEMAGRDSL,CO2,2027,0.1955
RE1,DEMAGRDSL,CO2,2028,0.2029
RE1,DEMAGRDSL,CO2,2029,0.2103
RE1,DEMAGRDSL,CO2,2030,0.2177
RE1,DEMAGRDSL,CO2,2031,0.2233
RE1,DEMAGRDSL,CO2,2032,0.229
RE1,DEMAGRDSL,CO2,2033,0.2346
RE1,DEMAGRDSL,CO2,2034,0.2403
RE1,DEMAGRDSL,CO2,2035,0.2461
RE1,DEMTRABIO,CO2EQ,2020,0.0863
RE1,DEMTRABIO,CO2EQ,2021,0.0888
RE1,DEMTRABIO,CO2EQ,2022,0.0914
RE1,DEMTRABIO,CO2EQ,2023,0.094
RE1,DEMTRABIO,CO2EQ,2024,0.0966
RE1,DEMTRABIO,CO2EQ,2025,0.1001
RE1,DEMTRABIO,CO2EQ,2026,0.1026
RE1,DEMTRABIO,CO2EQ,2027,0.1052
RE1,DEMTRABIO,CO2EQ,2028,0.1087
RE1,DEMTRABIO,CO2EQ,2029,0.1121
RE1,DEMTRABIO,CO2EQ,2030,0.1156
RE1,DEMTRABIO,CO2EQ,2031,0.119
RE1,DEMTRABIO,CO2EQ,2032,0.1225
RE1,DEMTRABIO,CO2EQ,2033,0.1259
RE1,DEMTRABIO,CO2EQ,2034,0.1294
RE1,DEMTRABIO,CO2EQ,2035,0.1328
RE1,DEMTRABIO,CO2,2020,0.0839
RE1,DEMTRABIO,CO2,2021,0.0864
RE1,DEMTRABIO,CO2,2022,0.0889
RE1,DEMTRABIO,CO2,2023,0.0914
RE1,DEMTRABIO,CO2,2024,0.094
RE1,DEMTRABIO,CO2,2025,0.0973
RE1,DEMTRABIO,CO2,2026,0.0998
RE1,DEMTRABIO,CO2,2027,0.1023
RE1,DEMTRABIO,CO2,2028,0.1057
RE1,DEMTRABIO,CO2,2029,0.1091
RE1,DEMTRABIO,CO2,2030,0.1124
RE1,DEMTRABIO,CO2,2031,0.1158
RE1,DEMTRABIO,CO2,2032,0.1191
RE1,DEMTRABIO,CO2,2033,0.1225
RE1,DEMTRABIO,CO2,2034,0.1258
RE1,DEMTRABIO,CO2,2035,0.1292
