r,s,y,CapitalInvestmentStorage
RE1,STG_1,2023,13.0599
RE1,STG_1,2024,11.7955
RE1,STG_1,2025,8.1808
RE1,STG_1,2026,17.1233
RE1,STG_1,2027,9.1452
RE1,STG_1,2028,9.6275
RE1,STG_1,2029,12.5829
RE1,STG_1,2030,16.1237
RE1,STG_1,2031,12.2715
