r,t,l,y,RateOfTotalActivity
RE1,MINCOA,S11,2020,291.0997
RE1,MINCOA,S11,2021,325.9716
RE1,MINCOA,S11,2022,369.2824
RE1,MINCOA,S11,2023,378.432
RE1,MINCOA,S11,2024,378.432
RE1,MINCOA,S11,2025,355.9538
RE1,MINCOA,S11,2026,296.7483
RE1,MINCOA,S11,2027,303.738
RE1,MINCOA,S11,2028,209.4891
RE1,MINCOA,S11,2029,319.1566
RE1,MINCOA,S11,2030,189.216
RE1,MINCOA,S11,2031,189.216
RE1,MINCOA,S11,2032,189.216
RE1,MINCOA,S11,2033,189.216
RE1,MINCOA,S11,2034,189.216
RE1,MINCOA,S11,2035,189.216
RE1,MINCOA,S12,2020,328.7281
RE1,MINCOA,S12,2021,363.3372
RE1,MINCOA,S12,2022,378.432
RE1,MINCOA,S12,2023,378.432
RE1,MINCOA,S12,2024,378.432
RE1,MINCOA,S12,2025,378.432
RE1,MINCOA,S12,2026,378.432
RE1,MINCOA,S12,2027,378.432
RE1,MINCOA,S12,2028,378.432
RE1,MINCOA,S12,2029,378.432
RE1,MINCOA,S12,2030,20.2731
RE1,MINCOA,S12,2031,20.2731
RE1,MINCOA,S12,2032,20.2731
RE1,MINCOA,S12,2033,20.2731
RE1,MINCOA,S12,2034,20.2731
RE1,MINCOA,S12,2035,20.2731
RE1,MINCOA,S21,2020,320.816
RE1,MINCOA,S21,2021,267.8514
RE1,MINCOA,S21,2022,216.225
RE1,MINCOA,S21,2023,206.9371
RE1,MINCOA,S21,2024,206.9371
RE1,MINCOA,S21,2025,229.7549
RE1,MINCOA,S21,2026,378.432
RE1,MINCOA,S21,2027,378.432
RE1,MINCOA,S21,2028,378.432
RE1,MINCOA,S21,2029,378.432
RE1,MINCOA,S21,2030,189.216
RE1,MINCOA,S21,2031,189.216
RE1,MINCOA,S21,2032,189.216
RE1,MINCOA,S21,2033,189.216
RE1,MINCOA,S21,2034,189.216
RE1,MINCOA,S21,2035,189.216
RE1,MINCOA,S22,2020,378.432
RE1,MINCOA,S22,2021,378.432
RE1,MINCOA,S22,2022,378.432
RE1,MINCOA,S22,2023,378.432
RE1,MINCOA,S22,2024,378.432
RE1,MINCOA,S22,2025,378.432
RE1,MINCOA,S22,2026,200.7406
RE1,MINCOA,S22,2027,186.507
RE1,MINCOA,S22,2028,378.432
RE1,MINCOA,S22,2029,155.1092
RE1,MINCOA,S22,2030,189.216
RE1,MINCOA,S22,2031,189.216
RE1,MINCOA,S22,2032,189.216
RE1,MINCOA,S22,2033,189.216
RE1,MINCOA,S22,2034,189.216
RE1,MINCOA,S22,2035,189.216
RE1,MINGAS,S11,2023,24.6377
RE1,MINGAS,S11,2024,55.2921
RE1,MINGAS,S11,2025,102.8292
RE1,MINGAS,S11,2026,178.5382
RE1,MINGAS,S11,2027,210.155
RE1,MINGAS,S11,2028,311.1636
RE1,MINGAS,S11,2029,279.961
RE1,MINGAS,S11,2030,410.3623
RE1,MINGAS,S11,2031,455.7076
RE1,MINGAS,S11,2032,504.7738
RE1,MINGAS,S11,2033,555.7302
RE1,MINGAS,S11,2034,610.4161
RE1,MINGAS,S11,2035,667.004
RE1,MINGAS,S12,2022,18.728
RE1,MINGAS,S12,2023,49.3984
RE1,MINGAS,S12,2024,79.9673
RE1,MINGAS,S12,2025,112.4366
RE1,MINGAS,S12,2026,148.6302
RE1,MINGAS,S12,2027,184.8358
RE1,MINGAS,S12,2028,222.9454
RE1,MINGAS,S12,2029,264.8004
RE1,MINGAS,S12,2030,547.275
RE1,MINGAS,S12,2031,592.5728
RE1,MINGAS,S12,2032,641.6184
RE1,MINGAS,S12,2033,692.5487
RE1,MINGAS,S12,2034,747.2292
RE1,MINGAS,S12,2035,803.7994
RE1,MINGAS,S21,2020,116.1203
RE1,MINGAS,S21,2021,182.8694
RE1,MINGAS,S21,2022,257.0622
RE1,MINGAS,S21,2023,305.839
RE1,MINGAS,S21,2024,348.3225
RE1,MINGAS,S21,2025,378.432
RE1,MINGAS,S21,2026,346.7794
RE1,MINGAS,S21,2027,400.4141
RE1,MINGAS,S21,2028,456.8729
RE1,MINGAS,S21,2029,518.868
RE1,MINGAS,S21,2030,709.7948
RE1,MINGAS,S21,2031,776.9473
RE1,MINGAS,S21,2032,849.5889
RE1,MINGAS,S21,2033,925.0378
RE1,MINGAS,S21,2034,1006.1118
RE1,MINGAS,S21,2035,1089.9403
RE1,MINGAS,S22,2020,6.9423
RE1,MINGAS,S22,2021,32.2347
RE1,MINGAS,S22,2022,64.4964
RE1,MINGAS,S22,2023,99.0846
RE1,MINGAS,S22,2024,133.5475
RE1,MINGAS,S22,2025,170.3518
RE1,MINGAS,S22,2026,346.7794
RE1,MINGAS,S22,2027,400.4141
RE1,MINGAS,S22,2028,318.9536
RE1,MINGAS,S22,2029,518.868
RE1,MINGAS,S22,2030,549.4952
RE1,MINGAS,S22,2031,604.9293
RE1,MINGAS,S22,2032,664.9804
RE1,MINGAS,S22,2033,727.3378
RE1,MINGAS,S22,2034,794.2703
RE1,MINGAS,S22,2035,863.5353
RE1,PWRGAS,S11,2023,12.3189
RE1,PWRGAS,S11,2024,27.646
RE1,PWRGAS,S11,2025,51.4146
RE1,PWRGAS,S11,2026,89.2691
RE1,PWRGAS,S11,2027,105.0775
RE1,PWRGAS,S11,2028,155.5818
RE1,PWRGAS,S11,2029,139.9805
RE1,PWRGAS,S11,2030,205.1812
RE1,PWRGAS,S11,2031,227.8538
RE1,PWRGAS,S11,2032,252.3869
RE1,PWRGAS,S11,2033,277.8651
RE1,PWRGAS,S11,2034,305.2081
RE1,PWRGAS,S11,2035,333.502
RE1,PWRGAS,S12,2022,9.364
RE1,PWRGAS,S12,2023,24.6992
RE1,PWRGAS,S12,2024,39.9837
RE1,PWRGAS,S12,2025,56.2183
RE1,PWRGAS,S12,2026,74.3151
RE1,PWRGAS,S12,2027,92.4179
RE1,PWRGAS,S12,2028,111.4727
RE1,PWRGAS,S12,2029,132.4002
RE1,PWRGAS,S12,2030,273.6375
RE1,PWRGAS,S12,2031,296.2864
RE1,PWRGAS,S12,2032,320.8092
RE1,PWRGAS,S12,2033,346.2744
RE1,PWRGAS,S12,2034,373.6146
RE1,PWRGAS,S12,2035,401.8997
RE1,PWRGAS,S21,2020,58.0601
RE1,PWRGAS,S21,2021,91.4347
RE1,PWRGAS,S21,2022,128.5311
RE1,PWRGAS,S21,2023,152.9195
RE1,PWRGAS,S21,2024,174.1613
RE1,PWRGAS,S21,2025,189.216
RE1,PWRGAS,S21,2026,173.3897
RE1,PWRGAS,S21,2027,200.207
RE1,PWRGAS,S21,2028,228.4364
RE1,PWRGAS,S21,2029,259.434
RE1,PWRGAS,S21,2030,354.8974
RE1,PWRGAS,S21,2031,388.4737
RE1,PWRGAS,S21,2032,424.7944
RE1,PWRGAS,S21,2033,462.5189
RE1,PWRGAS,S21,2034,503.0559
RE1,PWRGAS,S21,2035,544.9701
RE1,PWRGAS,S22,2020,3.4711
RE1,PWRGAS,S22,2021,16.1174
RE1,PWRGAS,S22,2022,32.2482
RE1,PWRGAS,S22,2023,49.5423
RE1,PWRGAS,S22,2024,66.7738
RE1,PWRGAS,S22,2025,85.1759
RE1,PWRGAS,S22,2026,173.3897
RE1,PWRGAS,S22,2027,200.207
RE1,PWRGAS,S22,2028,159.4768
RE1,PWRGAS,S22,2029,259.434
RE1,PWRGAS,S22,2030,274.7476
RE1,PWRGAS,S22,2031,302.4647
RE1,PWRGAS,S22,2032,332.4902
RE1,PWRGAS,S22,2033,363.6689
RE1,PWRGAS,S22,2034,397.1352
RE1,PWRGAS,S22,2035,431.7676
RE1,PWRCOA,S11,2020,97.0332
RE1,PWRCOA,S11,2021,108.6572
RE1,PWRCOA,S11,2022,123.0941
RE1,PWRCOA,S11,2023,126.144
RE1,PWRCOA,S11,2024,126.144
RE1,PWRCOA,S11,2025,118.6513
RE1,PWRCOA,S11,2026,98.9161
RE1,PWRCOA,S11,2027,101.246
RE1,PWRCOA,S11,2028,69.8297
RE1,PWRCOA,S11,2029,106.3855
RE1,PWRCOA,S11,2030,63.072
RE1,PWRCOA,S11,2031,63.072
RE1,PWRCOA,S11,2032,63.072
RE1,PWRCOA,S11,2033,63.072
RE1,PWRCOA,S11,2034,63.072
RE1,PWRCOA,S11,2035,63.072
RE1,PWRCOA,S12,2020,109.576
RE1,PWRCOA,S12,2021,121.1124
RE1,PWRCOA,S12,2022,126.144
RE1,PWRCOA,S12,2023,126.144
RE1,PWRCOA,S12,2024,126.144
RE1,PWRCOA,S12,2025,126.144
RE1,PWRCOA,S12,2026,126.144
RE1,PWRCOA,S12,2027,126.144
RE1,PWRCOA,S12,2028,126.144
RE1,PWRCOA,S12,2029,126.144
RE1,PWRCOA,S12,2030,6.7577
RE1,PWRCOA,S12,2031,6.7577
RE1,PWRCOA,S12,2032,6.7577
RE1,PWRCOA,S12,2033,6.7577
RE1,PWRCOA,S12,2034,6.7577
RE1,PWRCOA,S12,2035,6.7577
RE1,PWRCOA,S21,2020,106.9387
RE1,PWRCOA,S21,2021,89.2838
RE1,PWRCOA,S21,2022,72.075
RE1,PWRCOA,S21,2023,68.979
RE1,PWRCOA,S21,2024,68.979
RE1,PWRCOA,S21,2025,76.585
RE1,PWRCOA,S21,2026,126.144
RE1,PWRCOA,S21,2027,126.144
RE1,PWRCOA,S21,2028,126.144
RE1,PWRCOA,S21,2029,126.144
RE1,PWRCOA,S21,2030,63.072
RE1,PWRCOA,S21,2031,63.072
RE1,PWRCOA,S21,2032,63.072
RE1,PWRCOA,S21,2033,63.072
RE1,PWRCOA,S21,2034,63.072
RE1,PWRCOA,S21,2035,63.072
RE1,PWRCOA,S22,2020,126.144
RE1,PWRCOA,S22,2021,126.144
RE1,PWRCOA,S22,2022,126.144
RE1,PWRCOA,S22,2023,126.144
RE1,PWRCOA,S22,2024,126.144
RE1,PWRCOA,S22,2025,126.144
RE1,PWRCOA,S22,2026,66.9135
RE1,PWRCOA,S22,2027,62.169
RE1,PWRCOA,S22,2028,126.144
RE1,PWRCOA,S22,2029,51.703
RE1,PWRCOA,S22,2030,63.072
RE1,PWRCOA,S22,2031,63.072
RE1,PWRCOA,S22,2032,63.072
RE1,PWRCOA,S22,2033,63.072
RE1,PWRCOA,S22,2034,63.072
RE1,PWRCOA,S22,2035,63.072
RE1,PWRTRN,S11,2020,141.972
RE1,PWRTRN,S11,2021,153.596
RE1,PWRTRN,S11,2022,168.0329
RE1,PWRTRN,S11,2023,183.4016
RE1,PWRTRN,S11,2024,198.7288
RE1,PWRTRN,S11,2025,215.0047
RE1,PWRTRN,S11,2026,233.124
RE1,PWRTRN,S11,2027,251.2623
RE1,PWRTRN,S11,2028,270.3503
RE1,PWRTRN,S11,2029,291.3048
RE1,PWRTRN,S11,2030,313.192
RE1,PWRTRN,S11,2031,335.8646
RE1,PWRTRN,S11,2032,360.3977
RE1,PWRTRN,S11,2033,385.8759
RE1,PWRTRN,S11,2034,413.2189
RE1,PWRTRN,S11,2035,441.5128
RE1,PWRTRN,S12,2020,152.6227
RE1,PWRTRN,S12,2021,164.159
RE1,PWRTRN,S12,2022,178.5546
RE1,PWRTRN,S12,2023,193.8898
RE1,PWRTRN,S12,2024,209.1743
RE1,PWRTRN,S12,2025,225.4089
RE1,PWRTRN,S12,2026,243.5058
RE1,PWRTRN,S12,2027,261.6085
RE1,PWRTRN,S12,2028,280.6634
RE1,PWRTRN,S12,2029,301.5908
RE1,PWRTRN,S12,2030,323.4419
RE1,PWRTRN,S12,2031,346.0907
RE1,PWRTRN,S12,2032,370.6136
RE1,PWRTRN,S12,2033,396.0787
RE1,PWRTRN,S12,2034,423.4189
RE1,PWRTRN,S12,2035,451.7041
RE1,PWRTRN,S21,2020,220.9253
RE1,PWRTRN,S21,2021,238.0536
RE1,PWRTRN,S21,2022,259.368
RE1,PWRTRN,S21,2023,282.0761
RE1,PWRTRN,S21,2024,304.7446
RE1,PWRTRN,S21,2025,328.8227
RE1,PWRTRN,S21,2026,355.6756
RE1,PWRTRN,S21,2027,382.5313
RE1,PWRTRN,S21,2028,410.8009
RE1,PWRTRN,S21,2029,441.842
RE1,PWRTRN,S21,2030,474.2773
RE1,PWRTRN,S21,2031,507.9598
RE1,PWRTRN,S21,2032,544.4187
RE1,PWRTRN,S21,2033,582.2816
RE1,PWRTRN,S21,2034,622.9256
RE1,PWRTRN,S21,2035,664.9799
RE1,PWRTRN,S22,2020,187.4274
RE1,PWRTRN,S22,2021,201.4886
RE1,PWRTRN,S22,2022,219.0462
RE1,PWRTRN,S22,2023,237.756
RE1,PWRTRN,S22,2024,256.4142
RE1,PWRTRN,S22,2025,276.2338
RE1,PWRTRN,S22,2026,298.3373
RE1,PWRTRN,S22,2027,320.4485
RE1,PWRTRN,S22,2028,343.7334
RE1,PWRTRN,S22,2029,369.2932
RE1,PWRTRN,S22,2030,396.0197
RE1,PWRTRN,S22,2031,423.7347
RE1,PWRTRN,S22,2032,453.7474
RE1,PWRTRN,S22,2033,484.9133
RE1,PWRTRN,S22,2034,518.3776
RE1,PWRTRN,S22,2035,552.9974
RE1,RSCLND,S11,2020,300.0
RE1,RSCLND,S11,2021,300.0
RE1,RSCLND,S11,2022,300.0
RE1,RSCLND,S11,2023,300.0
RE1,RSCLND,S11,2024,300.0
RE1,RSCLND,S11,2025,300.0
RE1,RSCLND,S11,2026,300.0
RE1,RSCLND,S11,2027,300.0
RE1,RSCLND,S11,2028,300.0
RE1,RSCLND,S11,2029,300.0
RE1,RSCLND,S11,2030,300.0
RE1,RSCLND,S11,2031,300.0
RE1,RSCLND,S11,2032,300.0
RE1,RSCLND,S11,2033,300.0
RE1,RSCLND,S11,2034,300.0
RE1,RSCLND,S11,2035,300.0
RE1,RSCLND,S12,2020,300.0
RE1,RSCLND,S12,2021,299.4048
RE1,RSCLND,S12,2022,299.4048
RE1,RSCLND,S12,2023,299.4048
RE1,RSCLND,S12,2024,299.4048
RE1,RSCLND,S12,2025,299.4048
RE1,RSCLND,S12,2026,300.0
RE1,RSCLND,S12,2027,300.0
RE1,RSCLND,S12,2028,300.0
RE1,RSCLND,S12,2029,300.0
RE1,RSCLND,S12,2030,300.0
RE1,RSCLND,S12,2031,300.0
RE1,RSCLND,S12,2032,300.0
RE1,RSCLND,S12,2033,300.0
RE1,RSCLND,S12,2034,300.0
RE1,RSCLND,S12,2035,300.0
RE1,RSCLND,S21,2020,300.0
RE1,RSCLND,S21,2021,300.0
RE1,RSCLND,S21,2022,300.0
RE1,RSCLND,S21,2023,300.0
RE1,RSCLND,S21,2024,300.0
RE1,RSCLND,S21,2025,300.0
RE1,RSCLND,S21,2026,300.0
RE1,RSCLND,S21,2027,300.0
RE1,RSCLND,S21,2028,300.0
RE1,RSCLND,S21,2029,300.0
RE1,RSCLND,S21,2030,300.0
RE1,RSCLND,S21,2031,300.0
RE1,RSCLND,S21,2032,300.0
RE1,RSCLND,S21,2033,300.0
RE1,RSCLND,S21,2034,300.0
RE1,RSCLND,S21,2035,300.0
RE1,RSCLND,S22,2020,300.0
RE1,RSCLND,S22,2021,300.0
RE1,RSCLND,S22,2022,300.0
RE1,RSCLND,S22,2023,300.0
RE1,RSCLND,S22,2024,300.0
RE1,RSCLND,S22,2025,300.0
RE1,RSCLND,S22,2026,300.0
RE1,RSCLND,S22,2027,300.0
RE1,RSCLND,S22,2028,300.0
RE1,RSCLND,S22,2029,300.0
RE1,RSCLND,S22,2030,300.0
RE1,RSCLND,S22,2031,300.0
RE1,RSCLND,S22,2032,300.0
RE1,RSCLND,S22,2033,300.0
RE1,RSCLND,S22,2034,300.0
RE1,RSCLND,S22,2035,300.0
RE1,LNDMAIRNF,S11,2020,4.1
RE1,LNDMAIRNF,S11,2021,3.69
RE1,LNDMAIRNF,S11,2022,3.28
RE1,LNDMAIRNF,S11,2023,2.87
RE1,LNDMAIRNF,S11,2024,2.46
RE1,LNDMAIRNF,S11,2025,2.05
RE1,LNDMAIRNF,S11,2026,1.64
RE1,LNDMAIRNF,S11,2027,1.23
RE1,LNDMAIRNF,S11,2028,0.82
RE1,LNDMAIRNF,S11,2029,0.41
RE1,LNDMAIRNF,S12,2020,4.1
RE1,LNDMAIRNF,S12,2021,3.69
RE1,LNDMAIRNF,S12,2022,3.28
RE1,LNDMAIRNF,S12,2023,2.87
RE1,LNDMAIRNF,S12,2024,2.46
RE1,LNDMAIRNF,S12,2025,2.05
RE1,LNDMAIRNF,S12,2026,1.64
RE1,LNDMAIRNF,S12,2027,1.23
RE1,LNDMAIRNF,S12,2028,0.82
RE1,LNDMAIRNF,S12,2029,0.41
RE1,LNDMAIRNF,S21,2020,4.1
RE1,LNDMAIRNF,S21,2021,3.69
RE1,LNDMAIRNF,S21,2022,3.28
RE1,LNDMAIRNF,S21,2023,2.87
RE1,LNDMAIRNF,S21,2024,2.46
RE1,LNDMAIRNF,S21,2025,2.05
RE1,LNDMAIRNF,S21,2026,1.64
RE1,LNDMAIRNF,S21,2027,1.23
RE1,LNDMAIRNF,S21,2028,0.82
RE1,LNDMAIRNF,S21,2029,0.41
RE1,LNDMAIRNF,S22,2020,4.1
RE1,LNDMAIRNF,S22,2021,3.69
RE1,LNDMAIRNF,S22,2022,3.28
RE1,LNDMAIRNF,S22,2023,2.87
RE1,LNDMAIRNF,S22,2024,2.46
RE1,LNDMAIRNF,S22,2025,2.05
RE1,LNDMAIRNF,S22,2026,1.64
RE1,LNDMAIRNF,S22,2027,1.23
RE1,LNDMAIRNF,S22,2028,0.82
RE1,LNDMAIRNF,S22,2029,0.41
RE1,LNDRICRNF,S11,2020,1.423
RE1,LNDRICRNF,S11,2021,1.281
RE1,LNDRICRNF,S11,2022,1.138
RE1,LNDRICRNF,S11,2023,0.996
RE1,LNDRICRNF,S11,2024,0.854
RE1,LNDRICRNF,S11,2025,0.711
RE1,LNDRICRNF,S11,2026,0.569
RE1,LNDRICRNF,S11,2027,0.427
RE1,LNDRICRNF,S11,2028,0.285
RE1,LNDRICRNF,S11,2029,0.142
RE1,LNDRICRNF,S12,2020,1.423
RE1,LNDRICRNF,S12,2021,1.281
RE1,LNDRICRNF,S12,2022,1.138
RE1,LNDRICRNF,S12,2023,0.996
RE1,LNDRICRNF,S12,2024,0.854
RE1,LNDRICRNF,S12,2025,0.711
RE1,LNDRICRNF,S12,2026,0.569
RE1,LNDRICRNF,S12,2027,0.427
RE1,LNDRICRNF,S12,2028,0.285
RE1,LNDRICRNF,S12,2029,0.142
RE1,LNDRICRNF,S21,2020,1.3211
RE1,LNDRICRNF,S21,2021,1.281
RE1,LNDRICRNF,S21,2022,1.138
RE1,LNDRICRNF,S21,2023,0.996
RE1,LNDRICRNF,S21,2024,0.854
RE1,LNDRICRNF,S21,2025,0.711
RE1,LNDRICRNF,S21,2026,0.569
RE1,LNDRICRNF,S21,2027,0.427
RE1,LNDRICRNF,S21,2028,0.285
RE1,LNDRICRNF,S21,2029,0.142
RE1,LNDRICRNF,S22,2020,1.423
RE1,LNDRICRNF,S22,2021,1.281
RE1,LNDRICRNF,S22,2022,1.138
RE1,LNDRICRNF,S22,2023,0.996
RE1,LNDRICRNF,S22,2024,0.854
RE1,LNDRICRNF,S22,2025,0.711
RE1,LNDRICRNF,S22,2026,0.569
RE1,LNDRICRNF,S22,2027,0.427
RE1,LNDRICRNF,S22,2028,0.285
RE1,LNDRICRNF,S22,2029,0.142
RE1,LNDMAIIRR,S11,2020,0.3398
RE1,LNDMAIIRR,S11,2021,0.7379
RE1,LNDMAIIRR,S11,2022,1.1382
RE1,LNDMAIIRR,S11,2023,1.5363
RE1,LNDMAIIRR,S11,2024,1.9366
RE1,LNDMAIIRR,S11,2025,2.3607
RE1,LNDMAIIRR,S11,2026,2.7609
RE1,LNDMAIIRR,S11,2027,3.1634
RE1,LNDMAIIRR,S11,2028,3.5897
RE1,LNDMAIIRR,S11,2029,4.016
RE1,LNDMAIIRR,S11,2030,4.4445
RE1,LNDMAIIRR,S11,2031,4.5681
RE1,LNDMAIIRR,S11,2032,4.6918
RE1,LNDMAIIRR,S11,2033,4.8155
RE1,LNDMAIIRR,S11,2034,4.9391
RE1,LNDMAIIRR,S11,2035,5.065
RE1,LNDMAIIRR,S12,2020,0.3398
RE1,LNDMAIIRR,S12,2021,0.7379
RE1,LNDMAIIRR,S12,2022,1.1382
RE1,LNDMAIIRR,S12,2023,1.5363
RE1,LNDMAIIRR,S12,2024,1.9366
RE1,LNDMAIIRR,S12,2025,2.3607
RE1,LNDMAIIRR,S12,2026,2.7609
RE1,LNDMAIIRR,S12,2027,3.1634
RE1,LNDMAIIRR,S12,2028,3.5897
RE1,LNDMAIIRR,S12,2029,4.016
RE1,LNDMAIIRR,S12,2030,4.4445
RE1,LNDMAIIRR,S12,2031,4.5681
RE1,LNDMAIIRR,S12,2032,4.6918
RE1,LNDMAIIRR,S12,2033,4.8155
RE1,LNDMAIIRR,S12,2034,4.9391
RE1,LNDMAIIRR,S12,2035,5.065
RE1,LNDMAIIRR,S21,2020,0.3398
RE1,LNDMAIIRR,S21,2021,0.7379
RE1,LNDMAIIRR,S21,2022,1.1382
RE1,LNDMAIIRR,S21,2023,1.5363
RE1,LNDMAIIRR,S21,2024,1.9366
RE1,LNDMAIIRR,S21,2025,2.3607
RE1,LNDMAIIRR,S21,2026,2.7609
RE1,LNDMAIIRR,S21,2027,3.1634
RE1,LNDMAIIRR,S21,2028,3.5897
RE1,LNDMAIIRR,S21,2029,4.016
RE1,LNDMAIIRR,S21,2030,4.4445
RE1,LNDMAIIRR,S21,2031,4.5681
RE1,LNDMAIIRR,S21,2032,4.6918
RE1,LNDMAIIRR,S21,2033,4.8155
RE1,LNDMAIIRR,S21,2034,4.9391
RE1,LNDMAIIRR,S21,2035,5.065
RE1,LNDMAIIRR,S22,2020,0.3398
RE1,LNDMAIIRR,S22,2021,0.7379
RE1,LNDMAIIRR,S22,2022,1.1382
RE1,LNDMAIIRR,S22,2023,1.5363
RE1,LNDMAIIRR,S22,2024,1.9366
RE1,LNDMAIIRR,S22,2025,2.3607
RE1,LNDMAIIRR,S22,2026,2.7609
RE1,LNDMAIIRR,S22,2027,3.1634
RE1,LNDMAIIRR,S22,2028,3.5897
RE1,LNDMAIIRR,S22,2029,4.016
RE1,LNDMAIIRR,S22,2030,4.4445
RE1,LNDMAIIRR,S22,2031,4.5681
RE1,LNDMAIIRR,S22,2032,4.6918
RE1,LNDMAIIRR,S22,2033,4.8155
RE1,LNDMAIIRR,S22,2034,4.9391
RE1,LNDMAIIRR,S22,2035,5.065
RE1,LNDRICIRR,S11,2020,0.55
RE1,LNDRICIRR,S11,2021,0.6373
RE1,LNDRICIRR,S11,2022,0.744
RE1,LNDRICIRR,S11,2023,0.8511
RE1,LNDRICIRR,S11,2024,0.9591
RE1,LNDRICIRR,S11,2025,1.0677
RE1,LNDRICIRR,S11,2026,1.1766
RE1,LNDRICIRR,S11,2027,1.2855
RE1,LNDRICIRR,S11,2028,1.3954
RE1,LNDRICIRR,S11,2029,1.5067
RE1,LNDRICIRR,S11,2030,1.6175
RE1,LNDRICIRR,S11,2031,1.6498
RE1,LNDRICIRR,S11,2032,1.6829
RE1,LNDRICIRR,S11,2033,1.7171
RE1,LNDRICIRR,S11,2034,1.7512
RE1,LNDRICIRR,S11,2035,1.7862
RE1,LNDRICIRR,S12,2020,0.55
RE1,LNDRICIRR,S12,2021,0.6373
RE1,LNDRICIRR,S12,2022,0.744
RE1,LNDRICIRR,S12,2023,0.8511
RE1,LNDRICIRR,S12,2024,0.9591
RE1,LNDRICIRR,S12,2025,1.0677
RE1,LNDRICIRR,S12,2026,1.1766
RE1,LNDRICIRR,S12,2027,1.2855
RE1,LNDRICIRR,S12,2028,1.3954
RE1,LNDRICIRR,S12,2029,1.5067
RE1,LNDRICIRR,S12,2030,1.6175
RE1,LNDRICIRR,S12,2031,1.6498
RE1,LNDRICIRR,S12,2032,1.6829
RE1,LNDRICIRR,S12,2033,1.7171
RE1,LNDRICIRR,S12,2034,1.7512
RE1,LNDRICIRR,S12,2035,1.7862
RE1,LNDRICIRR,S21,2020,0.55
RE1,LNDRICIRR,S21,2021,0.6373
RE1,LNDRICIRR,S21,2022,0.744
RE1,LNDRICIRR,S21,2023,0.8511
RE1,LNDRICIRR,S21,2024,0.9591
RE1,LNDRICIRR,S21,2025,1.0677
RE1,LNDRICIRR,S21,2026,1.1766
RE1,LNDRICIRR,S21,2027,1.2855
RE1,LNDRICIRR,S21,2028,1.3954
RE1,LNDRICIRR,S21,2029,1.5067
RE1,LNDRICIRR,S21,2030,1.6175
RE1,LNDRICIRR,S21,2031,1.6498
RE1,LNDRICIRR,S21,2032,1.6829
RE1,LNDRICIRR,S21,2033,1.7171
RE1,LNDRICIRR,S21,2034,1.7512
RE1,LNDRICIRR,S21,2035,1.7862
RE1,LNDRICIRR,S22,2020,0.55
RE1,LNDRICIRR,S22,2021,0.6373
RE1,LNDRICIRR,S22,2022,0.744
RE1,LNDRICIRR,S22,2023,0.8511
RE1,LNDRICIRR,S22,2024,0.9591
RE1,LNDRICIRR,S22,2025,1.0677
RE1,LNDRICIRR,S22,2026,1.1766
RE1,LNDRICIRR,S22,2027,1.2855
RE1,LNDRICIRR,S22,2028,1.3954
RE1,LNDRICIRR,S22,2029,1.5067
