r,s,y,DiscountedSalvageValueStorage
RE1,STG_1,2027,0.2945
RE1,STG_1,2028,0.5918
RE1,STG_1,2029,1.1083
RE1,STG_1,2030,1.8102
RE1,STG_1,2031,1.6476
