r,s,y,StorageLevelYearStart
RE1,STG_1,2023,3.265
RE1,STG_1,2024,6.2139
RE1,STG_1,2025,8.2591
RE1,STG_1,2026,12.5399
RE1,STG_1,2027,14.8262
RE1,STG_1,2028,17.233
RE1,STG_1,2029,20.3788
RE1,STG_1,2030,24.4097
RE1,STG_1,2031,27.4776
RE1,STG_1,2032,27.4776
RE1,STG_1,2033,24.2126
RE1,STG_1,2034,21.2637
RE1,STG_1,2035,19.2185
