r,s,y,SalvageValueStorage
RE1,STG_1,2027,1.353
RE1,STG_1,2028,2.7193
RE1,STG_1,2029,5.0926
RE1,STG_1,2030,8.3179
RE1,STG_1,2031,7.5707
