r,s,ls,ld,y,StorageLevelDayTypeFinish
RE1,STG_1,1,1,2023,56.5299
RE1,STG_1,1,1,2025,66.5181
RE1,STG_1,1,1,2026,44.7897
RE1,STG_1,1,1,2027,79.6523
RE1,STG_1,1,1,2028,84.4661
RE1,STG_1,1,1,2029,90.7575
RE1,STG_1,1,1,2030,98.8194
RE1,STG_1,1,1,2031,104.9551
RE1,STG_1,1,1,2032,104.9551
RE1,STG_1,2,1,2029,4.0431
RE1,STG_1,2,1,2030,14.2456
RE1,STG_1,2,1,2031,35.5095
RE1,STG_1,2,1,2032,49.5635
RE1,STG_1,2,1,2033,98.4252
RE1,STG_1,2,1,2034,11.6729
RE1,STG_1,2,1,2035,10.0288
