r,s,ls,ld,lh,y,NetChargeWithinYear
RE1,STG_1,1,1,1,2022,12.3318
RE1,STG_1,1,1,1,2023,7.168
RE1,STG_1,1,1,1,2024,18.4714
RE1,STG_1,1,1,1,2025,11.6432
RE1,STG_1,1,1,1,2026,17.1971
RE1,STG_1,1,1,1,2027,19.363
RE1,STG_1,1,1,1,2028,21.643
RE1,STG_1,1,1,1,2029,23.6473
RE1,STG_1,1,1,1,2030,25.0017
RE1,STG_1,1,1,1,2031,26.0325
RE1,STG_1,1,1,1,2032,26.0325
RE1,STG_1,1,1,1,2033,11.8526
RE1,STG_1,1,1,1,2034,11.6003
RE1,STG_1,1,1,1,2035,11.5552
RE1,STG_1,1,1,2,2023,8.3898
RE1,STG_1,1,1,2,2025,8.849
RE1,STG_1,1,1,2,2026,7.5247
RE1,STG_1,1,1,2,2027,7.6177
RE1,STG_1,1,1,2,2028,7.7158
RE1,STG_1,1,1,2,2029,7.8225
RE1,STG_1,1,1,2,2030,7.9345
RE1,STG_1,1,1,2,2031,4.6904
RE1,STG_1,1,1,2,2032,1.2242
RE1,STG_1,1,1,2,2033,-3.3228
RE1,STG_1,1,1,2,2034,-3.9587
RE1,STG_1,1,1,2,2035,-4.5199
RE1,STG_1,2,1,1,2022,-4.0818
RE1,STG_1,2,1,1,2023,-6.2303
RE1,STG_1,2,1,1,2024,-8.1708
RE1,STG_1,2,1,1,2025,-9.5166
RE1,STG_1,2,1,1,2026,-12.3336
RE1,STG_1,2,1,1,2027,-13.8381
RE1,STG_1,2,1,1,2028,-15.4219
RE1,STG_1,2,1,1,2029,-17.1619
RE1,STG_1,2,1,1,2030,-18.9815
RE1,STG_1,2,1,1,2031,-19.2643
RE1,STG_1,2,1,1,2032,-18.117
RE1,STG_1,2,1,1,2033,-10.8377
RE1,STG_1,2,1,1,2034,-9.5677
RE1,STG_1,2,1,1,2035,-8.69
RE1,STG_1,2,1,2,2022,-8.25
RE1,STG_1,2,1,2,2023,-9.3274
RE1,STG_1,2,1,2,2024,-10.3006
RE1,STG_1,2,1,2,2025,-10.9755
RE1,STG_1,2,1,2,2026,-12.3882
RE1,STG_1,2,1,2,2027,-13.1426
RE1,STG_1,2,1,2,2028,-13.9369
RE1,STG_1,2,1,2,2029,-14.3079
RE1,STG_1,2,1,2,2030,-13.9547
RE1,STG_1,2,1,2,2031,-11.4585
RE1,STG_1,2,1,2,2032,-9.1396
RE1,STG_1,2,1,2,2033,2.3079
RE1,STG_1,2,1,2,2034,1.926
RE1,STG_1,2,1,2,2035,1.6547
