r,t,y,DiscountedTechnologyEmissionsPenalty
RE1,LNDFOR,2021,14041.904
RE1,LNDFOR,2022,14892.928
RE1,LNDFOR,2023,15473.172
RE1,LNDFOR,2024,15824.835
RE1,LNDFOR,2025,15984.682
RE1,LNDFOR,2026,-78856.345
RE1,LNDFOR,2027,252.7276
RE1,LNDFOR,2028,131.3556
RE1,LNDFOR,2029,282.1838
RE1,LNDFOR,2030,278.7752
RE1,LNDFOR,2031,369.4751
RE1,LNDFOR,2032,497.61
RE1,LNDFOR,2033,480.22
RE1,LNDFOR,2034,332.0149
RE1,LNDFOR,2035,444.8123
