r,t,e,m,y,EmissionByActivityChange
RE1,LNDFOR,CO2EQ,1,2021,9.0254
RE1,LNDFOR,CO2EQ,1,2022,2.9174
RE1,LNDFOR,CO2EQ,1,2023,8.2725
RE1,LNDFOR,CO2EQ,1,2024,-17.2759
RE1,LNDFOR,CO2EQ,1,2025,-15.2998
RE1,LNDFOR,CO2EQ,1,2026,12.1493
RE1,LNDFOR,CO2EQ,1,2027,17.6677
RE1,LNDFOR,CO2EQ,1,2028,13.6021
RE1,LNDFOR,CO2EQ,1,2029,19.0519
RE1,LNDFOR,CO2EQ,1,2030,19.1703
RE1,LNDFOR,CO2EQ,1,2031,13.8201
RE1,LNDFOR,CO2EQ,1,2032,19.2699
RE1,LNDFOR,CO2EQ,1,2033,19.3196
RE1,LNDFOR,CO2EQ,1,2034,13.9196
RE1,LNDFOR,CO2EQ,1,2035,19.4878
