r,l,t,m,f,y,RateOfProductionByTechnologyByMode
RE1,S11,MINCOA,1,COA,2020,0.0
RE1,S11,MINCOA,1,COA,2021,0.0
RE1,S11,MINCOA,1,COA,2022,0.0
RE1,S11,MINCOA,1,COA,2023,0.0
RE1,S11,MINCOA,1,COA,2024,0.0
RE1,S11,MINCOA,1,COA,2025,0.0
RE1,S11,MINCOA,1,COA,2026,0.0
RE1,S11,MINCOA,1,COA,2027,0.0
RE1,S11,MINCOA,1,COA,2028,0.0
RE1,S11,MINCOA,1,COA,2029,0.0
RE1,S11,MINCOA,1,COA,2030,0.0
RE1,S11,MINCOA,1,COA,2031,0.0
RE1,S11,MINCOA,1,COA,2032,0.0
RE1,S11,MINCOA,1,COA,2033,0.0
RE1,S11,MINCOA,1,COA,2034,0.0
RE1,S11,MINCOA,1,COA,2035,0.0
RE1,S11,MINCOA,1,COA,2036,0.0
RE1,S11,MINCOA,1,COA,2037,0.0
RE1,S11,MINCOA,1,COA,2038,0.0
RE1,S11,MINCOA,1,COA,2039,0.0
RE1,S11,MINCOA,1,COA,2040,0.0
RE1,S11,MINGAS,1,GAS,2020,0.0
RE1,S11,MINGAS,1,GAS,2021,0.0
RE1,S11,MINGAS,1,GAS,2022,0.0
RE1,S11,MINGAS,1,GAS,2023,0.0
RE1,S11,MINGAS,1,GAS,2024,0.0
RE1,S11,MINGAS,1,GAS,2025,0.0
RE1,S11,MINGAS,1,GAS,2026,0.0
RE1,S11,MINGAS,1,GAS,2027,0.0
RE1,S11,MINGAS,1,GAS,2028,0.0
RE1,S11,MINGAS,1,GAS,2029,0.0
RE1,S11,MINGAS,1,GAS,2030,0.0
RE1,S11,MINGAS,1,GAS,2031,0.0
RE1,S11,MINGAS,1,GAS,2032,0.0
RE1,S11,MINGAS,1,GAS,2033,0.0
RE1,S11,MINGAS,1,GAS,2034,0.0
RE1,S11,MINGAS,1,GAS,2035,0.0
RE1,S11,MINGAS,1,GAS,2036,0.0
RE1,S11,MINGAS,1,GAS,2037,0.0
RE1,S11,MINGAS,1,GAS,2038,0.0
RE1,S11,MINGAS,1,GAS,2039,0.0
RE1,S11,MINGAS,1,GAS,2040,0.0
RE1,S11,MINHYD,1,HYD,2020,61.0294
RE1,S11,MINHYD,1,HYD,2021,62.8603
RE1,S11,MINHYD,1,HYD,2022,64.7461
RE1,S11,MINHYD,1,HYD,2023,66.6885
RE1,S11,MINHYD,1,HYD,2024,68.6891
