r,t,f,y,InputToNewCapacity
RE1,PWRCOA,COA,2020,0
RE1,PWRCOA,COA,2021,0
RE1,PWRCOA,COA,2022,0
RE1,PWRCOA,COA,2023,0
RE1,PWRCOA,COA,2024,0
RE1,PWRCOA,COA,2025,0
RE1,PWRCOA,COA,2026,0
RE1,PWRCOA,COA,2027,0
RE1,PWRCOA,COA,2028,0
RE1,PWRCOA,COA,2029,0
RE1,PWRCOA,COA,2030,0
RE1,PWRCOA,COA,2031,0
RE1,PWRCOA,COA,2032,0
RE1,PWRCOA,COA,2033,0
RE1,PWRCOA,COA,2034,0
RE1,PWRCOA,COA,2035,0
RE1,PWRCOA,COA,2036,0
RE1,PWRCOA,COA,2037,0
RE1,PWRCOA,COA,2038,0
RE1,PWRCOA,COA,2039,0
RE1,PWRCOA,COA,2040,0
RE1,PWRGAS,GAS,2020,0
RE1,PWRGAS,GAS,2021,0
RE1,PWRGAS,GAS,2022,0
RE1,PWRGAS,GAS,2023,0
RE1,PWRGAS,GAS,2024,0
RE1,PWRGAS,GAS,2025,0
RE1,PWRGAS,GAS,2026,0
RE1,PWRGAS,GAS,2027,0
RE1,PWRGAS,GAS,2028,0
RE1,PWRGAS,GAS,2029,0
RE1,PWRGAS,GAS,2030,0
RE1,PWRGAS,GAS,2031,0
RE1,PWRGAS,GAS,2032,0
RE1,PWRGAS,GAS,2033,0
RE1,PWRGAS,GAS,2034,0
RE1,PWRGAS,GAS,2035,0
RE1,PWRGAS,GAS,2036,0
RE1,PWRGAS,GAS,2037,0
RE1,PWRGAS,GAS,2038,0
RE1,PWRGAS,GAS,2039,0
RE1,PWRGAS,GAS,2040,0
RE1,PWRHYD,HYD,2020,0
RE1,PWRHYD,HYD,2021,0
RE1,PWRHYD,HYD,2022,0
RE1,PWRHYD,HYD,2023,0
RE1,PWRHYD,HYD,2024,0
RE1,PWRHYD,HYD,2025,0
RE1,PWRHYD,HYD,2026,0
RE1,PWRHYD,HYD,2027,0
RE1,PWRHYD,HYD,2028,0
RE1,PWRHYD,HYD,2029,0
RE1,PWRHYD,HYD,2030,0
RE1,PWRHYD,HYD,2031,0
RE1,PWRHYD,HYD,2032,0
RE1,PWRHYD,HYD,2033,0
RE1,PWRHYD,HYD,2034,0
RE1,PWRHYD,HYD,2035,0
RE1,PWRHYD,HYD,2036,0
RE1,PWRHYD,HYD,2037,0
RE1,PWRHYD,HYD,2038,0
RE1,PWRHYD,HYD,2039,0
RE1,PWRHYD,HYD,2040,0
RE1,PWRSOL,SOL,2020,0
RE1,PWRSOL,SOL,2021,0
RE1,PWRSOL,SOL,2022,0
RE1,PWRSOL,SOL,2023,0
RE1,PWRSOL,SOL,2024,0
RE1,PWRSOL,SOL,2025,0
RE1,PWRSOL,SOL,2026,0
RE1,PWRSOL,SOL,2027,0
RE1,PWRSOL,SOL,2028,0
RE1,PWRSOL,SOL,2029,0
RE1,PWRSOL,SOL,2030,0
RE1,PWRSOL,SOL,2031,0
RE1,PWRSOL,SOL,2032,0
RE1,PWRSOL,SOL,2033,0
RE1,PWRSOL,SOL,2034,0
RE1,PWRSOL,SOL,2035,0
RE1,PWRSOL,SOL,2036,0
RE1,PWRSOL,SOL,2037,0
RE1,PWRSOL,SOL,2038,0
RE1,PWRSOL,SOL,2039,0
RE1,PWRSOL,SOL,2040,0
RE1,PWRTRN,ELC001,2020,0
RE1,PWRTRN,ELC001,2021,0
RE1,PWRTRN,ELC001,2022,0
RE1,PWRTRN,ELC001,2023,0
RE1,PWRTRN,ELC001,2024,0
RE1,PWRTRN,ELC001,2025,0
RE1,PWRTRN,ELC001,2026,0
RE1,PWRTRN,ELC001,2027,0
RE1,PWRTRN,ELC001,2028,0
RE1,PWRTRN,ELC001,2029,0
RE1,PWRTRN,ELC001,2030,0
RE1,PWRTRN,ELC001,2031,0
RE1,PWRTRN,ELC001,2032,0
RE1,PWRTRN,ELC001,2033,0
RE1,PWRTRN,ELC001,2034,0
RE1,PWRTRN,ELC001,2035,0
RE1,PWRTRN,ELC001,2036,0
RE1,PWRTRN,ELC001,2037,0
RE1,PWRTRN,ELC001,2038,0
RE1,PWRTRN,ELC001,2039,0
RE1,PWRTRN,ELC001,2040,0
RE1,PWRWND,WND,2020,0
RE1,PWRWND,WND,2021,0
RE1,PWRWND,WND,2022,0
RE1,PWRWND,WND,2023,0
RE1,PWRWND,WND,2024,0
RE1,PWRWND,WND,2025,0
RE1,PWRWND,WND,2026,0
RE1,PWRWND,WND,2027,0
RE1,PWRWND,WND,2028,0
RE1,PWRWND,WND,2029,0
RE1,PWRWND,WND,2030,0
RE1,PWRWND,WND,2031,0
RE1,PWRWND,WND,2032,0
RE1,PWRWND,WND,2033,0
RE1,PWRWND,WND,2034,0
RE1,PWRWND,WND,2035,0
RE1,PWRWND,WND,2036,0
RE1,PWRWND,WND,2037,0
RE1,PWRWND,WND,2038,0
RE1,PWRWND,WND,2039,0
RE1,PWRWND,WND,2040,0
