r,t,m,y,TotalAnnualTechnologyActivityByMode
"RE1","MINCOA",1,2020,0
"RE1","MINCOA",1,2021,0
"RE1","MINCOA",1,2022,0
"RE1","MINCOA",1,2023,0
"RE1","MINCOA",1,2024,0
"RE1","MINCOA",1,2025,0
"RE1","MINCOA",1,2026,0
"RE1","MINCOA",1,2027,0
"RE1","MINCOA",1,2028,0
"RE1","MINCOA",1,2029,0
"RE1","MINCOA",1,2030,0
"RE1","MINCOA",1,2031,0
"RE1","MINCOA",1,2032,0
"RE1","MINCOA",1,2033,0
"RE1","MINCOA",1,2034,0
"RE1","MINCOA",1,2035,0
"RE1","MINCOA",1,2036,0
"RE1","MINCOA",1,2037,0
"RE1","MINCOA",1,2038,0
"RE1","MINCOA",1,2039,0
"RE1","MINCOA",1,2040,0
"RE1","MINGAS",1,2020,57.8166666666667
"RE1","MINGAS",1,2021,59.5511666666667
"RE1","MINGAS",1,2022,61.3377016666667
"RE1","MINGAS",1,2023,63.1778327166667
"RE1","MINGAS",1,2024,65.0731676981667
"RE1","MINGAS",1,2025,67.0253627117667
"RE1","MINGAS",1,2026,69.0361236382167
"RE1","MINGAS",1,2027,71.10720729475
"RE1","MINGAS",1,2028,73.2404235164833
"RE1","MINGAS",1,2029,75.4376362549333
"RE1","MINGAS",1,2030,77.7007653125167
"RE1","MINGAS",1,2031,80.0317883083167
"RE1","MINGAS",1,2032,82.43274195005
"RE1","MINGAS",1,2033,84.9057241732833
"RE1","MINGAS",1,2034,87.45289593375
"RE1","MINGAS",1,2035,90.0764828262167
"RE1","MINGAS",1,2036,92.7787772815166
"RE1","MINGAS",1,2037,95.5621405901333
"RE1","MINGAS",1,2038,98.42900481015
"RE1","MINGAS",1,2039,101.381874964283
"RE1","MINGAS",1,2040,104.423331236917
"RE1","PWRCOA",1,2020,0
"RE1","PWRCOA",1,2021,0
"RE1","PWRCOA",1,2022,0
"RE1","PWRCOA",1,2023,0
"RE1","PWRCOA",1,2024,0
"RE1","PWRCOA",1,2025,0
"RE1","PWRCOA",1,2026,0
"RE1","PWRCOA",1,2027,0
"RE1","PWRCOA",1,2028,0
"RE1","PWRCOA",1,2029,0
"RE1","PWRCOA",1,2030,0
"RE1","PWRCOA",1,2031,0
"RE1","PWRCOA",1,2032,0
"RE1","PWRCOA",1,2033,0
"RE1","PWRCOA",1,2034,0
"RE1","PWRCOA",1,2035,0
"RE1","PWRCOA",1,2036,0
"RE1","PWRCOA",1,2037,0
"RE1","PWRCOA",1,2038,0
"RE1","PWRCOA",1,2039,0
"RE1","PWRCOA",1,2040,0
"RE1","PWRGAS",1,2020,28.9083333333333
"RE1","PWRGAS",1,2021,29.7755833333333
"RE1","PWRGAS",1,2022,30.6688508333333
"RE1","PWRGAS",1,2023,31.5889163583333
"RE1","PWRGAS",1,2024,32.5365838490833
"RE1","PWRGAS",1,2025,33.5126813558833
"RE1","PWRGAS",1,2026,34.5180618191083
"RE1","PWRGAS",1,2027,35.553603647375
"RE1","PWRGAS",1,2028,36.6202117582417
"RE1","PWRGAS",1,2029,37.7188181274667
"RE1","PWRGAS",1,2030,38.8503826562583
"RE1","PWRGAS",1,2031,40.0158941541583
