r,s,y,AccumulatedNewStorageCapacity
RE1,STG_1,2026,3.3845
RE1,STG_1,2027,11.2931
RE1,STG_1,2028,12.7132
RE1,STG_1,2029,14.2753
RE1,STG_1,2030,15.8753
RE1,STG_1,2031,17.6325
RE1,STG_1,2032,19.5385
RE1,STG_1,2033,21.4254
RE1,STG_1,2034,23.4787
RE1,STG_1,2035,25.5841
