r,s,y,CapitalInvestmentStorage
RE1,STG_1,2026,6.7691
RE1,STG_1,2027,15.817
RE1,STG_1,2028,2.8402
RE1,STG_1,2029,3.1243
RE1,STG_1,2030,3.2
RE1,STG_1,2031,3.5144
RE1,STG_1,2032,3.8118
RE1,STG_1,2033,3.7739
RE1,STG_1,2034,4.1066
RE1,STG_1,2035,4.2109
