r,l,t,m,y,RateOfActivity
RE1,S11,MINCOA,1,2020,316.4439
RE1,S12,MINCOA,1,2020,324.3103
RE1,S21,MINCOA,1,2020,324.3103
RE1,S22,MINCOA,1,2020,324.3103
RE1,S11,MINCOA,1,2021,378.432
RE1,S12,MINCOA,1,2021,378.432
RE1,S21,MINCOA,1,2021,255.6192
RE1,S22,MINCOA,1,2021,280.7728
RE1,S11,MINCOA,1,2022,378.432
RE1,S12,MINCOA,1,2022,378.432
RE1,S21,MINCOA,1,2022,229.4078
RE1,S22,MINCOA,1,2022,333.3544
RE1,S11,MINCOA,1,2023,378.432
RE1,S12,MINCOA,1,2023,378.432
RE1,S21,MINCOA,1,2023,206.9371
RE1,S22,MINCOA,1,2023,378.432
RE1,S11,MINCOA,1,2024,378.432
RE1,S12,MINCOA,1,2024,378.432
RE1,S21,MINCOA,1,2024,206.9371
RE1,S22,MINCOA,1,2024,378.432
RE1,S11,MINCOA,1,2025,371.9801
RE1,S12,MINCOA,1,2025,378.432
RE1,S21,MINCOA,1,2025,213.4865
RE1,S22,MINCOA,1,2025,378.432
RE1,S11,MINCOA,1,2026,209.4891
RE1,S12,MINCOA,1,2026,378.432
RE1,S21,MINCOA,1,2026,378.432
RE1,S22,MINCOA,1,2026,378.432
RE1,S11,MINCOA,1,2027,209.4891
RE1,S12,MINCOA,1,2027,378.432
RE1,S21,MINCOA,1,2027,378.432
RE1,S22,MINCOA,1,2027,378.432
RE1,S11,MINCOA,1,2028,209.4891
RE1,S12,MINCOA,1,2028,378.432
RE1,S21,MINCOA,1,2028,378.432
RE1,S22,MINCOA,1,2028,378.432
RE1,S11,MINCOA,1,2029,209.4891
RE1,S12,MINCOA,1,2029,378.432
RE1,S21,MINCOA,1,2029,378.432
RE1,S22,MINCOA,1,2029,378.432
RE1,S11,MINCOA,1,2030,104.7446
RE1,S12,MINCOA,1,2030,189.216
RE1,S21,MINCOA,1,2030,189.216
RE1,S22,MINCOA,1,2030,189.216
RE1,S11,MINCOA,1,2031,189.216
RE1,S12,MINCOA,1,2031,189.216
RE1,S21,MINCOA,1,2031,189.216
RE1,S22,MINCOA,1,2031,17.2015
RE1,S11,MINCOA,1,2032,104.7446
RE1,S12,MINCOA,1,2032,189.216
RE1,S21,MINCOA,1,2032,189.216
RE1,S22,MINCOA,1,2032,189.216
RE1,S11,MINCOA,1,2033,104.7446
RE1,S12,MINCOA,1,2033,189.216
RE1,S21,MINCOA,1,2033,189.216
RE1,S22,MINCOA,1,2033,189.216
RE1,S11,MINCOA,1,2034,104.7446
RE1,S12,MINCOA,1,2034,189.216
RE1,S21,MINCOA,1,2034,189.216
RE1,S22,MINCOA,1,2034,189.216
RE1,S11,MINCOA,1,2035,104.7446
RE1,S12,MINCOA,1,2035,189.216
RE1,S21,MINCOA,1,2035,189.216
RE1,S22,MINCOA,1,2035,189.216
RE1,S12,MINGAS,1,2020,2.9447
RE1,S21,MINGAS,1,2020,108.1192
RE1,S22,MINGAS,1,2020,19.9947
RE1,S11,MINGAS,1,2021,33.4682
RE1,S21,MINGAS,1,2021,169.0936
RE1,S11,MINGAS,1,2022,67.3683
RE1,S12,MINGAS,1,2022,18.728
RE1,S21,MINGAS,1,2022,229.1329
RE1,S11,MINGAS,1,2023,98.1048
RE1,S12,MINGAS,1,2023,49.3984
RE1,S21,MINGAS,1,2023,289.4564
RE1,S22,MINGAS,1,2023,7.3007
RE1,S11,MINGAS,1,2024,128.7592
RE1,S12,MINGAS,1,2024,79.9673
RE1,S21,MINGAS,1,2024,334.7265
RE1,S22,MINGAS,1,2024,44.5503
RE1,S11,MINGAS,1,2025,165.6138
RE1,S12,MINGAS,1,2025,112.4366
RE1,S21,MINGAS,1,2025,378.432
RE1,S22,MINGAS,1,2025,84.1065
RE1,S11,MINGAS,1,2026,315.36
RE1,S12,MINGAS,1,2026,158.1704
RE1,S21,MINGAS,1,2026,315.36
RE1,S22,MINGAS,1,2026,121.4759
RE1,S11,MINGAS,1,2027,318.336
RE1,S12,MINGAS,1,2027,307.5276
RE1,S21,MINGAS,1,2027,353.2587
RE1,S22,MINGAS,1,2027,149.7923
RE1,S11,MINGAS,1,2028,406.8919
RE1,S12,MINGAS,1,2028,253.2563
RE1,S21,MINGAS,1,2028,406.8919
RE1,S22,MINGAS,1,2028,193.4191
RE1,S11,MINGAS,1,2029,465.7787
RE1,S12,MINGAS,1,2029,270.3279
RE1,S21,MINGAS,1,2029,465.7787
RE1,S22,MINGAS,1,2029,241.348
RE1,S11,MINGAS,1,2030,582.643
RE1,S12,MINGAS,1,2030,443.0943
RE1,S21,MINGAS,1,2030,653.35
RE1,S22,MINGAS,1,2030,417.4592
RE1,S11,MINGAS,1,2031,513.3789
RE1,S12,MINGAS,1,2031,615.3436
RE1,S21,MINGAS,1,2031,717.2229
RE1,S22,MINGAS,1,2031,584.0342
RE1,S11,MINGAS,1,2032,680.7208
RE1,S12,MINGAS,1,2032,551.6674
RE1,S21,MINGAS,1,2032,786.3742
RE1,S22,MINGAS,1,2032,525.6118
RE1,S11,MINGAS,1,2033,733.5658
RE1,S12,MINGAS,1,2033,609.9276
RE1,S21,MINGAS,1,2033,858.0686
RE1,S22,MINGAS,1,2033,584.1921
RE1,S11,MINGAS,1,2034,790.3068
RE1,S12,MINGAS,1,2034,672.5841
RE1,S21,MINGAS,1,2034,935.057
RE1,S22,MINGAS,1,2034,647.0145
RE1,S11,MINGAS,1,2035,849.0019
RE1,S12,MINGAS,1,2035,737.3331
RE1,S21,MINGAS,1,2035,1014.6962
RE1,S22,MINGAS,1,2035,712.0649
RE1,S12,PWRGAS,1,2020,1.4724
RE1,S21,PWRGAS,1,2020,54.0596
RE1,S22,PWRGAS,1,2020,9.9973
RE1,S11,PWRGAS,1,2021,16.7341
RE1,S21,PWRGAS,1,2021,84.5468
RE1,S11,PWRGAS,1,2022,33.6842
RE1,S12,PWRGAS,1,2022,9.364
RE1,S21,PWRGAS,1,2022,114.5665
RE1,S11,PWRGAS,1,2023,49.0524
RE1,S12,PWRGAS,1,2023,24.6992
RE1,S21,PWRGAS,1,2023,144.7282
RE1,S22,PWRGAS,1,2023,3.6504
RE1,S11,PWRGAS,1,2024,64.3796
RE1,S12,PWRGAS,1,2024,39.9837
RE1,S21,PWRGAS,1,2024,167.3633
RE1,S22,PWRGAS,1,2024,22.2751
RE1,S11,PWRGAS,1,2025,82.8069
RE1,S12,PWRGAS,1,2025,56.2183
RE1,S21,PWRGAS,1,2025,189.216
RE1,S22,PWRGAS,1,2025,42.0533
RE1,S11,PWRGAS,1,2026,157.68
RE1,S12,PWRGAS,1,2026,79.0852
RE1,S21,PWRGAS,1,2026,157.68
RE1,S22,PWRGAS,1,2026,60.7379
RE1,S11,PWRGAS,1,2027,159.168
RE1,S12,PWRGAS,1,2027,153.7638
RE1,S21,PWRGAS,1,2027,176.6294
RE1,S22,PWRGAS,1,2027,74.8962
RE1,S11,PWRGAS,1,2028,203.4459
RE1,S12,PWRGAS,1,2028,126.6282
RE1,S21,PWRGAS,1,2028,203.4459
RE1,S22,PWRGAS,1,2028,96.7096
RE1,S11,PWRGAS,1,2029,232.8894
RE1,S12,PWRGAS,1,2029,135.1639
RE1,S21,PWRGAS,1,2029,232.8894
RE1,S22,PWRGAS,1,2029,120.674
RE1,S11,PWRGAS,1,2030,291.3215
RE1,S12,PWRGAS,1,2030,221.5472
RE1,S21,PWRGAS,1,2030,326.675
RE1,S22,PWRGAS,1,2030,208.7296
RE1,S11,PWRGAS,1,2031,256.6894
RE1,S12,PWRGAS,1,2031,307.6718
RE1,S21,PWRGAS,1,2031,358.6114
