r,s,y,DiscountedSalvageValueStorage
RE1,STG_1,2027,0.5093
RE1,STG_1,2028,0.1746
RE1,STG_1,2029,0.2752
RE1,STG_1,2030,0.3593
RE1,STG_1,2031,0.4719
RE1,STG_1,2032,0.588
RE1,STG_1,2033,0.6507
RE1,STG_1,2034,0.776
RE1,STG_1,2035,0.8589
