r,s,ls,ld,y,StorageLevelDayTypeFinish
RE1,STG_1,1,1,2020,50.0
RE1,STG_1,1,1,2021,5.0265
RE1,STG_1,1,1,2026,4.766
RE1,STG_1,1,1,2027,61.2931
RE1,STG_1,1,1,2028,15.1424
RE1,STG_1,1,1,2029,2.7614
RE1,STG_1,1,1,2030,4.2115
RE1,STG_1,1,1,2031,67.6325
RE1,STG_1,1,1,2032,11.3202
RE1,STG_1,1,1,2033,14.982
RE1,STG_1,1,1,2034,18.9666
RE1,STG_1,1,1,2035,23.0524
