r,s,y,StorageUpperLimit
RE1,STG_1,2020,50.0
RE1,STG_1,2021,50.0
RE1,STG_1,2022,50.0
RE1,STG_1,2023,50.0
RE1,STG_1,2024,50.0
RE1,STG_1,2025,50.0
RE1,STG_1,2026,53.3845
RE1,STG_1,2027,61.2931
RE1,STG_1,2028,62.7132
RE1,STG_1,2029,64.2753
RE1,STG_1,2030,65.8753
RE1,STG_1,2031,67.6325
RE1,STG_1,2032,69.5385
RE1,STG_1,2033,71.4254
RE1,STG_1,2034,73.4787
RE1,STG_1,2035,75.5841
