r,s,ls,ld,y,StorageLevelDayTypeStart
RE1,STG_1,1,1,2026,1.6923
RE1,STG_1,1,1,2027,5.6465
RE1,STG_1,1,1,2028,6.3566
RE1,STG_1,1,1,2029,7.1377
RE1,STG_1,1,1,2030,7.9377
RE1,STG_1,1,1,2031,8.8163
RE1,STG_1,1,1,2032,9.7692
RE1,STG_1,1,1,2033,10.7127
RE1,STG_1,1,1,2034,11.7393
RE1,STG_1,1,1,2035,12.7921
RE1,STG_1,2,1,2020,2.8357
RE1,STG_1,2,1,2021,12.3318
RE1,STG_1,2,1,2022,12.3318
RE1,STG_1,2,1,2023,12.3318
RE1,STG_1,2,1,2024,12.3318
RE1,STG_1,2,1,2025,12.3318
RE1,STG_1,2,1,2026,15.6962
RE1,STG_1,2,1,2027,23.5574
RE1,STG_1,2,1,2028,24.969
RE1,STG_1,2,1,2029,26.5218
RE1,STG_1,2,1,2030,28.1122
RE1,STG_1,2,1,2031,29.859
RE1,STG_1,2,1,2032,31.7535
RE1,STG_1,2,1,2033,33.6291
RE1,STG_1,2,1,2034,35.6702
RE1,STG_1,2,1,2035,37.763
