r,s,y,NewStorageCapacity
RE1,STG_1,2026,3.3845
RE1,STG_1,2027,7.9085
RE1,STG_1,2028,1.4201
RE1,STG_1,2029,1.5622
RE1,STG_1,2030,1.6
RE1,STG_1,2031,1.7572
RE1,STG_1,2032,1.9059
RE1,STG_1,2033,1.8869
RE1,STG_1,2034,2.0533
RE1,STG_1,2035,2.1055
