r,t,y,AnnualVariableOperatingCost
RE1,MINCOA,2020,488.9341
RE1,MINCOA,2021,488.9341
RE1,MINCOA,2022,488.9341
RE1,MINCOA,2023,492.1508
RE1,MINCOA,2024,495.3675
RE1,MINCOA,2025,498.5842
RE1,MINCOA,2026,501.8008
RE1,MINCOA,2027,501.8008
RE1,MINCOA,2028,505.0175
RE1,MINCOA,2029,508.2342
RE1,MINCOA,2030,255.7254
RE1,MINCOA,2031,254.1171
RE1,MINCOA,2032,254.1171
RE1,MINCOA,2033,254.1171
RE1,MINCOA,2034,252.5088
RE1,MINCOA,2035,252.5088
RE1,MINGAS,2020,146.4507
RE1,MINGAS,2021,248.6965
RE1,MINGAS,2022,377.0289
RE1,MINGAS,2023,514.3898
RE1,MINGAS,2024,652.1639
RE1,MINGAS,2025,799.1413
RE1,MINGAS,2026,963.6048
RE1,MINGAS,2027,1129.0148
RE1,MINGAS,2028,1303.885
RE1,MINGAS,2029,1496.547
RE1,MINGAS,2030,2104.7672
RE1,MINGAS,2031,2328.8227
RE1,MINGAS,2032,2580.0939
RE1,MINGAS,2033,2837.204
RE1,MINGAS,2034,3115.61
RE1,MINGAS,2035,3415.4673
RE1,PWRGAS,2020,9.8953
RE1,PWRGAS,2021,16.8038
RE1,PWRGAS,2022,25.4063
RE1,PWRGAS,2023,34.5692
RE1,PWRGAS,2024,43.7107
RE1,PWRGAS,2025,53.4185
RE1,PWRGAS,2026,64.2403
RE1,PWRGAS,2027,75.0675
RE1,PWRGAS,2028,86.4645
RE1,PWRGAS,2029,98.978
RE1,PWRGAS,2030,138.8369
RE1,PWRGAS,2031,152.4099
RE1,PWRGAS,2032,167.1045
RE1,PWRGAS,2033,182.3396
RE1,PWRGAS,2034,198.6996
RE1,PWRGAS,2035,215.6229
RE1,PWRCOA,2020,235.8893
RE1,PWRCOA,2021,235.8893
RE1,PWRCOA,2022,235.8893
RE1,PWRCOA,2023,235.8893
RE1,PWRCOA,2024,235.8893
RE1,PWRCOA,2025,235.8893
RE1,PWRCOA,2026,235.8893
RE1,PWRCOA,2027,235.8893
RE1,PWRCOA,2028,235.8893
RE1,PWRCOA,2029,235.8893
RE1,PWRCOA,2030,117.9446
RE1,PWRCOA,2031,117.9446
RE1,PWRCOA,2032,117.9446
RE1,PWRCOA,2033,117.9446
RE1,PWRCOA,2034,117.9446
RE1,PWRCOA,2035,117.9446
RE1,PWRTRN,2020,0.0177
RE1,PWRTRN,2021,0.0191
RE1,PWRTRN,2022,0.0208
RE1,PWRTRN,2023,0.0227
RE1,PWRTRN,2024,0.0245
RE1,PWRTRN,2025,0.0265
RE1,PWRTRN,2026,0.0286
RE1,PWRTRN,2027,0.0308
RE1,PWRTRN,2028,0.0331
RE1,PWRTRN,2029,0.0356
RE1,PWRTRN,2030,0.0382
RE1,PWRTRN,2031,0.0409
RE1,PWRTRN,2032,0.0438
RE1,PWRTRN,2033,0.0469
RE1,PWRTRN,2034,0.0502
RE1,PWRTRN,2035,0.0536
RE1,RSCLND,2020,0.03
RE1,RSCLND,2021,0.03
RE1,RSCLND,2022,0.03
RE1,RSCLND,2023,0.03
RE1,RSCLND,2024,0.03
RE1,RSCLND,2025,0.03
RE1,RSCLND,2026,0.03
RE1,RSCLND,2027,0.03
RE1,RSCLND,2028,0.03
RE1,RSCLND,2029,0.03
RE1,RSCLND,2030,0.03
RE1,RSCLND,2031,0.03
RE1,RSCLND,2032,0.03
RE1,RSCLND,2033,0.03
RE1,RSCLND,2034,0.03
RE1,RSCLND,2035,0.03
RE1,LNDMAIRNF,2020,172.2
RE1,LNDMAIRNF,2021,154.98
RE1,LNDMAIRNF,2022,137.76
