r,s,y,SalvageValueStorage
RE1,STG_1,2027,2.3401
RE1,STG_1,2028,0.8022
RE1,STG_1,2029,1.2645
RE1,STG_1,2030,1.6508
RE1,STG_1,2031,2.1682
RE1,STG_1,2032,2.7018
RE1,STG_1,2033,2.9901
RE1,STG_1,2034,3.5655
RE1,STG_1,2035,3.9467
