r,t,f,y,InputToTotalCapacity
RE1,PWRHYD,LWAT,2020,0.021
RE1,PWRHYD,LWAT,2021,0.021
RE1,PWRHYD,LWAT,2022,0.021
RE1,PWRHYD,LWAT,2023,0.021
RE1,PWRHYD,LWAT,2024,0.021
RE1,PWRHYD,LWAT,2025,0.021
RE1,PWRHYD,LWAT,2026,0.021
RE1,PWRHYD,LWAT,2027,0.021
RE1,PWRHYD,LWAT,2028,0.021
RE1,PWRHYD,LWAT,2029,0.021
RE1,PWRHYD,LWAT,2030,0.021
RE1,PWRHYD,LWAT,2031,0.021
RE1,PWRHYD,LWAT,2032,0.021
RE1,PWRHYD,LWAT,2033,0.021
RE1,PWRHYD,LWAT,2034,0.021
RE1,PWRHYD,LWAT,2035,0.021
