r,t,y,CapitalInvestment
RE1,PWRGAS,2030,1828.9266
RE1,PWRGAS,2031,1573.1601
RE1,PWRGAS,2032,251.813
RE1,PWRGAS,2033,335.7507
RE1,PWRGAS,2034,251.813
RE1,PWRGAS,2035,335.7507
RE1,PWRTRN,2020,19585.46
RE1,PWRTRN,2021,587.5638
RE1,PWRTRN,2022,391.7092
RE1,PWRTRN,2023,587.5638
RE1,PWRTRN,2024,391.7092
RE1,PWRTRN,2025,587.5638
RE1,PWRTRN,2026,587.5638
RE1,PWRTRN,2027,587.5638
RE1,PWRTRN,2028,587.5638
RE1,PWRTRN,2029,587.5638
RE1,PWRTRN,2030,587.5638
RE1,PWRTRN,2031,587.5638
RE1,PWRTRN,2032,587.5638
RE1,PWRTRN,2033,783.4184
RE1,PWRTRN,2034,587.5638
RE1,PWRTRN,2035,783.4184
RE1,PWRHYD,2025,600.0
RE1,PWRWND,2027,1093.0492
RE1,PWRWND,2028,1378.8164
RE1,PWRWND,2029,1378.8164
RE1,PWRWND,2030,4242.0629
RE1,PWRWND,2032,304.414
RE1,PWRWND,2033,405.8853
RE1,PWRWND,2034,304.414
RE1,PWRWND,2035,405.8853
