r,t,e,y,AnnualTechnologyEmission
RE1,MINCOA,CO2,2020,0.0
RE1,MINCOA,CO2,2021,382.536
RE1,MINCOA,CO2,2022,637.56
RE1,MINCOA,CO2,2023,1020.096
RE1,MINCOA,CO2,2024,1275.12
RE1,MINCOA,CO2,2025,1657.656
RE1,MINCOA,CO2,2026,2040.192
RE1,MINCOA,CO2,2027,2422.728
RE1,MINCOA,CO2,2028,2805.264
RE1,MINCOA,CO2,2029,3187.8
RE1,MINCOA,CO2,2030,2959.3382
RE1,MINCOA,CO2,2031,2959.3382
RE1,MINCOA,CO2,2032,2959.3382
RE1,MINCOA,CO2,2033,2959.3382
RE1,MINCOA,CO2,2034,2959.3382
RE1,MINCOA,CO2,2035,2959.3382
RE1,MINGAS,CO2,2020,0.0
RE1,MINGAS,CO2,2021,0.0
RE1,MINGAS,CO2,2022,0.0
RE1,MINGAS,CO2,2023,0.0
RE1,MINGAS,CO2,2024,0.0
RE1,MINGAS,CO2,2025,0.0
RE1,MINGAS,CO2,2026,0.0
RE1,MINGAS,CO2,2027,0.0
RE1,MINGAS,CO2,2028,0.0
RE1,MINGAS,CO2,2029,0.0
RE1,MINGAS,CO2,2030,221.376
RE1,MINGAS,CO2,2031,359.976
RE1,MINGAS,CO2,2032,498.576
RE1,MINGAS,CO2,2033,683.376
RE1,MINGAS,CO2,2034,821.976
RE1,MINGAS,CO2,2035,1006.776
