r,t,y,SalvageValue
RE1,PWRGAS,2030,1463.1413
RE1,PWRGAS,2031,1310.9667
RE1,PWRGAS,2032,218.238
RE1,PWRGAS,2033,302.1757
RE1,PWRGAS,2034,235.0255
RE1,PWRGAS,2035,324.559
RE1,PWRTRN,2020,15668.368
RE1,PWRTRN,2021,477.3956
RE1,PWRTRN,2022,323.1601
RE1,PWRTRN,2023,492.0847
RE1,PWRTRN,2024,332.9528
RE1,PWRTRN,2025,506.7738
RE1,PWRTRN,2026,514.1183
RE1,PWRTRN,2027,521.4629
RE1,PWRTRN,2028,528.8074
RE1,PWRTRN,2029,536.152
RE1,PWRTRN,2030,543.4965
RE1,PWRTRN,2031,550.8411
RE1,PWRTRN,2032,558.1856
RE1,PWRTRN,2033,754.0402
RE1,PWRTRN,2034,572.8747
RE1,PWRTRN,2035,773.6257
RE1,PWRHYD,2025,517.5
RE1,PWRWND,2027,601.1771
RE1,PWRWND,2028,827.2898
RE1,PWRWND,2029,896.2306
RE1,PWRWND,2030,2969.444
RE1,PWRWND,2032,243.5312
RE1,PWRWND,2033,345.0025
RE1,PWRWND,2034,273.9726
RE1,PWRWND,2035,385.5911
