r,t,y,DiscountedSalvageValue
RE1,PWRGAS,2030,670.2819
RE1,PWRGAS,2031,600.569
RE1,PWRGAS,2032,99.9773
RE1,PWRGAS,2033,138.4302
RE1,PWRGAS,2034,107.6679
RE1,PWRGAS,2035,148.6842
RE1,PWRTRN,2020,7177.8598
RE1,PWRTRN,2021,218.7004
RE1,PWRTRN,2022,148.0434
RE1,PWRTRN,2023,225.4297
RE1,PWRTRN,2024,152.5295
RE1,PWRTRN,2025,232.1589
RE1,PWRTRN,2026,235.5235
RE1,PWRTRN,2027,238.8882
RE1,PWRTRN,2028,242.2528
RE1,PWRTRN,2029,245.6174
RE1,PWRTRN,2030,248.982
RE1,PWRTRN,2031,252.3466
RE1,PWRTRN,2032,255.7113
RE1,PWRTRN,2033,345.4345
RE1,PWRTRN,2034,262.4405
RE1,PWRTRN,2035,354.4068
RE1,PWRHYD,2025,237.0727
RE1,PWRWND,2027,275.4061
RE1,PWRWND,2028,378.991
RE1,PWRWND,2029,410.5736
RE1,PWRWND,2030,1360.3365
RE1,PWRWND,2032,111.5644
RE1,PWRWND,2033,158.0496
RE1,PWRWND,2034,125.51
RE1,PWRWND,2035,176.6437
