r,l,t,f,y,UseByTechnology
RE1,S11,LNDBLT,LND,2020,0
RE1,S11,LNDBLT,LND,2021,0
RE1,S11,LNDBLT,LND,2022,0
RE1,S11,LNDBLT,LND,2023,0
RE1,S11,LNDBLT,LND,2024,0
RE1,S11,LNDBLT,LND,2025,0
RE1,S11,LNDBLT,LND,2026,0
RE1,S11,LNDBLT,LND,2027,0
RE1,S11,LNDBLT,LND,2028,0
RE1,S11,LNDBLT,LND,2029,0
RE1,S11,LNDBLT,LND,2030,0
RE1,S11,LNDBLT,LND,2031,0
RE1,S11,LNDBLT,LND,2032,0
RE1,S11,LNDBLT,LND,2033,0
RE1,S11,LNDBLT,LND,2034,0
RE1,S11,LNDBLT,LND,2035,0
RE1,S11,LNDBLT,WTRPRC,2020,0
RE1,S11,LNDBLT,WTRPRC,2021,0
RE1,S11,LNDBLT,WTRPRC,2022,0
RE1,S11,LNDBLT,WTRPRC,2023,0
RE1,S11,LNDBLT,WTRPRC,2024,0
RE1,S11,LNDBLT,WTRPRC,2025,0
RE1,S11,LNDBLT,WTRPRC,2026,0
RE1,S11,LNDBLT,WTRPRC,2027,0
RE1,S11,LNDBLT,WTRPRC,2028,0
RE1,S11,LNDBLT,WTRPRC,2029,0
RE1,S11,LNDBLT,WTRPRC,2030,0
RE1,S11,LNDBLT,WTRPRC,2031,0
RE1,S11,LNDBLT,WTRPRC,2032,0
RE1,S11,LNDBLT,WTRPRC,2033,0
RE1,S11,LNDBLT,WTRPRC,2034,0
RE1,S11,LNDBLT,WTRPRC,2035,0
RE1,S11,LNDFOR,LND,2020,0
RE1,S11,LNDFOR,LND,2021,0
RE1,S11,LNDFOR,LND,2022,0
RE1,S11,LNDFOR,LND,2023,0
RE1,S11,LNDFOR,LND,2024,0
RE1,S11,LNDFOR,LND,2025,0
RE1,S11,LNDFOR,LND,2026,0
RE1,S11,LNDFOR,LND,2027,0
RE1,S11,LNDFOR,LND,2028,0
RE1,S11,LNDFOR,LND,2029,0
RE1,S11,LNDFOR,LND,2030,0
RE1,S11,LNDFOR,LND,2031,0
RE1,S11,LNDFOR,LND,2032,0
RE1,S11,LNDFOR,LND,2033,0
RE1,S11,LNDFOR,LND,2034,0
RE1,S11,LNDFOR,LND,2035,0
RE1,S11,LNDFOR,WTRPRC,2020,0
RE1,S11,LNDFOR,WTRPRC,2021,0
RE1,S11,LNDFOR,WTRPRC,2022,0
RE1,S11,LNDFOR,WTRPRC,2023,0
RE1,S11,LNDFOR,WTRPRC,2024,0
RE1,S11,LNDFOR,WTRPRC,2025,0
RE1,S11,LNDFOR,WTRPRC,2026,0
RE1,S11,LNDFOR,WTRPRC,2027,0
RE1,S11,LNDFOR,WTRPRC,2028,0
RE1,S11,LNDFOR,WTRPRC,2029,0
RE1,S11,LNDFOR,WTRPRC,2030,0
RE1,S11,LNDFOR,WTRPRC,2031,0
RE1,S11,LNDFOR,WTRPRC,2032,0
RE1,S11,LNDFOR,WTRPRC,2033,0
RE1,S11,LNDFOR,WTRPRC,2034,0
RE1,S11,LNDFOR,WTRPRC,2035,0
RE1,S11,LNDMAIHI,LND,2020,0
RE1,S11,LNDMAIHI,LND,2021,0
RE1,S11,LNDMAIHI,LND,2022,0
RE1,S11,LNDMAIHI,LND,2023,0
RE1,S11,LNDMAIHI,LND,2024,0
RE1,S11,LNDMAIHI,LND,2025,0
RE1,S11,LNDMAIHI,LND,2026,0
RE1,S11,LNDMAIHI,LND,2027,0
RE1,S11,LNDMAIHI,LND,2028,0
RE1,S11,LNDMAIHI,LND,2029,0
RE1,S11,LNDMAIHI,LND,2030,0
RE1,S11,LNDMAIHI,LND,2031,0
RE1,S11,LNDMAIHI,LND,2032,0
RE1,S11,LNDMAIHI,LND,2033,0
RE1,S11,LNDMAIHI,LND,2034,0
RE1,S11,LNDMAIHI,LND,2035,0
RE1,S11,LNDMAIHI,WTRPRC,2020,0
RE1,S11,LNDMAIHI,WTRPRC,2021,0
RE1,S11,LNDMAIHI,WTRPRC,2022,0
RE1,S11,LNDMAIHI,WTRPRC,2023,0
RE1,S11,LNDMAIHI,WTRPRC,2024,0
RE1,S11,LNDMAIHI,WTRPRC,2025,0
RE1,S11,LNDMAIHI,WTRPRC,2026,0
RE1,S11,LNDMAIHI,WTRPRC,2027,0
RE1,S11,LNDMAIHI,WTRPRC,2028,0
RE1,S11,LNDMAIHI,WTRPRC,2029,0
RE1,S11,LNDMAIHI,WTRPRC,2030,0
RE1,S11,LNDMAIHI,WTRPRC,2031,0
RE1,S11,LNDMAIHI,WTRPRC,2032,0
RE1,S11,LNDMAIHI,WTRPRC,2033,0
RE1,S11,LNDMAIHI,WTRPRC,2034,0
RE1,S11,LNDMAIHI,WTRPRC,2035,0
RE1,S11,LNDMAIHR,LND,2020,0
RE1,S11,LNDMAIHR,LND,2021,0
RE1,S11,LNDMAIHR,LND,2022,0
RE1,S11,LNDMAIHR,LND,2023,0
RE1,S11,LNDMAIHR,LND,2024,0
RE1,S11,LNDMAIHR,LND,2025,0
RE1,S11,LNDMAIHR,LND,2026,0
RE1,S11,LNDMAIHR,LND,2027,0
RE1,S11,LNDMAIHR,LND,2028,0
