r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,DEMPWRSURWAT,1,2020,0.0
RE1,DEMPWRSURWAT,1,2021,0.0
RE1,DEMPWRSURWAT,1,2022,0.0
RE1,DEMPWRSURWAT,1,2023,0.0
RE1,DEMPWRSURWAT,1,2024,0.0
RE1,DEMPWRSURWAT,1,2025,0.0
RE1,DEMPWRSURWAT,1,2026,0.0
RE1,DEMPWRSURWAT,1,2027,0.0
RE1,DEMPWRSURWAT,1,2028,0.0
RE1,DEMPWRSURWAT,1,2029,0.0
RE1,DEMPWRSURWAT,1,2030,0.0
RE1,DEMPWRSURWAT,1,2031,0.0
RE1,DEMPWRSURWAT,1,2032,0.0
RE1,DEMPWRSURWAT,1,2033,0.0
RE1,DEMPWRSURWAT,1,2034,0.0
RE1,DEMPWRSURWAT,1,2035,0.0
RE1,LNDBLT,1,2020,10.0
RE1,LNDBLT,1,2021,10.3
RE1,LNDBLT,1,2022,10.6
RE1,LNDBLT,1,2023,10.9
RE1,LNDBLT,1,2024,11.3
RE1,LNDBLT,1,2025,11.6
RE1,LNDBLT,1,2026,11.9
RE1,LNDBLT,1,2027,12.3
RE1,LNDBLT,1,2028,12.7
RE1,LNDBLT,1,2029,13.0
RE1,LNDBLT,1,2030,13.4
RE1,LNDBLT,1,2031,13.8
RE1,LNDBLT,1,2032,14.3
RE1,LNDBLT,1,2033,14.7
RE1,LNDBLT,1,2034,15.1
RE1,LNDBLT,1,2035,15.6
RE1,LNDFOR,1,2020,175.0
RE1,LNDFOR,1,2021,172.65
RE1,LNDFOR,1,2022,170.4
RE1,LNDFOR,1,2023,167.925
RE1,LNDFOR,1,2024,165.35
RE1,LNDFOR,1,2025,162.875
RE1,LNDFOR,1,2026,160.3
RE1,LNDFOR,1,2027,157.625
RE1,LNDFOR,1,2028,154.825
RE1,LNDFOR,1,2029,152.0
RE1,LNDFOR,1,2030,149.2
RE1,LNDFOR,1,2031,146.175
RE1,LNDFOR,1,2032,143.15
RE1,LNDFOR,1,2033,140.025
RE1,LNDFOR,1,2034,136.875
RE1,LNDFOR,1,2035,133.625
RE1,LNDMAIHI,1,2020,0.0
RE1,LNDMAIHI,1,2021,0.0
RE1,LNDMAIHI,1,2022,0.0
RE1,LNDMAIHI,1,2023,0.0
RE1,LNDMAIHI,1,2024,0.0
RE1,LNDMAIHI,1,2025,0.0
RE1,LNDMAIHI,1,2026,0.0
RE1,LNDMAIHI,1,2027,0.0
RE1,LNDMAIHI,1,2028,0.0
RE1,LNDMAIHI,1,2029,0.0
RE1,LNDMAIHI,1,2030,0.0
RE1,LNDMAIHI,1,2031,0.0
RE1,LNDMAIHI,1,2032,0.0
RE1,LNDMAIHI,1,2033,0.0
RE1,LNDMAIHI,1,2034,0.0
RE1,LNDMAIHI,1,2035,0.0
RE1,LNDMAIHR,1,2020,50.0
RE1,LNDMAIHR,1,2021,51.25
RE1,LNDMAIHR,1,2022,52.5
RE1,LNDMAIHR,1,2023,53.875
RE1,LNDMAIHR,1,2024,55.25
RE1,LNDMAIHR,1,2025,56.625
RE1,LNDMAIHR,1,2026,58.0
RE1,LNDMAIHR,1,2027,59.375
RE1,LNDMAIHR,1,2028,60.875
RE1,LNDMAIHR,1,2029,62.5
RE1,LNDMAIHR,1,2030,64.0
RE1,LNDMAIHR,1,2031,65.625
RE1,LNDMAIHR,1,2032,67.25
RE1,LNDMAIHR,1,2033,68.875
RE1,LNDMAIHR,1,2034,70.625
RE1,LNDMAIHR,1,2035,72.375
RE1,LNDRICHI,1,2020,0.0
RE1,LNDRICHI,1,2021,0.0
RE1,LNDRICHI,1,2022,0.0
RE1,LNDRICHI,1,2023,0.0
RE1,LNDRICHI,1,2024,0.0
RE1,LNDRICHI,1,2025,0.0
RE1,LNDRICHI,1,2026,0.0
RE1,LNDRICHI,1,2027,0.0
RE1,LNDRICHI,1,2028,0.0
RE1,LNDRICHI,1,2029,0.0
RE1,LNDRICHI,1,2030,0.0
RE1,LNDRICHI,1,2031,0.0
RE1,LNDRICHI,1,2032,0.0
RE1,LNDRICHI,1,2033,0.0
RE1,LNDRICHI,1,2034,0.0
RE1,LNDRICHI,1,2035,0.0
RE1,LNDRICHR,1,2020,30.0
RE1,LNDRICHR,1,2021,30.8
RE1,LNDRICHR,1,2022,31.5
RE1,LNDRICHR,1,2023,32.3
RE1,LNDRICHR,1,2024,33.1
RE1,LNDRICHR,1,2025,33.9
RE1,LNDRICHR,1,2026,34.8
RE1,LNDRICHR,1,2027,35.7
RE1,LNDRICHR,1,2028,36.6
RE1,LNDRICHR,1,2029,37.5
RE1,LNDRICHR,1,2030,38.4
RE1,LNDRICHR,1,2031,39.4
RE1,LNDRICHR,1,2032,40.3
RE1,LNDRICHR,1,2033,41.4
RE1,LNDRICHR,1,2034,42.4
RE1,LNDRICHR,1,2035,43.4
RE1,LNDWAT,1,2020,35.0
RE1,LNDWAT,1,2021,35.0
RE1,LNDWAT,1,2022,35.0
RE1,LNDWAT,1,2023,35.0
RE1,LNDWAT,1,2024,35.0
RE1,LNDWAT,1,2025,35.0
RE1,LNDWAT,1,2026,35.0
RE1,LNDWAT,1,2027,35.0
RE1,LNDWAT,1,2028,35.0
RE1,LNDWAT,1,2029,35.0
RE1,LNDWAT,1,2030,35.0
RE1,LNDWAT,1,2031,35.0
RE1,LNDWAT,1,2032,35.0
RE1,LNDWAT,1,2033,35.0
RE1,LNDWAT,1,2034,35.0
RE1,LNDWAT,1,2035,35.0
RE1,MINCOA,1,2020,0.0
RE1,MINCOA,1,2021,4.158
RE1,MINCOA,1,2022,6.93
RE1,MINCOA,1,2023,11.088
RE1,MINCOA,1,2024,13.86
RE1,MINCOA,1,2025,18.018
RE1,MINCOA,1,2026,22.176
RE1,MINCOA,1,2027,26.334
RE1,MINCOA,1,2028,30.492
RE1,MINCOA,1,2029,34.65
RE1,MINCOA,1,2030,32.1667
RE1,MINCOA,1,2031,32.1667
RE1,MINCOA,1,2032,32.1667
RE1,MINCOA,1,2033,32.1667
RE1,MINCOA,1,2034,32.1667
RE1,MINCOA,1,2035,32.1667
RE1,MINGAS,1,2020,0.0
RE1,MINGAS,1,2021,0.0
RE1,MINGAS,1,2022,0.0
RE1,MINGAS,1,2023,0.0
RE1,MINGAS,1,2024,0.0
RE1,MINGAS,1,2025,0.0
RE1,MINGAS,1,2026,0.0
RE1,MINGAS,1,2027,0.0
RE1,MINGAS,1,2028,0.0
RE1,MINGAS,1,2029,0.0
RE1,MINGAS,1,2030,4.4275
RE1,MINGAS,1,2031,7.1995
RE1,MINGAS,1,2032,9.9715
RE1,MINGAS,1,2033,13.6675
RE1,MINGAS,1,2034,16.4395
RE1,MINGAS,1,2035,20.1355
RE1,MINHYD,1,2020,7.4425
RE1,MINHYD,1,2021,7.4425
RE1,MINHYD,1,2022,7.4425
RE1,MINHYD,1,2023,7.4425
RE1,MINHYD,1,2024,11.6999
RE1,MINHYD,1,2025,6.9379
RE1,MINHYD,1,2026,5.3611
RE1,MINHYD,1,2027,5.3611
RE1,MINHYD,1,2028,5.3611
RE1,MINHYD,1,2029,9.6185
RE1,MINHYD,1,2030,9.6185
RE1,MINHYD,1,2031,9.6185
RE1,MINHYD,1,2032,9.6185
RE1,MINHYD,1,2033,9.6185
RE1,MINHYD,1,2034,9.6185
RE1,MINHYD,1,2035,9.6185
RE1,MINLND,1,2020,300.0
RE1,MINLND,1,2021,300.0
RE1,MINLND,1,2022,300.0
RE1,MINLND,1,2023,300.0
RE1,MINLND,1,2024,300.0
RE1,MINLND,1,2025,300.0
RE1,MINLND,1,2026,300.0
RE1,MINLND,1,2027,300.0
RE1,MINLND,1,2028,300.0
RE1,MINLND,1,2029,300.0
RE1,MINLND,1,2030,300.0
RE1,MINLND,1,2031,300.0
RE1,MINLND,1,2032,300.0
RE1,MINLND,1,2033,300.0
RE1,MINLND,1,2034,300.0
RE1,MINLND,1,2035,300.0
RE1,MINPRC,1,2020,360.0
RE1,MINPRC,1,2021,360.0
RE1,MINPRC,1,2022,360.0
RE1,MINPRC,1,2023,360.0
RE1,MINPRC,1,2024,360.0
RE1,MINPRC,1,2025,360.0
RE1,MINPRC,1,2026,360.0
RE1,MINPRC,1,2027,360.0
RE1,MINPRC,1,2028,360.0
RE1,MINPRC,1,2029,360.0
RE1,MINPRC,1,2030,360.0
RE1,MINPRC,1,2031,360.0
RE1,MINPRC,1,2032,360.0
RE1,MINPRC,1,2033,360.0
RE1,MINPRC,1,2034,360.0
RE1,MINPRC,1,2035,360.0
RE1,MINSOL,1,2020,0.0
RE1,MINSOL,1,2021,0.0
RE1,MINSOL,1,2022,0.0
RE1,MINSOL,1,2023,0.0
RE1,MINSOL,1,2024,0.0
RE1,MINSOL,1,2025,0.0
RE1,MINSOL,1,2026,0.0
RE1,MINSOL,1,2027,0.0
RE1,MINSOL,1,2028,0.0
RE1,MINSOL,1,2029,0.0
RE1,MINSOL,1,2030,0.0
RE1,MINSOL,1,2031,0.0
RE1,MINSOL,1,2032,0.0
RE1,MINSOL,1,2033,0.0
RE1,MINSOL,1,2034,0.0
RE1,MINSOL,1,2035,0.0
RE1,MINWND,1,2020,102.5575
RE1,MINWND,1,2021,104.4715
RE1,MINWND,1,2022,105.7475
RE1,MINWND,1,2023,107.6615
RE1,MINWND,1,2024,104.6801
RE1,MINWND,1,2025,111.3561
RE1,MINWND,1,2026,114.8469
RE1,MINWND,1,2027,116.7609
RE1,MINWND,1,2028,118.6749
RE1,MINWND,1,2029,116.3315
RE1,MINWND,1,2030,118.2455
RE1,MINWND,1,2031,120.1595
RE1,MINWND,1,2032,122.0735
RE1,MINWND,1,2033,124.6255
RE1,MINWND,1,2034,126.5395
RE1,MINWND,1,2035,129.0915
RE1,PWRCOA,1,2020,0.0
RE1,PWRCOA,1,2021,1.386
RE1,PWRCOA,1,2022,2.31
RE1,PWRCOA,1,2023,3.696
RE1,PWRCOA,1,2024,4.62
RE1,PWRCOA,1,2025,6.006
RE1,PWRCOA,1,2026,7.392
RE1,PWRCOA,1,2027,8.778
RE1,PWRCOA,1,2028,10.164
RE1,PWRCOA,1,2029,11.55
RE1,PWRCOA,1,2030,10.7222
RE1,PWRCOA,1,2031,10.7222
RE1,PWRCOA,1,2032,10.7222
RE1,PWRCOA,1,2033,10.7222
RE1,PWRCOA,1,2034,10.7222
RE1,PWRCOA,1,2035,10.7222
RE1,PWRGAS,1,2020,0.0
RE1,PWRGAS,1,2021,0.0
RE1,PWRGAS,1,2022,0.0
RE1,PWRGAS,1,2023,0.0
RE1,PWRGAS,1,2024,0.0
RE1,PWRGAS,1,2025,0.0
RE1,PWRGAS,1,2026,0.0
RE1,PWRGAS,1,2027,0.0
RE1,PWRGAS,1,2028,0.0
RE1,PWRGAS,1,2029,0.0
RE1,PWRGAS,1,2030,2.2138
RE1,PWRGAS,1,2031,3.5998
RE1,PWRGAS,1,2032,4.9858
RE1,PWRGAS,1,2033,6.8338
RE1,PWRGAS,1,2034,8.2198
RE1,PWRGAS,1,2035,10.0678
RE1,PWRHYD,1,2020,7.4425
RE1,PWRHYD,1,2021,7.4425
RE1,PWRHYD,1,2022,7.4425
RE1,PWRHYD,1,2023,7.4425
RE1,PWRHYD,1,2024,11.6999
RE1,PWRHYD,1,2025,6.9379
RE1,PWRHYD,1,2026,5.3611
RE1,PWRHYD,1,2027,5.3611
RE1,PWRHYD,1,2028,5.3611
RE1,PWRHYD,1,2029,9.6185
RE1,PWRHYD,1,2030,9.6185
RE1,PWRHYD,1,2031,9.6185
RE1,PWRHYD,1,2032,9.6185
RE1,PWRHYD,1,2033,9.6185
RE1,PWRHYD,1,2034,9.6185
RE1,PWRHYD,1,2035,9.6185
RE1,PWRSOL,1,2020,0.0
RE1,PWRSOL,1,2021,0.0
RE1,PWRSOL,1,2022,0.0
RE1,PWRSOL,1,2023,0.0
RE1,PWRSOL,1,2024,0.0
RE1,PWRSOL,1,2025,0.0
RE1,PWRSOL,1,2026,0.0
RE1,PWRSOL,1,2027,0.0
RE1,PWRSOL,1,2028,0.0
RE1,PWRSOL,1,2029,0.0
RE1,PWRSOL,1,2030,0.0
RE1,PWRSOL,1,2031,0.0
RE1,PWRSOL,1,2032,0.0
RE1,PWRSOL,1,2033,0.0
RE1,PWRSOL,1,2034,0.0
RE1,PWRSOL,1,2035,0.0
RE1,PWRTRN,1,2020,100.0
RE1,PWRTRN,1,2021,103.0
RE1,PWRTRN,1,2022,105.0
RE1,PWRTRN,1,2023,108.0
RE1,PWRTRN,1,2024,110.0
RE1,PWRTRN,1,2025,113.0
RE1,PWRTRN,1,2026,116.0
RE1,PWRTRN,1,2027,119.0
RE1,PWRTRN,1,2028,122.0
RE1,PWRTRN,1,2029,125.0
RE1,PWRTRN,1,2030,128.0
RE1,PWRTRN,1,2031,131.0
RE1,PWRTRN,1,2032,134.0
RE1,PWRTRN,1,2033,138.0
RE1,PWRTRN,1,2034,141.0
RE1,PWRTRN,1,2035,145.0
RE1,PWRWND,1,2020,102.5575
RE1,PWRWND,1,2021,104.4715
RE1,PWRWND,1,2022,105.7475
RE1,PWRWND,1,2023,107.6615
RE1,PWRWND,1,2024,104.6801
RE1,PWRWND,1,2025,111.3561
RE1,PWRWND,1,2026,114.8469
RE1,PWRWND,1,2027,116.7609
RE1,PWRWND,1,2028,118.6749
RE1,PWRWND,1,2029,116.3315
RE1,PWRWND,1,2030,118.2455
RE1,PWRWND,1,2031,120.1595
RE1,PWRWND,1,2032,122.0735
RE1,PWRWND,1,2033,124.6255
RE1,PWRWND,1,2034,126.5395
RE1,PWRWND,1,2035,129.0915
