r,s,ls,ld,lh,y,NetChargeWithinYear
RE1,STG_1,1,1,1,2020,2.8374
RE1,STG_1,1,1,1,2021,9.6069
RE1,STG_1,1,1,1,2022,10.6723
RE1,STG_1,1,1,1,2023,11.2524
RE1,STG_1,1,1,1,2024,11.6673
RE1,STG_1,1,1,1,2025,12.0079
RE1,STG_1,1,1,1,2026,12.3318
RE1,STG_1,1,1,1,2027,12.3318
RE1,STG_1,1,1,1,2028,12.0046
RE1,STG_1,1,1,1,2029,11.9175
RE1,STG_1,1,1,1,2030,12.3318
RE1,STG_1,1,1,1,2031,21.3257
RE1,STG_1,1,1,1,2032,21.3257
RE1,STG_1,1,1,1,2033,21.3257
RE1,STG_1,1,1,1,2034,21.3257
RE1,STG_1,1,1,1,2035,21.3257
RE1,STG_1,1,1,2,2022,1.6595
RE1,STG_1,1,1,2,2023,1.0795
RE1,STG_1,1,1,2,2024,0.6645
RE1,STG_1,1,1,2,2025,0.3239
RE1,STG_1,1,1,2,2028,0.3272
RE1,STG_1,1,1,2,2029,0.4143
RE1,STG_1,1,1,2,2031,4.3145
RE1,STG_1,1,1,2,2032,4.3145
RE1,STG_1,1,1,2,2033,4.3145
RE1,STG_1,1,1,2,2034,3.4947
RE1,STG_1,1,1,2,2035,0.1434
RE1,STG_1,2,1,1,2020,-0.9392
RE1,STG_1,2,1,1,2021,-3.1799
RE1,STG_1,2,1,1,2022,-4.0818
RE1,STG_1,2,1,1,2023,-4.0818
RE1,STG_1,2,1,1,2024,-4.0818
RE1,STG_1,2,1,1,2025,-4.0818
RE1,STG_1,2,1,1,2026,-4.0818
RE1,STG_1,2,1,1,2027,-4.0818
RE1,STG_1,2,1,1,2028,-4.0818
RE1,STG_1,2,1,1,2029,-4.0818
RE1,STG_1,2,1,1,2030,-4.0818
RE1,STG_1,2,1,1,2031,-12.9453
RE1,STG_1,2,1,1,2032,-12.9453
RE1,STG_1,2,1,1,2033,-12.9453
RE1,STG_1,2,1,1,2034,-12.6739
RE1,STG_1,2,1,1,2035,-11.5647
RE1,STG_1,2,1,2,2020,-1.8982
RE1,STG_1,2,1,2,2021,-6.427
RE1,STG_1,2,1,2,2022,-8.25
RE1,STG_1,2,1,2,2023,-8.25
RE1,STG_1,2,1,2,2024,-8.25
RE1,STG_1,2,1,2,2025,-8.25
RE1,STG_1,2,1,2,2026,-8.25
RE1,STG_1,2,1,2,2027,-8.25
RE1,STG_1,2,1,2,2028,-8.25
RE1,STG_1,2,1,2,2029,-8.25
RE1,STG_1,2,1,2,2030,-8.25
RE1,STG_1,2,1,2,2031,-12.6949
RE1,STG_1,2,1,2,2032,-12.6949
RE1,STG_1,2,1,2,2033,-12.6949
RE1,STG_1,2,1,2,2034,-12.1465
RE1,STG_1,2,1,2,2035,-9.9045
