r,s,y,StorageLevelYearStart
RE1,STG_1,2031,13.4694
RE1,STG_1,2032,13.4694
RE1,STG_1,2033,13.4694
RE1,STG_1,2034,13.4694
RE1,STG_1,2035,13.4694
