r,s,y,StorageUpperLimit
RE1,STG_1,2020,50.0
RE1,STG_1,2021,50.0
RE1,STG_1,2022,50.0
RE1,STG_1,2023,50.0
RE1,STG_1,2024,50.0
RE1,STG_1,2025,50.0
RE1,STG_1,2026,50.0
RE1,STG_1,2027,50.0
RE1,STG_1,2028,50.0
RE1,STG_1,2029,50.0
RE1,STG_1,2030,50.0
RE1,STG_1,2031,76.9388
RE1,STG_1,2032,76.9388
RE1,STG_1,2033,76.9388
RE1,STG_1,2034,76.9388
RE1,STG_1,2035,76.9388
