r,s,y,AccumulatedNewStorageCapacity
RE1,STG_1,2031,26.9388
RE1,STG_1,2032,26.9388
RE1,STG_1,2033,26.9388
RE1,STG_1,2034,26.9388
RE1,STG_1,2035,26.9388
