r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,MINCOA,CO2,1,2020,7211.9879
RE1,MINCOA,CO2,1,2021,13672.46
RE1,MINCOA,CO2,1,2022,14024.636
RE1,MINCOA,CO2,1,2023,14552.9
RE1,MINCOA,CO2,1,2024,14905.076
RE1,MINCOA,CO2,1,2025,14188.677
RE1,MINCOA,CO2,1,2026,14716.941
RE1,MINCOA,CO2,1,2027,15245.205
RE1,MINCOA,CO2,1,2028,15773.469
RE1,MINCOA,CO2,1,2029,16301.733
RE1,MINCOA,CO2,1,2030,6658.0744
RE1,MINCOA,CO2,1,2031,7002.6942
RE1,MINCOA,CO2,1,2032,7347.3139
RE1,MINCOA,CO2,1,2033,7806.8069
RE1,MINCOA,CO2,1,2034,8151.4266
RE1,MINCOA,CO2,1,2035,8610.9196
RE1,MINGAS,CO2,1,2020,3793.4276
RE1,MINGAS,CO2,1,2021,1782.6768
RE1,MINGAS,CO2,1,2022,1875.0768
RE1,MINGAS,CO2,1,2023,2013.6768
RE1,MINGAS,CO2,1,2024,2106.0768
RE1,MINGAS,CO2,1,2025,2110.6488
RE1,MINGAS,CO2,1,2026,2249.2488
RE1,MINGAS,CO2,1,2027,2387.8488
RE1,MINGAS,CO2,1,2028,2526.4488
RE1,MINGAS,CO2,1,2029,2665.0488
RE1,MINGAS,CO2,1,2030,2680.56
RE1,MINGAS,CO2,1,2031,2680.56
RE1,MINGAS,CO2,1,2032,2680.56
RE1,MINGAS,CO2,1,2033,2680.56
RE1,MINGAS,CO2,1,2034,2680.56
RE1,MINGAS,CO2,1,2035,2680.56
