r,t,y,TotalTechnologyAnnualActivity
RE1,DEMPWRSURWAT,2020,0.0
RE1,DEMPWRSURWAT,2021,0.0
RE1,DEMPWRSURWAT,2022,0.0
RE1,DEMPWRSURWAT,2023,0.0
RE1,DEMPWRSURWAT,2024,0.0
RE1,DEMPWRSURWAT,2025,0.0
RE1,DEMPWRSURWAT,2026,0.0
RE1,DEMPWRSURWAT,2027,0.0
RE1,DEMPWRSURWAT,2028,0.0
RE1,DEMPWRSURWAT,2029,0.0
RE1,DEMPWRSURWAT,2030,0.0
RE1,DEMPWRSURWAT,2031,0.0
RE1,DEMPWRSURWAT,2032,0.0
RE1,DEMPWRSURWAT,2033,0.0
RE1,DEMPWRSURWAT,2034,0.0
RE1,DEMPWRSURWAT,2035,0.0
RE1,LNDBLT,2020,10.0
RE1,LNDBLT,2021,10.3
RE1,LNDBLT,2022,10.6
RE1,LNDBLT,2023,10.9
RE1,LNDBLT,2024,11.3
RE1,LNDBLT,2025,11.6
RE1,LNDBLT,2026,11.9
RE1,LNDBLT,2027,12.3
RE1,LNDBLT,2028,12.7
RE1,LNDBLT,2029,13.0
RE1,LNDBLT,2030,13.4
RE1,LNDBLT,2031,13.8
RE1,LNDBLT,2032,14.3
RE1,LNDBLT,2033,14.7
RE1,LNDBLT,2034,15.1
RE1,LNDBLT,2035,15.6
RE1,LNDFOR,2020,264.5
RE1,LNDFOR,2021,264.2
RE1,LNDFOR,2022,263.9
RE1,LNDFOR,2023,263.6
RE1,LNDFOR,2024,263.2
RE1,LNDFOR,2025,262.65
RE1,LNDFOR,2026,262.35
RE1,LNDFOR,2027,261.95
RE1,LNDFOR,2028,261.55
RE1,LNDFOR,2029,261.25
RE1,LNDFOR,2030,260.85
RE1,LNDFOR,2031,260.45
RE1,LNDFOR,2032,259.95
RE1,LNDFOR,2033,259.55
RE1,LNDFOR,2034,259.15
RE1,LNDFOR,2035,258.65
RE1,LNDMAIHI,2020,0.0
RE1,LNDMAIHI,2021,0.0
RE1,LNDMAIHI,2022,0.0
RE1,LNDMAIHI,2023,0.0
RE1,LNDMAIHI,2024,0.0
RE1,LNDMAIHI,2025,0.0
RE1,LNDMAIHI,2026,0.0
RE1,LNDMAIHI,2027,0.0
RE1,LNDMAIHI,2028,0.0
RE1,LNDMAIHI,2029,0.0
RE1,LNDMAIHI,2030,0.0
RE1,LNDMAIHI,2031,0.0
RE1,LNDMAIHI,2032,0.0
RE1,LNDMAIHI,2033,0.0
RE1,LNDMAIHI,2034,0.0
RE1,LNDMAIHI,2035,0.0
RE1,LNDMAIHR,2020,0.0
RE1,LNDMAIHR,2021,0.0
RE1,LNDMAIHR,2022,0.0
RE1,LNDMAIHR,2023,0.0
RE1,LNDMAIHR,2024,0.0
RE1,LNDMAIHR,2025,0.0
RE1,LNDMAIHR,2026,0.0
RE1,LNDMAIHR,2027,0.0
RE1,LNDMAIHR,2028,0.0
RE1,LNDMAIHR,2029,0.0
RE1,LNDMAIHR,2030,0.0
RE1,LNDMAIHR,2031,0.0
RE1,LNDMAIHR,2032,0.0
RE1,LNDMAIHR,2033,0.0
RE1,LNDMAIHR,2034,0.0
RE1,LNDMAIHR,2035,0.0
RE1,LNDRICHI,2020,0.0
RE1,LNDRICHI,2021,0.0
RE1,LNDRICHI,2022,0.0
RE1,LNDRICHI,2023,0.0
RE1,LNDRICHI,2024,0.0
RE1,LNDRICHI,2025,0.0
RE1,LNDRICHI,2026,0.0
RE1,LNDRICHI,2027,0.0
RE1,LNDRICHI,2028,0.0
RE1,LNDRICHI,2029,0.0
RE1,LNDRICHI,2030,0.0
RE1,LNDRICHI,2031,0.0
RE1,LNDRICHI,2032,0.0
RE1,LNDRICHI,2033,0.0
RE1,LNDRICHI,2034,0.0
RE1,LNDRICHI,2035,0.0
RE1,LNDRICHR,2020,0.0
RE1,LNDRICHR,2021,0.0
RE1,LNDRICHR,2022,0.0
RE1,LNDRICHR,2023,0.0
RE1,LNDRICHR,2024,0.0
RE1,LNDRICHR,2025,0.0
RE1,LNDRICHR,2026,0.0
RE1,LNDRICHR,2027,0.0
RE1,LNDRICHR,2028,0.0
RE1,LNDRICHR,2029,0.0
RE1,LNDRICHR,2030,0.0
RE1,LNDRICHR,2031,0.0
RE1,LNDRICHR,2032,0.0
RE1,LNDRICHR,2033,0.0
RE1,LNDRICHR,2034,0.0
RE1,LNDRICHR,2035,0.0
RE1,LNDWAT,2020,25.5
RE1,LNDWAT,2021,25.5
RE1,LNDWAT,2022,25.5
RE1,LNDWAT,2023,25.5
RE1,LNDWAT,2024,25.5
RE1,LNDWAT,2025,25.75
RE1,LNDWAT,2026,25.75
RE1,LNDWAT,2027,25.75
RE1,LNDWAT,2028,25.75
RE1,LNDWAT,2029,25.75
RE1,LNDWAT,2030,25.75
RE1,LNDWAT,2031,25.75
RE1,LNDWAT,2032,25.75
RE1,LNDWAT,2033,25.75
RE1,LNDWAT,2034,25.75
RE1,LNDWAT,2035,25.75
RE1,MINCOA,2020,78.3912
RE1,MINCOA,2021,148.6137
RE1,MINCOA,2022,152.4417
RE1,MINCOA,2023,158.1837
RE1,MINCOA,2024,162.0117
RE1,MINCOA,2025,154.2248
RE1,MINCOA,2026,159.9668
RE1,MINCOA,2027,165.7088
RE1,MINCOA,2028,171.4508
RE1,MINCOA,2029,177.1928
RE1,MINCOA,2030,72.3704
RE1,MINCOA,2031,76.1162
RE1,MINCOA,2032,79.8621
RE1,MINCOA,2033,84.8566
RE1,MINCOA,2034,88.6025
RE1,MINCOA,2035,93.597
