r,e,y,AnnualEmissions
RE1,CO2,2020,11005.4204
RE1,CO2,2021,15455.1354
RE1,CO2,2022,15899.7114
RE1,CO2,2023,16566.5754
RE1,CO2,2024,17011.1514
RE1,CO2,2025,16299.3316
RE1,CO2,2026,16966.1956
RE1,CO2,2027,17633.0596
RE1,CO2,2028,18299.9236
RE1,CO2,2029,18966.7876
RE1,CO2,2030,9338.6368
RE1,CO2,2031,9683.2504
RE1,CO2,2032,10027.8732
RE1,CO2,2033,10487.3672
RE1,CO2,2034,10831.99
RE1,CO2,2035,11291.484
