t,f,m,y,InputActivityRatio,l,YearSplit,r,RateOfActivity,UseByTechnology
LNDFOR,LND,1,2023,1.0,S11,2.0,RE1,83.9625,167.925
LNDFOR,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2026,1.0,S11,0.45,RE1,345.1111,155.3
LNDFOR,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2028,1.0,S11,0.45,RE1,332.9444,149.825
LNDFOR,LND,1,2029,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2030,1.0,S11,0.45,RE1,320.4444,144.2
LNDFOR,LND,1,2031,1.0,S11,0.45,RE1,313.7222,141.175
LNDFOR,LND,1,2032,1.0,S11,0.45,RE1,307.0,138.15
LNDFOR,LND,1,2033,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2034,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,LND,1,2035,1.0,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2020,1.2,S11,2.0,RE1,87.5,210.0
LNDFOR,WTRPRC,1,2021,1.2,S11,2.0,RE1,86.325,207.18
LNDFOR,WTRPRC,1,2022,1.2,S11,2.0,RE1,85.2,204.48
LNDFOR,WTRPRC,1,2023,1.2,S11,2.0,RE1,83.9625,201.51
LNDFOR,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2026,1.2,S11,0.45,RE1,345.1111,186.36
LNDFOR,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2028,1.2,S11,0.45,RE1,332.9444,179.79
LNDFOR,WTRPRC,1,2029,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2030,1.2,S11,0.45,RE1,320.4444,173.04
LNDFOR,WTRPRC,1,2031,1.2,S11,0.45,RE1,313.7222,169.41
LNDFOR,WTRPRC,1,2032,1.2,S11,0.45,RE1,307.0,165.78
LNDFOR,WTRPRC,1,2033,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2034,1.2,S11,0.45,RE1,0.0,0.0
LNDFOR,WTRPRC,1,2035,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2020,1.0,S11,2.0,RE1,0.0,0.0
LNDMAIHI,LND,1,2021,1.0,S11,2.0,RE1,0.0,0.0
LNDMAIHI,LND,1,2022,1.0,S11,2.0,RE1,0.0,0.0
LNDMAIHI,LND,1,2023,1.0,S11,2.0,RE1,0.0,0.0
LNDMAIHI,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2026,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2028,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2029,1.0,S11,0.45,RE1,0.0,0.0
