r,t,y,AnnualVariableOperatingCost
RE1,DEMPWRBIO,2017,0.0
RE1,DEMPWRBIO,2018,0.0
RE1,DEMPWRBIO,2019,0.0016
RE1,DEMPWRBIO,2020,0.0
RE1,DEMPWRBIO,2021,0.0014
RE1,DEMPWRBIO,2022,0.0
RE1,DEMPWRBIO,2023,0.0
RE1,DEMPWRBIO,2024,0.0
RE1,DEMPWRBIO,2025,0.0014
RE1,DEMPWRBIO,2026,0.0014
RE1,DEMPWRBIO,2027,0.0038
RE1,DEMPWRBIO,2028,0.0015
RE1,DEMPWRBIO,2029,0.0015
RE1,DEMPWRBIO,2030,0.0001
RE1,DEMPWRBIO,2031,0.0001
RE1,DEMPWRBIO,2032,0.0001
RE1,DEMPWRBIO,2033,0.0001
RE1,DEMPWRBIO,2034,0.0014
RE1,DEMPWRBIO,2035,0.0014
RE1,DEMPWRBIO,2036,0.0001
RE1,DEMPWRBIO,2037,0.0002
RE1,DEMPWRBIO,2038,0.0007
RE1,DEMPWRBIO,2039,0.0009
RE1,DEMPWRBIO,2040,0.0004
RE1,DEMPWRBIO,2041,0.0007
RE1,DEMPWRBIO,2042,0.0007
RE1,DEMPWRBIO,2043,0.0006
RE1,DEMPWRBIO,2044,0.0006
RE1,DEMPWRBIO,2045,0.0006
RE1,DEMPWRBIO,2046,0.0006
RE1,DEMPWRBIO,2047,0.0005
RE1,DEMPWRBIO,2048,0.0006
RE1,DEMPWRBIO,2049,0.0005
RE1,DEMPWRBIO,2050,0.0007
RE1,DEMPWRCOA,2017,0.0328
RE1,DEMPWRCOA,2018,0.0328
RE1,DEMPWRCOA,2019,0.0335
RE1,DEMPWRCOA,2020,0.0341
RE1,DEMPWRCOA,2021,0.0326
RE1,DEMPWRCOA,2022,0.0332
RE1,DEMPWRCOA,2023,0.0341
RE1,DEMPWRCOA,2024,0.0349
RE1,DEMPWRCOA,2025,0.0336
RE1,DEMPWRCOA,2026,0.0342
RE1,DEMPWRCOA,2027,0.0348
RE1,DEMPWRCOA,2028,0.0357
RE1,DEMPWRCOA,2029,0.0365
RE1,DEMPWRCOA,2030,0.0329
RE1,DEMPWRCOA,2031,0.0335
RE1,DEMPWRCOA,2032,0.0341
RE1,DEMPWRCOA,2033,0.0347
RE1,DEMPWRCOA,2034,0.0185
RE1,DEMPWRCOA,2035,0.0193
RE1,DEMPWRCOA,2036,0.0201
RE1,DEMPWRCOA,2037,0.021
RE1,DEMPWRCOA,2038,0.0218
RE1,DEMPWRCOA,2039,0.0226
RE1,DEMPWRCOA,2040,0.0235
RE1,DEMPWRCOA,2041,0.0243
RE1,DEMPWRCOA,2042,0.0251
RE1,DEMPWRCOA,2043,0.026
RE1,DEMPWRCOA,2044,0.0268
RE1,DEMPWRCOA,2045,0.0277
RE1,DEMPWRCOA,2046,0.0285
RE1,DEMPWRCOA,2047,0.0293
RE1,DEMPWRCOA,2048,0.0303
RE1,DEMPWRCOA,2049,0.0348
RE1,DEMPWRCOA,2050,0.0368
RE1,DEMPWRDSL,2017,0.0
RE1,DEMPWRDSL,2018,0.0
RE1,DEMPWRDSL,2019,0.0
RE1,DEMPWRDSL,2020,0.0
RE1,DEMPWRDSL,2021,0.0
RE1,DEMPWRDSL,2022,0.0
RE1,DEMPWRDSL,2023,0.0
RE1,DEMPWRDSL,2024,0.0
RE1,DEMPWRDSL,2025,0.0
RE1,DEMPWRDSL,2026,0.0
RE1,DEMPWRDSL,2027,0.0
RE1,DEMPWRDSL,2028,0.0
RE1,DEMPWRDSL,2029,0.0
RE1,DEMPWRDSL,2030,0.0
RE1,DEMPWRDSL,2031,0.0
RE1,DEMPWRDSL,2032,0.0
RE1,DEMPWRDSL,2033,0.0
RE1,DEMPWRDSL,2034,0.0
RE1,DEMPWRDSL,2035,0.0
RE1,DEMPWRDSL,2036,0.0
RE1,DEMPWRDSL,2037,0.0
RE1,DEMPWRDSL,2038,0.0
RE1,DEMPWRDSL,2039,0.0
RE1,DEMPWRDSL,2040,0.0
RE1,DEMPWRDSL,2041,0.0
RE1,DEMPWRDSL,2042,0.0001
RE1,DEMPWRDSL,2043,0.0001
RE1,DEMPWRDSL,2044,0.0001
RE1,DEMPWRDSL,2045,0.0001
RE1,DEMPWRDSL,2046,0.0001
RE1,DEMPWRDSL,2047,0.0001
RE1,DEMPWRDSL,2048,0.0001
RE1,DEMPWRDSL,2049,0.0001
RE1,DEMPWRDSL,2050,0.0001
