r,t,y,TotalTechnologyAnnualActivity
RE1,DEMPWRBIO,2017,0.4892
RE1,DEMPWRBIO,2018,0.0
RE1,DEMPWRBIO,2019,16.4012
RE1,DEMPWRBIO,2020,0.202
RE1,DEMPWRBIO,2021,13.582
RE1,DEMPWRBIO,2022,0.0603
RE1,DEMPWRBIO,2023,0.2818
RE1,DEMPWRBIO,2024,0.3588
RE1,DEMPWRBIO,2025,14.1248
RE1,DEMPWRBIO,2026,14.072
RE1,DEMPWRBIO,2027,38.0961
RE1,DEMPWRBIO,2028,14.6398
RE1,DEMPWRBIO,2029,14.6524
RE1,DEMPWRBIO,2030,1.0697
RE1,DEMPWRBIO,2031,1.1022
RE1,DEMPWRBIO,2032,0.6063
RE1,DEMPWRBIO,2033,0.6792
RE1,DEMPWRBIO,2034,14.07
RE1,DEMPWRBIO,2035,14.3786
RE1,DEMPWRBIO,2036,1.3174
RE1,DEMPWRBIO,2037,1.9363
RE1,DEMPWRBIO,2038,7.4654
RE1,DEMPWRBIO,2039,9.052
RE1,DEMPWRBIO,2040,3.8053
RE1,DEMPWRBIO,2041,6.7208
RE1,DEMPWRBIO,2042,6.674
RE1,DEMPWRBIO,2043,5.7944
RE1,DEMPWRBIO,2044,5.7944
RE1,DEMPWRBIO,2045,5.9239
RE1,DEMPWRBIO,2046,5.9239
RE1,DEMPWRBIO,2047,5.1828
RE1,DEMPWRBIO,2048,6.0359
RE1,DEMPWRBIO,2049,5.377
RE1,DEMPWRBIO,2050,6.872
RE1,DEMPWRCOA,2017,327.5859
RE1,DEMPWRCOA,2018,327.5859
RE1,DEMPWRCOA,2019,335.4077
RE1,DEMPWRCOA,2020,341.4711
RE1,DEMPWRCOA,2021,326.3126
RE1,DEMPWRCOA,2022,332.376
RE1,DEMPWRCOA,2023,340.741
RE1,DEMPWRCOA,2024,349.1061
RE1,DEMPWRCOA,2025,336.2493
RE1,DEMPWRCOA,2026,342.3127
RE1,DEMPWRCOA,2027,348.3761
RE1,DEMPWRCOA,2028,356.7411
RE1,DEMPWRCOA,2029,365.1062
RE1,DEMPWRCOA,2030,328.7258
RE1,DEMPWRCOA,2031,334.7892
RE1,DEMPWRCOA,2032,340.8526
RE1,DEMPWRCOA,2033,346.916
RE1,DEMPWRCOA,2034,184.5381
RE1,DEMPWRCOA,2035,192.9032
RE1,DEMPWRCOA,2036,201.2682
RE1,DEMPWRCOA,2037,209.6333
RE1,DEMPWRCOA,2038,217.9984
RE1,DEMPWRCOA,2039,226.3634
RE1,DEMPWRCOA,2040,234.7285
RE1,DEMPWRCOA,2041,243.0936
RE1,DEMPWRCOA,2042,251.4586
RE1,DEMPWRCOA,2043,259.8237
RE1,DEMPWRCOA,2044,268.1888
RE1,DEMPWRCOA,2045,276.5538
RE1,DEMPWRCOA,2046,284.9189
RE1,DEMPWRCOA,2047,293.284
RE1,DEMPWRCOA,2048,303.3423
RE1,DEMPWRCOA,2049,347.957
RE1,DEMPWRCOA,2050,367.8944
RE1,DEMPWRDSL,2017,0.0
RE1,DEMPWRDSL,2018,0.0
RE1,DEMPWRDSL,2019,0.2769
RE1,DEMPWRDSL,2020,0.0
RE1,DEMPWRDSL,2021,0.0
RE1,DEMPWRDSL,2022,0.0
RE1,DEMPWRDSL,2023,0.0
RE1,DEMPWRDSL,2024,0.057
