r,t,y,TotalCapacityAnnual
RE1,DEMPWRBIO,2017,0.6308
RE1,DEMPWRBIO,2018,0.6308
RE1,DEMPWRBIO,2019,1.8
RE1,DEMPWRBIO,2020,1.8
RE1,DEMPWRBIO,2021,1.8
RE1,DEMPWRBIO,2022,1.8
RE1,DEMPWRBIO,2023,1.8
RE1,DEMPWRBIO,2024,1.8
RE1,DEMPWRBIO,2025,1.8
RE1,DEMPWRBIO,2026,1.8
RE1,DEMPWRBIO,2027,1.8
RE1,DEMPWRBIO,2028,1.8
RE1,DEMPWRBIO,2029,1.8
RE1,DEMPWRBIO,2030,1.8
RE1,DEMPWRBIO,2031,1.8
RE1,DEMPWRBIO,2032,1.8
RE1,DEMPWRBIO,2033,1.8
RE1,DEMPWRBIO,2034,1.8
RE1,DEMPWRBIO,2035,1.8
RE1,DEMPWRBIO,2036,1.8
RE1,DEMPWRBIO,2037,1.8
RE1,DEMPWRBIO,2038,1.8
RE1,DEMPWRBIO,2039,2.2674
RE1,DEMPWRBIO,2040,3.6769
RE1,DEMPWRBIO,2041,3.6769
RE1,DEMPWRBIO,2042,3.6769
RE1,DEMPWRBIO,2043,3.6769
RE1,DEMPWRBIO,2044,3.6769
RE1,DEMPWRBIO,2045,3.6769
RE1,DEMPWRBIO,2046,3.6769
RE1,DEMPWRBIO,2047,3.6769
RE1,DEMPWRBIO,2048,3.6769
RE1,DEMPWRBIO,2049,3.6769
RE1,DEMPWRBIO,2050,3.6769
RE1,DEMPWRCOA,2017,10.3898
RE1,DEMPWRCOA,2018,10.3898
RE1,DEMPWRCOA,2019,10.8301
RE1,DEMPWRCOA,2020,10.8301
RE1,DEMPWRCOA,2021,10.8301
RE1,DEMPWRCOA,2022,10.8301
RE1,DEMPWRCOA,2023,11.3772
RE1,DEMPWRCOA,2024,11.5428
RE1,DEMPWRCOA,2025,11.5798
RE1,DEMPWRCOA,2026,11.5798
RE1,DEMPWRCOA,2027,11.5798
RE1,DEMPWRCOA,2028,11.5798
RE1,DEMPWRCOA,2029,11.5798
RE1,DEMPWRCOA,2030,11.5798
RE1,DEMPWRCOA,2031,11.5798
RE1,DEMPWRCOA,2032,11.5798
RE1,DEMPWRCOA,2033,11.5798
RE1,DEMPWRCOA,2034,11.5798
RE1,DEMPWRCOA,2035,11.5798
RE1,DEMPWRCOA,2036,11.5798
RE1,DEMPWRCOA,2037,11.5798
RE1,DEMPWRCOA,2038,11.5798
RE1,DEMPWRCOA,2039,11.5798
RE1,DEMPWRCOA,2040,11.5798
RE1,DEMPWRCOA,2041,11.5798
RE1,DEMPWRCOA,2042,11.5798
RE1,DEMPWRCOA,2043,11.5798
RE1,DEMPWRCOA,2044,11.5798
RE1,DEMPWRCOA,2045,11.7394
RE1,DEMPWRCOA,2046,12.0958
RE1,DEMPWRCOA,2047,12.4522
RE1,DEMPWRCOA,2048,12.8802
RE1,DEMPWRCOA,2049,14.7344
RE1,DEMPWRCOA,2050,15.5742
RE1,DEMPWRDSL,2017,0.0
RE1,DEMPWRDSL,2018,0.0
RE1,DEMPWRDSL,2019,0.9734
RE1,DEMPWRDSL,2020,0.9734
RE1,DEMPWRDSL,2021,0.9734
RE1,DEMPWRDSL,2022,0.9734
RE1,DEMPWRDSL,2023,0.9734
RE1,DEMPWRDSL,2024,0.9734
RE1,DEMPWRDSL,2025,0.9734
RE1,DEMPWRDSL,2026,0.9734
RE1,DEMPWRDSL,2027,0.9734
RE1,DEMPWRDSL,2028,0.9734
RE1,DEMPWRDSL,2029,0.9734
RE1,DEMPWRDSL,2030,0.9734
RE1,DEMPWRDSL,2031,0.9734
RE1,DEMPWRDSL,2032,0.9734
RE1,DEMPWRDSL,2033,0.9734
RE1,DEMPWRDSL,2034,0.9734
RE1,DEMPWRDSL,2035,0.9734
RE1,DEMPWRDSL,2036,0.9734
RE1,DEMPWRDSL,2037,0.9734
RE1,DEMPWRDSL,2038,0.9734
RE1,DEMPWRDSL,2039,0.9734
RE1,DEMPWRDSL,2040,0.9734
RE1,DEMPWRDSL,2041,1.0302
RE1,DEMPWRDSL,2042,1.908
RE1,DEMPWRDSL,2043,1.9693
RE1,DEMPWRDSL,2044,1.9693
RE1,DEMPWRDSL,2045,1.9693
RE1,DEMPWRDSL,2046,1.9693
RE1,DEMPWRDSL,2047,1.9693
RE1,DEMPWRDSL,2048,1.9693
RE1,DEMPWRDSL,2049,2.0499
RE1,DEMPWRDSL,2050,2.0499
RE1,DEMPWRGEO,2017,0.927
RE1,DEMPWRGEO,2018,0.952
RE1,DEMPWRGEO,2019,0.952
RE1,DEMPWRGEO,2020,1.3631
RE1,DEMPWRGEO,2021,2.5562
RE1,DEMPWRGEO,2022,3.3521
RE1,DEMPWRGEO,2023,4.155
RE1,DEMPWRGEO,2024,5.0648
RE1,DEMPWRGEO,2025,5.9451
RE1,DEMPWRGEO,2026,5.9451
RE1,DEMPWRGEO,2027,6.1705
RE1,DEMPWRGEO,2028,7.4279
RE1,DEMPWRGEO,2029,7.4279
RE1,DEMPWRGEO,2030,7.9904
RE1,DEMPWRGEO,2031,8.6868
RE1,DEMPWRGEO,2032,9.526
RE1,DEMPWRGEO,2033,11.2873
RE1,DEMPWRGEO,2034,13.2436
RE1,DEMPWRGEO,2035,13.5
RE1,DEMPWRGEO,2036,13.5
RE1,DEMPWRGEO,2037,13.5
RE1,DEMPWRGEO,2038,13.5
RE1,DEMPWRGEO,2039,13.5
RE1,DEMPWRGEO,2040,13.5
RE1,DEMPWRGEO,2041,13.5
RE1,DEMPWRGEO,2042,13.5
RE1,DEMPWRGEO,2043,13.5
RE1,DEMPWRGEO,2044,13.5
RE1,DEMPWRGEO,2045,13.5
RE1,DEMPWRGEO,2046,13.5
RE1,DEMPWRGEO,2047,13.5
RE1,DEMPWRGEO,2048,13.5
RE1,DEMPWRGEO,2049,13.5
RE1,DEMPWRGEO,2050,13.5
RE1,DEMPWRHFO,2017,3.6693
RE1,DEMPWRHFO,2018,3.6693
RE1,DEMPWRHFO,2019,3.6693
RE1,DEMPWRHFO,2020,3.6693
RE1,DEMPWRHFO,2021,3.6693
RE1,DEMPWRHFO,2022,3.6693
RE1,DEMPWRHFO,2023,3.6693
RE1,DEMPWRHFO,2024,3.6693
RE1,DEMPWRHFO,2025,3.6693
RE1,DEMPWRHFO,2026,3.6693
RE1,DEMPWRHFO,2027,3.6693
RE1,DEMPWRHFO,2028,3.6693
RE1,DEMPWRHFO,2029,3.6693
RE1,DEMPWRHFO,2030,3.6693
RE1,DEMPWRHFO,2031,3.6693
RE1,DEMPWRHFO,2032,3.6693
RE1,DEMPWRHFO,2033,3.6693
RE1,DEMPWRHFO,2034,3.6693
RE1,DEMPWRHFO,2035,3.6693
RE1,DEMPWRHFO,2036,3.6693
RE1,DEMPWRHFO,2037,3.6693
RE1,DEMPWRHFO,2038,3.6693
RE1,DEMPWRHFO,2039,3.6693
RE1,DEMPWRHFO,2040,3.6693
RE1,DEMPWRHFO,2041,3.6693
RE1,DEMPWRHFO,2042,3.6693
RE1,DEMPWRHFO,2043,3.6693
RE1,DEMPWRHFO,2044,3.6693
RE1,DEMPWRHFO,2045,3.6693
RE1,DEMPWRHFO,2046,3.6693
RE1,DEMPWRHFO,2047,3.6693
RE1,DEMPWRHFO,2048,3.6693
RE1,DEMPWRHFO,2049,3.6693
RE1,DEMPWRHFO,2050,3.6693
RE1,DEMPWRHYD,2017,10.6782
RE1,DEMPWRHYD,2018,10.9764
RE1,DEMPWRHYD,2019,11.7952
RE1,DEMPWRHYD,2020,11.7952
RE1,DEMPWRHYD,2021,11.7952
RE1,DEMPWRHYD,2022,11.7952
RE1,DEMPWRHYD,2023,11.7952
RE1,DEMPWRHYD,2024,11.945
RE1,DEMPWRHYD,2025,11.945
RE1,DEMPWRHYD,2026,11.945
RE1,DEMPWRHYD,2027,11.945
RE1,DEMPWRHYD,2028,11.945
RE1,DEMPWRHYD,2029,11.945
RE1,DEMPWRHYD,2030,11.945
RE1,DEMPWRHYD,2031,11.945
RE1,DEMPWRHYD,2032,11.945
RE1,DEMPWRHYD,2033,11.945
RE1,DEMPWRHYD,2034,12.6999
RE1,DEMPWRHYD,2035,12.8096
RE1,DEMPWRHYD,2036,12.8958
RE1,DEMPWRHYD,2037,13.6355
RE1,DEMPWRHYD,2038,13.6355
RE1,DEMPWRHYD,2039,13.8001
RE1,DEMPWRHYD,2040,13.8328
RE1,DEMPWRHYD,2041,13.8887
RE1,DEMPWRHYD,2042,13.8887
RE1,DEMPWRHYD,2043,14.3305
RE1,DEMPWRHYD,2044,14.3305
RE1,DEMPWRHYD,2045,14.3592
RE1,DEMPWRHYD,2046,14.8031
RE1,DEMPWRHYD,2047,14.834
RE1,DEMPWRHYD,2048,14.834
RE1,DEMPWRHYD,2049,14.834
RE1,DEMPWRHYD,2050,14.834
RE1,DEMPWRLPG,2017,0.1138
RE1,DEMPWRLPG,2018,0.1138
RE1,DEMPWRLPG,2019,0.115
RE1,DEMPWRLPG,2020,0.115
RE1,DEMPWRLPG,2021,0.115
RE1,DEMPWRLPG,2022,0.115
