r,rr,l,f,y,Trade
RE1,RE1,S11,CALTAGGEO,2033,0
RE1,RE1,S11,CALTAGGEO,2034,0
RE1,RE1,S11,CALTAGGEO,2035,0
RE1,RE1,S11,CALTAGGEO,2036,0
RE1,RE1,S11,CALTAGGEO,2037,0
RE1,RE1,S11,CALTAGGEO,2038,0
RE1,RE1,S11,CALTAGGEO,2039,0
RE1,RE1,S11,CALTAGGEO,2040,0
RE1,RE1,S11,CALTAGGEO,2041,0
RE1,RE1,S11,CALTAGGEO,2042,0
RE1,RE1,S11,CALTAGGEO,2043,0
RE1,RE1,S11,CALTAGGEO,2044,0
RE1,RE1,S11,CALTAGGEO,2045,0
RE1,RE1,S11,CALTAGGEO,2046,0
RE1,RE1,S11,CALTAGGEO,2047,0
RE1,RE1,S11,CALTAGGEO,2048,0
RE1,RE1,S11,CALTAGGEO,2049,0
RE1,RE1,S11,CALTAGGEO,2050,0
RE1,RE1,S11,CALTAGHYD,2017,0
RE1,RE1,S11,CALTAGHYD,2018,0
RE1,RE1,S11,CALTAGHYD,2019,0
RE1,RE1,S11,CALTAGHYD,2020,0
RE1,RE1,S11,CALTAGHYD,2021,0
RE1,RE1,S11,CALTAGHYD,2022,0
RE1,RE1,S11,CALTAGHYD,2023,0
RE1,RE1,S11,CALTAGHYD,2024,0
RE1,RE1,S11,CALTAGHYD,2025,0
RE1,RE1,S11,CALTAGHYD,2026,0
RE1,RE1,S11,CALTAGHYD,2027,0
RE1,RE1,S11,CALTAGHYD,2028,0
RE1,RE1,S11,CALTAGHYD,2029,0
RE1,RE1,S11,CALTAGHYD,2030,0
RE1,RE1,S11,CALTAGHYD,2031,0
RE1,RE1,S11,CALTAGHYD,2032,0
RE1,RE1,S11,CALTAGHYD,2033,0
RE1,RE1,S11,CALTAGHYD,2034,0
RE1,RE1,S11,CALTAGHYD,2035,0
RE1,RE1,S11,CALTAGHYD,2036,0
RE1,RE1,S11,CALTAGHYD,2037,0
RE1,RE1,S11,CALTAGHYD,2038,0
RE1,RE1,S11,CALTAGHYD,2039,0
RE1,RE1,S11,CALTAGHYD,2040,0
RE1,RE1,S11,CALTAGHYD,2041,0
RE1,RE1,S11,CALTAGHYD,2042,0
RE1,RE1,S11,CALTAGHYD,2043,0
RE1,RE1,S11,CALTAGHYD,2044,0
RE1,RE1,S11,CALTAGHYD,2045,0
RE1,RE1,S11,CALTAGHYD,2046,0
RE1,RE1,S11,CALTAGHYD,2047,0
RE1,RE1,S11,CALTAGHYD,2048,0
RE1,RE1,S11,CALTAGHYD,2049,0
RE1,RE1,S11,CALTAGHYD,2050,0
RE1,RE1,S11,CALTAGNGS,2017,0
RE1,RE1,S11,CALTAGNGS,2018,0
RE1,RE1,S11,CALTAGNGS,2019,0
RE1,RE1,S11,CALTAGNGS,2020,0
RE1,RE1,S11,CALTAGNGS,2021,0
RE1,RE1,S11,CALTAGNGS,2022,0
RE1,RE1,S11,CALTAGNGS,2023,0
RE1,RE1,S11,CALTAGNGS,2024,0
RE1,RE1,S11,CALTAGNGS,2025,0
RE1,RE1,S11,CALTAGNGS,2026,0
RE1,RE1,S11,CALTAGNGS,2027,0
RE1,RE1,S11,CALTAGNGS,2028,0
RE1,RE1,S11,CALTAGNGS,2029,0
RE1,RE1,S11,CALTAGNGS,2030,0
RE1,RE1,S11,CALTAGNGS,2031,0
RE1,RE1,S11,CALTAGNGS,2032,0
RE1,RE1,S11,CALTAGNGS,2033,0
RE1,RE1,S11,CALTAGNGS,2034,0
RE1,RE1,S11,CALTAGNGS,2035,0
RE1,RE1,S11,CALTAGNGS,2036,0
RE1,RE1,S11,CALTAGNGS,2037,0
RE1,RE1,S11,CALTAGNGS,2038,0
RE1,RE1,S11,CALTAGNGS,2039,0
RE1,RE1,S11,CALTAGNGS,2040,0
RE1,RE1,S11,CALTAGNGS,2041,0
RE1,RE1,S11,CALTAGNGS,2042,0
RE1,RE1,S11,CALTAGNGS,2043,0
RE1,RE1,S11,CALTAGNGS,2044,0
RE1,RE1,S11,CALTAGNGS,2045,0
RE1,RE1,S11,CALTAGNGS,2046,0
RE1,RE1,S11,CALTAGNGS,2047,0
RE1,RE1,S11,CALTAGNGS,2048,0
RE1,RE1,S11,CALTAGNGS,2049,0
RE1,RE1,S11,CALTAGNGS,2050,0
RE1,RE1,S11,CALTAGOIL,2017,0
RE1,RE1,S11,CALTAGOIL,2018,0
RE1,RE1,S11,CALTAGOIL,2019,0
RE1,RE1,S11,CALTAGOIL,2020,0
RE1,RE1,S11,CALTAGOIL,2021,0
RE1,RE1,S11,CALTAGOIL,2022,0
RE1,RE1,S11,CALTAGOIL,2023,0
RE1,RE1,S11,CALTAGOIL,2024,0
RE1,RE1,S11,CALTAGOIL,2025,0
RE1,RE1,S11,CALTAGOIL,2026,0
RE1,RE1,S11,CALTAGOIL,2027,0
RE1,RE1,S11,CALTAGOIL,2028,0
RE1,RE1,S11,CALTAGOIL,2029,0
RE1,RE1,S11,CALTAGOIL,2030,0
RE1,RE1,S11,CALTAGOIL,2031,0
RE1,RE1,S11,CALTAGOIL,2032,0
RE1,RE1,S11,CALTAGOIL,2033,0
RE1,RE1,S11,CALTAGOIL,2034,0
RE1,RE1,S11,CALTAGOIL,2035,0
RE1,RE1,S11,CALTAGOIL,2036,0
RE1,RE1,S11,CALTAGOIL,2037,0
RE1,RE1,S11,CALTAGOIL,2038,0
RE1,RE1,S11,CALTAGOIL,2039,0
RE1,RE1,S11,CALTAGOIL,2040,0
RE1,RE1,S11,CALTAGOIL,2041,0
RE1,RE1,S11,CALTAGOIL,2042,0
RE1,RE1,S11,CALTAGOIL,2043,0
RE1,RE1,S11,CALTAGOIL,2044,0
RE1,RE1,S11,CALTAGOIL,2045,0
RE1,RE1,S11,CALTAGOIL,2046,0
RE1,RE1,S11,CALTAGOIL,2047,0
RE1,RE1,S11,CALTAGOIL,2048,0
RE1,RE1,S11,CALTAGOIL,2049,0
RE1,RE1,S11,CALTAGOIL,2050,0
RE1,RE1,S11,CALTAGRNW,2017,0
RE1,RE1,S11,CALTAGRNW,2018,0
RE1,RE1,S11,CALTAGRNW,2019,0
RE1,RE1,S11,CALTAGRNW,2020,0
RE1,RE1,S11,CALTAGRNW,2021,0
RE1,RE1,S11,CALTAGRNW,2022,0
RE1,RE1,S11,CALTAGRNW,2023,0
RE1,RE1,S11,CALTAGRNW,2024,0
RE1,RE1,S11,CALTAGRNW,2025,0
RE1,RE1,S11,CALTAGRNW,2026,0
RE1,RE1,S11,CALTAGRNW,2027,0
RE1,RE1,S11,CALTAGRNW,2028,0
RE1,RE1,S11,CALTAGRNW,2029,0
RE1,RE1,S11,CALTAGRNW,2030,0
RE1,RE1,S11,CALTAGRNW,2031,0
RE1,RE1,S11,CALTAGRNW,2032,0
RE1,RE1,S11,CALTAGRNW,2033,0
RE1,RE1,S11,CALTAGRNW,2034,0
RE1,RE1,S11,CALTAGRNW,2035,0
RE1,RE1,S11,CALTAGRNW,2036,0
RE1,RE1,S11,CALTAGRNW,2037,0
RE1,RE1,S11,CALTAGRNW,2038,0
RE1,RE1,S11,CALTAGRNW,2039,0
RE1,RE1,S11,CALTAGRNW,2040,0
RE1,RE1,S11,CALTAGRNW,2041,0
RE1,RE1,S11,CALTAGRNW,2042,0
RE1,RE1,S11,CALTAGRNW,2043,0
RE1,RE1,S11,CALTAGRNW,2044,0
RE1,RE1,S11,CALTAGRNW,2045,0
RE1,RE1,S11,CALTAGRNW,2046,0
RE1,RE1,S11,CALTAGRNW,2047,0
RE1,RE1,S11,CALTAGRNW,2048,0
RE1,RE1,S11,CALTAGRNW,2049,0
RE1,RE1,S11,CALTAGRNW,2050,0
RE1,RE1,S11,CALTAGSOL,2017,0
RE1,RE1,S11,CALTAGSOL,2018,0
RE1,RE1,S11,CALTAGSOL,2019,0
RE1,RE1,S11,CALTAGSOL,2020,0
RE1,RE1,S11,CALTAGSOL,2021,0
RE1,RE1,S11,CALTAGSOL,2022,0
RE1,RE1,S11,CALTAGSOL,2023,0
RE1,RE1,S11,CALTAGSOL,2024,0
RE1,RE1,S11,CALTAGSOL,2025,0
RE1,RE1,S11,CALTAGSOL,2026,0
RE1,RE1,S11,CALTAGSOL,2027,0
RE1,RE1,S11,CALTAGSOL,2028,0
RE1,RE1,S11,CALTAGSOL,2029,0
RE1,RE1,S11,CALTAGSOL,2030,0
RE1,RE1,S11,CALTAGSOL,2031,0
RE1,RE1,S11,CALTAGSOL,2032,0
RE1,RE1,S11,CALTAGSOL,2033,0
RE1,RE1,S11,CALTAGSOL,2034,0
RE1,RE1,S11,CALTAGSOL,2035,0
RE1,RE1,S11,CALTAGSOL,2036,0
RE1,RE1,S11,CALTAGSOL,2037,0
RE1,RE1,S11,CALTAGSOL,2038,0
RE1,RE1,S11,CALTAGSOL,2039,0
RE1,RE1,S11,CALTAGSOL,2040,0
RE1,RE1,S11,CALTAGSOL,2041,0
RE1,RE1,S11,CALTAGSOL,2042,0
RE1,RE1,S11,CALTAGSOL,2043,0
RE1,RE1,S11,CALTAGSOL,2044,0
RE1,RE1,S11,CALTAGSOL,2045,0
RE1,RE1,S11,CALTAGSOL,2046,0
RE1,RE1,S11,CALTAGSOL,2047,0
RE1,RE1,S11,CALTAGSOL,2048,0
RE1,RE1,S11,CALTAGSOL,2049,0
RE1,RE1,S11,CALTAGSOL,2050,0
RE1,RE1,S11,CALTAGURN,2017,0
RE1,RE1,S11,CALTAGURN,2018,0
RE1,RE1,S11,CALTAGURN,2019,0
RE1,RE1,S11,CALTAGURN,2020,0
RE1,RE1,S11,CALTAGURN,2021,0
RE1,RE1,S11,CALTAGURN,2022,0
RE1,RE1,S11,CALTAGURN,2023,0
RE1,RE1,S11,CALTAGURN,2024,0
RE1,RE1,S11,CALTAGURN,2025,0
RE1,RE1,S11,CALTAGURN,2026,0
RE1,RE1,S11,CALTAGURN,2027,0
RE1,RE1,S11,CALTAGURN,2028,0
RE1,RE1,S11,CALTAGURN,2029,0
RE1,RE1,S11,CALTAGURN,2030,0
RE1,RE1,S11,CALTAGURN,2031,0
RE1,RE1,S11,CALTAGURN,2032,0
RE1,RE1,S11,CALTAGURN,2033,0
RE1,RE1,S11,CALTAGURN,2034,0
RE1,RE1,S11,CALTAGURN,2035,0
RE1,RE1,S11,CALTAGURN,2036,0
RE1,RE1,S11,CALTAGURN,2037,0
RE1,RE1,S11,CALTAGURN,2038,0
RE1,RE1,S11,CALTAGURN,2039,0
RE1,RE1,S11,CALTAGURN,2040,0
RE1,RE1,S11,CALTAGURN,2041,0
RE1,RE1,S11,CALTAGURN,2042,0
RE1,RE1,S11,CALTAGURN,2043,0
RE1,RE1,S11,CALTAGURN,2044,0
RE1,RE1,S11,CALTAGURN,2045,0
RE1,RE1,S11,CALTAGURN,2046,0
RE1,RE1,S11,CALTAGURN,2047,0
RE1,RE1,S11,CALTAGURN,2048,0
RE1,RE1,S11,CALTAGURN,2049,0
RE1,RE1,S11,CALTAGURN,2050,0
RE1,RE1,S11,CALTAGWAS,2017,0
RE1,RE1,S11,CALTAGWAS,2018,0
RE1,RE1,S11,CALTAGWAS,2019,0
RE1,RE1,S11,CALTAGWAS,2020,0
RE1,RE1,S11,CALTAGWAS,2021,0
RE1,RE1,S11,CALTAGWAS,2022,0
RE1,RE1,S11,CALTAGWAS,2023,0
RE1,RE1,S11,CALTAGWAS,2024,0
RE1,RE1,S11,CALTAGWAS,2025,0
RE1,RE1,S11,CALTAGWAS,2026,0
RE1,RE1,S11,CALTAGWAS,2027,0
RE1,RE1,S11,CALTAGWAS,2028,0
RE1,RE1,S11,CALTAGWAS,2029,0
RE1,RE1,S11,CALTAGWAS,2030,0
RE1,RE1,S11,CALTAGWAS,2031,0
RE1,RE1,S11,CALTAGWAS,2032,0
RE1,RE1,S11,CALTAGWAS,2033,0
RE1,RE1,S11,CALTAGWAS,2034,0
RE1,RE1,S11,CALTAGWAS,2035,0
RE1,RE1,S11,CALTAGWAS,2036,0
RE1,RE1,S11,CALTAGWAS,2037,0
RE1,RE1,S11,CALTAGWAS,2038,0
RE1,RE1,S11,CALTAGWAS,2039,0
RE1,RE1,S11,CALTAGWAS,2040,0
RE1,RE1,S11,CALTAGWAS,2041,0
RE1,RE1,S11,CALTAGWAS,2042,0
RE1,RE1,S11,CALTAGWAS,2043,0
RE1,RE1,S11,CALTAGWAS,2044,0
