r,t,f,y,InputToTotalCapacity
RE1,DEMPWRBIO,BIO,2017,0
RE1,DEMPWRBIO,BIO,2018,0
RE1,DEMPWRBIO,BIO,2019,0
RE1,DEMPWRBIO,BIO,2020,0
RE1,DEMPWRBIO,BIO,2021,0
RE1,DEMPWRBIO,BIO,2022,0
RE1,DEMPWRBIO,BIO,2023,0
RE1,DEMPWRBIO,BIO,2024,0
RE1,DEMPWRBIO,BIO,2025,0
RE1,DEMPWRBIO,BIO,2026,0
RE1,DEMPWRBIO,BIO,2027,0
RE1,DEMPWRBIO,BIO,2028,0
RE1,DEMPWRBIO,BIO,2029,0
RE1,DEMPWRBIO,BIO,2030,0
RE1,DEMPWRBIO,BIO,2031,0
RE1,DEMPWRBIO,BIO,2032,0
RE1,DEMPWRBIO,BIO,2033,0
RE1,DEMPWRBIO,BIO,2034,0
RE1,DEMPWRBIO,BIO,2035,0
RE1,DEMPWRBIO,BIO,2036,0
RE1,DEMPWRBIO,BIO,2037,0
RE1,DEMPWRBIO,BIO,2038,0
RE1,DEMPWRBIO,BIO,2039,0
RE1,DEMPWRBIO,BIO,2040,0
RE1,DEMPWRBIO,BIO,2041,0
RE1,DEMPWRBIO,BIO,2042,0
RE1,DEMPWRBIO,BIO,2043,0
RE1,DEMPWRBIO,BIO,2044,0
RE1,DEMPWRBIO,BIO,2045,0
RE1,DEMPWRBIO,BIO,2046,0
RE1,DEMPWRBIO,BIO,2047,0
RE1,DEMPWRBIO,BIO,2048,0
RE1,DEMPWRBIO,BIO,2049,0
RE1,DEMPWRBIO,BIO,2050,0
RE1,DEMPWRCOA,COA,2017,0
RE1,DEMPWRCOA,COA,2018,0
RE1,DEMPWRCOA,COA,2019,0
RE1,DEMPWRCOA,COA,2020,0
RE1,DEMPWRCOA,COA,2021,0
RE1,DEMPWRCOA,COA,2022,0
RE1,DEMPWRCOA,COA,2023,0
RE1,DEMPWRCOA,COA,2024,0
RE1,DEMPWRCOA,COA,2025,0
RE1,DEMPWRCOA,COA,2026,0
RE1,DEMPWRCOA,COA,2027,0
RE1,DEMPWRCOA,COA,2028,0
RE1,DEMPWRCOA,COA,2029,0
RE1,DEMPWRCOA,COA,2030,0
RE1,DEMPWRCOA,COA,2031,0
RE1,DEMPWRCOA,COA,2032,0
RE1,DEMPWRCOA,COA,2033,0
RE1,DEMPWRCOA,COA,2034,0
RE1,DEMPWRCOA,COA,2035,0
RE1,DEMPWRCOA,COA,2036,0
RE1,DEMPWRCOA,COA,2037,0
RE1,DEMPWRCOA,COA,2038,0
RE1,DEMPWRCOA,COA,2039,0
RE1,DEMPWRCOA,COA,2040,0
RE1,DEMPWRCOA,COA,2041,0
RE1,DEMPWRCOA,COA,2042,0
RE1,DEMPWRCOA,COA,2043,0
RE1,DEMPWRCOA,COA,2044,0
RE1,DEMPWRCOA,COA,2045,0
RE1,DEMPWRCOA,COA,2046,0
RE1,DEMPWRCOA,COA,2047,0
RE1,DEMPWRCOA,COA,2048,0
RE1,DEMPWRCOA,COA,2049,0
RE1,DEMPWRCOA,COA,2050,0
RE1,DEMPWRDSL,DSL,2017,0
RE1,DEMPWRDSL,DSL,2018,0
RE1,DEMPWRDSL,DSL,2019,0
RE1,DEMPWRDSL,DSL,2020,0
RE1,DEMPWRDSL,DSL,2021,0
RE1,DEMPWRDSL,DSL,2022,0
RE1,DEMPWRDSL,DSL,2023,0
RE1,DEMPWRDSL,DSL,2024,0
RE1,DEMPWRDSL,DSL,2025,0
RE1,DEMPWRDSL,DSL,2026,0
RE1,DEMPWRDSL,DSL,2027,0
RE1,DEMPWRDSL,DSL,2028,0
RE1,DEMPWRDSL,DSL,2029,0
RE1,DEMPWRDSL,DSL,2030,0
RE1,DEMPWRDSL,DSL,2031,0
RE1,DEMPWRDSL,DSL,2032,0
RE1,DEMPWRDSL,DSL,2033,0
RE1,DEMPWRDSL,DSL,2034,0
RE1,DEMPWRDSL,DSL,2035,0
RE1,DEMPWRDSL,DSL,2036,0
RE1,DEMPWRDSL,DSL,2037,0
RE1,DEMPWRDSL,DSL,2038,0
RE1,DEMPWRDSL,DSL,2039,0
RE1,DEMPWRDSL,DSL,2040,0
RE1,DEMPWRDSL,DSL,2041,0
RE1,DEMPWRDSL,DSL,2042,0
RE1,DEMPWRDSL,DSL,2043,0
RE1,DEMPWRDSL,DSL,2044,0
RE1,DEMPWRDSL,DSL,2045,0
RE1,DEMPWRDSL,DSL,2046,0
RE1,DEMPWRDSL,DSL,2047,0
RE1,DEMPWRDSL,DSL,2048,0
RE1,DEMPWRDSL,DSL,2049,0
RE1,DEMPWRDSL,DSL,2050,0
RE1,DEMPWRGEO,GEO,2017,0
RE1,DEMPWRGEO,GEO,2018,0
RE1,DEMPWRGEO,GEO,2019,0
