Sc,Tech,Emis,UnitId,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,MoId
SC_0,MINCOA,CO2,MTon/PJ,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1
SC_0,MINGAS,CO2,MTon/PJ,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1
