r,l,f,y,Demand
"RE1","S11","COA",2020,0
"RE1","S11","COA",2021,0
"RE1","S11","COA",2022,0
"RE1","S11","COA",2023,0
"RE1","S11","COA",2024,0
"RE1","S11","COA",2025,0
"RE1","S11","COA",2026,0
"RE1","S11","COA",2027,0
"RE1","S11","COA",2028,0
"RE1","S11","COA",2029,0
"RE1","S11","COA",2030,0
"RE1","S11","COA",2031,0
"RE1","S11","COA",2032,0
"RE1","S11","COA",2033,0
"RE1","S11","COA",2034,0
"RE1","S11","COA",2035,0
"RE1","S11","COA",2036,0
"RE1","S11","COA",2037,0
"RE1","S11","COA",2038,0
"RE1","S11","COA",2039,0
"RE1","S11","COA",2040,0
"RE1","S11","GAS",2020,0
"RE1","S11","GAS",2021,0
"RE1","S11","GAS",2022,0
"RE1","S11","GAS",2023,0
"RE1","S11","GAS",2024,0
"RE1","S11","GAS",2025,0
"RE1","S11","GAS",2026,0
"RE1","S11","GAS",2027,0
"RE1","S11","GAS",2028,0
"RE1","S11","GAS",2029,0
"RE1","S11","GAS",2030,0
"RE1","S11","GAS",2031,0
"RE1","S11","GAS",2032,0
"RE1","S11","GAS",2033,0
"RE1","S11","GAS",2034,0
"RE1","S11","GAS",2035,0
"RE1","S11","GAS",2036,0
"RE1","S11","GAS",2037,0
"RE1","S11","GAS",2038,0
"RE1","S11","GAS",2039,0
"RE1","S11","GAS",2040,0
"RE1","S11","ELC001",2020,0
"RE1","S11","ELC001",2021,0
"RE1","S11","ELC001",2022,0
"RE1","S11","ELC001",2023,0
"RE1","S11","ELC001",2024,0
"RE1","S11","ELC001",2025,0
"RE1","S11","ELC001",2026,0
"RE1","S11","ELC001",2027,0
"RE1","S11","ELC001",2028,0
"RE1","S11","ELC001",2029,0
"RE1","S11","ELC001",2030,0
"RE1","S11","ELC001",2031,0
"RE1","S11","ELC001",2032,0
"RE1","S11","ELC001",2033,0
"RE1","S11","ELC001",2034,0
"RE1","S11","ELC001",2035,0
"RE1","S11","ELC001",2036,0
"RE1","S11","ELC001",2037,0
