r,t,f,y,UseByTechnologyAnnual
RE1,PWRGAS,GAS,2020,57.8167
RE1,PWRGAS,GAS,2021,59.5512
RE1,PWRGAS,GAS,2022,61.3377
RE1,PWRGAS,GAS,2023,63.1778
RE1,PWRGAS,GAS,2024,65.0732
RE1,PWRGAS,GAS,2025,67.0254
RE1,PWRGAS,GAS,2026,69.0361
RE1,PWRGAS,GAS,2027,71.1072
RE1,PWRGAS,GAS,2028,73.2404
RE1,PWRGAS,GAS,2029,75.4376
RE1,PWRGAS,GAS,2030,77.7008
RE1,PWRGAS,GAS,2031,80.0318
RE1,PWRGAS,GAS,2032,82.4327
RE1,PWRGAS,GAS,2033,84.9057
RE1,PWRGAS,GAS,2034,87.4529
RE1,PWRGAS,GAS,2035,90.0765
RE1,PWRGAS,GAS,2036,92.7788
RE1,PWRGAS,GAS,2037,95.5621
RE1,PWRGAS,GAS,2038,98.429
RE1,PWRGAS,GAS,2039,101.3819
RE1,PWRGAS,GAS,2040,104.4233
RE1,PWRHYD,HYD,2020,70.2363
RE1,PWRHYD,HYD,2021,72.3434
RE1,PWRHYD,HYD,2022,74.5137
RE1,PWRHYD,HYD,2023,76.7491
RE1,PWRHYD,HYD,2024,79.0515
RE1,PWRHYD,HYD,2025,81.4231
RE1,PWRHYD,HYD,2026,83.8658
RE1,PWRHYD,HYD,2027,86.3818
RE1,PWRHYD,HYD,2028,88.9732
RE1,PWRHYD,HYD,2029,91.6424
RE1,PWRHYD,HYD,2030,94.3917
RE1,PWRHYD,HYD,2031,97.2235
RE1,PWRHYD,HYD,2032,100.1401
RE1,PWRHYD,HYD,2033,103.1443
RE1,PWRHYD,HYD,2034,106.2387
RE1,PWRHYD,HYD,2035,109.4258
RE1,PWRHYD,HYD,2036,112.7086
RE1,PWRHYD,HYD,2037,116.0898
RE1,PWRHYD,HYD,2038,119.5726
RE1,PWRHYD,HYD,2039,123.1597
RE1,PWRHYD,HYD,2040,126.8545
RE1,PWRSOL,SOL,2020,9.8685
RE1,PWRSOL,SOL,2021,10.1646
RE1,PWRSOL,SOL,2022,10.4695
RE1,PWRSOL,SOL,2023,10.7836
RE1,PWRSOL,SOL,2024,11.1071
RE1,PWRSOL,SOL,2025,11.4403
RE1,PWRSOL,SOL,2026,11.7835
RE1,PWRSOL,SOL,2027,12.1371
RE1,PWRSOL,SOL,2028,12.5012
RE1,PWRSOL,SOL,2029,12.8762
RE1,PWRSOL,SOL,2030,13.2625
RE1,PWRSOL,SOL,2031,13.6604
RE1,PWRSOL,SOL,2032,14.0702
RE1,PWRSOL,SOL,2033,14.4923
RE1,PWRSOL,SOL,2034,14.927
RE1,PWRSOL,SOL,2035,15.3749
RE1,PWRSOL,SOL,2036,15.8361
RE1,PWRSOL,SOL,2037,16.3112
RE1,PWRSOL,SOL,2038,16.8005
RE1,PWRSOL,SOL,2039,17.3045
RE1,PWRSOL,SOL,2040,17.8237
RE1,PWRTRN,ELC001,2020,99.1446
RE1,PWRTRN,ELC001,2021,102.1189
RE1,PWRTRN,ELC001,2022,105.1825
RE1,PWRTRN,ELC001,2023,108.338
RE1,PWRTRN,ELC001,2024,111.5882
RE1,PWRTRN,ELC001,2025,114.9358
RE1,PWRTRN,ELC001,2026,118.3839
RE1,PWRTRN,ELC001,2027,121.9354
RE1,PWRTRN,ELC001,2028,125.5934
RE1,PWRTRN,ELC001,2029,129.3612
RE1,PWRTRN,ELC001,2030,133.2421
RE1,PWRTRN,ELC001,2031,137.2393
RE1,PWRTRN,ELC001,2032,141.3565
RE1,PWRTRN,ELC001,2033,145.5972
RE1,PWRTRN,ELC001,2034,149.9651
RE1,PWRTRN,ELC001,2035,154.4641
RE1,PWRTRN,ELC001,2036,159.098
RE1,PWRTRN,ELC001,2037,163.8709
RE1,PWRTRN,ELC001,2038,168.7871
RE1,PWRTRN,ELC001,2039,173.8507
RE1,PWRTRN,ELC001,2040,179.0662
