r,s,y,NewStorageCapacity
RE1,STG_1,2026,6.3201
RE1,STG_1,2027,6.2491
RE1,STG_1,2028,1.4673
RE1,STG_1,2029,1.9132
RE1,STG_1,2030,1.6187
RE1,STG_1,2031,1.7497
RE1,STG_1,2032,1.8979
RE1,STG_1,2033,1.7122
RE1,STG_1,2034,2.2519
RE1,STG_1,2035,2.108
