r,s,y,AccumulatedNewStorageCapacity
RE1,STG_1,2026,6.3201
RE1,STG_1,2027,12.5692
RE1,STG_1,2028,14.0366
RE1,STG_1,2029,15.9497
RE1,STG_1,2030,17.5685
RE1,STG_1,2031,19.3181
RE1,STG_1,2032,21.216
RE1,STG_1,2033,22.9282
RE1,STG_1,2034,25.1801
RE1,STG_1,2035,27.2881
