r,t,l,y,RateOfTotalActivity
RE1,MINCOA,S11,2020,316.4439
RE1,MINCOA,S11,2021,378.432
RE1,MINCOA,S11,2022,378.432
RE1,MINCOA,S11,2023,378.432
RE1,MINCOA,S11,2024,378.432
RE1,MINCOA,S11,2025,363.6515
RE1,MINCOA,S11,2026,209.4891
RE1,MINCOA,S11,2027,244.9484
RE1,MINCOA,S11,2028,209.4891
RE1,MINCOA,S11,2029,209.4891
RE1,MINCOA,S11,2030,189.216
RE1,MINCOA,S11,2031,189.216
RE1,MINCOA,S11,2032,189.216
RE1,MINCOA,S11,2033,189.216
RE1,MINCOA,S11,2034,104.7446
RE1,MINCOA,S11,2035,104.7446
RE1,MINCOA,S12,2020,324.3103
RE1,MINCOA,S12,2021,378.432
RE1,MINCOA,S12,2022,378.432
RE1,MINCOA,S12,2023,378.432
RE1,MINCOA,S12,2024,378.432
RE1,MINCOA,S12,2025,378.432
RE1,MINCOA,S12,2026,378.432
RE1,MINCOA,S12,2027,307.5136
RE1,MINCOA,S12,2028,378.432
RE1,MINCOA,S12,2029,378.432
RE1,MINCOA,S12,2030,189.216
RE1,MINCOA,S12,2031,189.216
RE1,MINCOA,S12,2032,20.2731
RE1,MINCOA,S12,2033,20.2731
RE1,MINCOA,S12,2034,189.216
RE1,MINCOA,S12,2035,189.216
RE1,MINCOA,S21,2020,324.3103
RE1,MINCOA,S21,2021,255.3154
RE1,MINCOA,S21,2022,227.5252
RE1,MINCOA,S21,2023,206.9371
RE1,MINCOA,S21,2024,206.9371
RE1,MINCOA,S21,2025,221.941
RE1,MINCOA,S21,2026,378.432
RE1,MINCOA,S21,2027,378.432
RE1,MINCOA,S21,2028,378.432
RE1,MINCOA,S21,2029,378.432
RE1,MINCOA,S21,2030,189.216
RE1,MINCOA,S21,2031,189.216
RE1,MINCOA,S21,2032,189.216
RE1,MINCOA,S21,2033,189.216
RE1,MINCOA,S21,2034,189.216
RE1,MINCOA,S21,2035,189.216
RE1,MINCOA,S22,2020,324.3103
RE1,MINCOA,S22,2021,281.3822
RE1,MINCOA,S22,2022,337.1311
RE1,MINCOA,S22,2023,378.432
RE1,MINCOA,S22,2024,378.432
RE1,MINCOA,S22,2025,378.432
RE1,MINCOA,S22,2026,378.432
RE1,MINCOA,S22,2027,378.432
RE1,MINCOA,S22,2028,378.432
RE1,MINCOA,S22,2029,378.432
RE1,MINCOA,S22,2030,17.2015
RE1,MINCOA,S22,2031,17.2015
RE1,MINCOA,S22,2032,189.216
RE1,MINCOA,S22,2033,189.216
RE1,MINCOA,S22,2034,189.216
RE1,MINCOA,S22,2035,189.216
RE1,MINGAS,S11,2021,33.6105
RE1,MINGAS,S11,2022,67.6087
RE1,MINGAS,S11,2023,98.4799
RE1,MINGAS,S11,2024,129.291
RE1,MINGAS,S11,2025,121.9324
RE1,MINGAS,S11,2026,273.4284
RE1,MINGAS,S11,2027,298.4466
RE1,MINGAS,S11,2028,363.526
RE1,MINGAS,S11,2029,409.4488
RE1,MINGAS,S11,2030,470.2282
RE1,MINGAS,S11,2031,519.0315
RE1,MINGAS,S11,2032,628.533
RE1,MINGAS,S11,2033,626.1861
RE1,MINGAS,S11,2034,741.7944
RE1,MINGAS,S11,2035,802.5426
RE1,MINGAS,S12,2020,2.9447
RE1,MINGAS,S12,2022,18.9684
RE1,MINGAS,S12,2023,49.7735
RE1,MINGAS,S12,2024,80.4991
RE1,MINGAS,S12,2025,213.333
RE1,MINGAS,S12,2026,262.3948
RE1,MINGAS,S12,2027,358.6214
RE1,MINGAS,S12,2028,352.8045
RE1,MINGAS,S12,2029,398.7985
RE1,MINGAS,S12,2030,572.2367
RE1,MINGAS,S12,2031,621.0964
RE1,MINGAS,S12,2032,673.2335
RE1,MINGAS,S12,2033,841.03
RE1,MINGAS,S12,2034,787.8504
RE1,MINGAS,S12,2035,848.7062
RE1,MINGAS,S21,2020,108.1192
RE1,MINGAS,S21,2021,169.7023
RE1,MINGAS,S21,2022,232.9052
RE1,MINGAS,S21,2023,292.4104
RE1,MINGAS,S21,2024,339.7978
RE1,MINGAS,S21,2025,378.432
RE1,MINGAS,S21,2026,315.36
RE1,MINGAS,S21,2027,358.6214
RE1,MINGAS,S21,2028,412.9669
RE1,MINGAS,S21,2029,473.2728
RE1,MINGAS,S21,2030,661.3721
RE1,MINGAS,S21,2031,725.3088
RE1,MINGAS,S21,2032,794.5232
RE1,MINGAS,S21,2033,866.1244
RE1,MINGAS,S21,2034,943.6742
RE1,MINGAS,S21,2035,1023.3966
RE1,MINGAS,S22,2020,19.9947
RE1,MINGAS,S22,2023,10.2547
RE1,MINGAS,S22,2024,49.6215
RE1,MINGAS,S22,2025,89.742
RE1,MINGAS,S22,2026,121.4407
RE1,MINGAS,S22,2027,155.1397
RE1,MINGAS,S22,2028,199.4783
RE1,MINGAS,S22,2029,248.822
RE1,MINGAS,S22,2030,540.1194
RE1,MINGAS,S22,2031,592.1
RE1,MINGAS,S22,2032,533.7406
RE1,MINGAS,S22,2033,592.8908
RE1,MINGAS,S22,2034,655.5461
RE1,MINGAS,S22,2035,720.6416
RE1,PWRGAS,S11,2021,16.8052
RE1,PWRGAS,S11,2022,33.8044
RE1,PWRGAS,S11,2023,49.2399
RE1,PWRGAS,S11,2024,64.6455
RE1,PWRGAS,S11,2025,60.9662
RE1,PWRGAS,S11,2026,136.7142
RE1,PWRGAS,S11,2027,149.2233
RE1,PWRGAS,S11,2028,181.763
RE1,PWRGAS,S11,2029,204.7244
RE1,PWRGAS,S11,2030,235.1141
RE1,PWRGAS,S11,2031,259.5157
RE1,PWRGAS,S11,2032,314.2665
RE1,PWRGAS,S11,2033,313.093
RE1,PWRGAS,S11,2034,370.8972
RE1,PWRGAS,S11,2035,401.2713
RE1,PWRGAS,S12,2020,1.4724
RE1,PWRGAS,S12,2022,9.4842
RE1,PWRGAS,S12,2023,24.8867
RE1,PWRGAS,S12,2024,40.2496
RE1,PWRGAS,S12,2025,106.6665
RE1,PWRGAS,S12,2026,131.1974
RE1,PWRGAS,S12,2027,179.3107
RE1,PWRGAS,S12,2028,176.4023
RE1,PWRGAS,S12,2029,199.3992
RE1,PWRGAS,S12,2030,286.1183
RE1,PWRGAS,S12,2031,310.5482
RE1,PWRGAS,S12,2032,336.6168
RE1,PWRGAS,S12,2033,420.515
RE1,PWRGAS,S12,2034,393.9252
RE1,PWRGAS,S12,2035,424.3531
RE1,PWRGAS,S21,2020,54.0596
RE1,PWRGAS,S21,2021,84.8511
RE1,PWRGAS,S21,2022,116.4526
RE1,PWRGAS,S21,2023,146.2052
RE1,PWRGAS,S21,2024,169.8989
RE1,PWRGAS,S21,2025,189.216
RE1,PWRGAS,S21,2026,157.68
RE1,PWRGAS,S21,2027,179.3107
RE1,PWRGAS,S21,2028,206.4834
RE1,PWRGAS,S21,2029,236.6364
RE1,PWRGAS,S21,2030,330.686
RE1,PWRGAS,S21,2031,362.6544
RE1,PWRGAS,S21,2032,397.2616
RE1,PWRGAS,S21,2033,433.0622
RE1,PWRGAS,S21,2034,471.8371
RE1,PWRGAS,S21,2035,511.6983
RE1,PWRGAS,S22,2020,9.9973
RE1,PWRGAS,S22,2023,5.1274
RE1,PWRGAS,S22,2024,24.8108
RE1,PWRGAS,S22,2025,44.871
RE1,PWRGAS,S22,2026,60.7204
RE1,PWRGAS,S22,2027,77.5699
RE1,PWRGAS,S22,2028,99.7392
RE1,PWRGAS,S22,2029,124.411
RE1,PWRGAS,S22,2030,270.0597
RE1,PWRGAS,S22,2031,296.05
RE1,PWRGAS,S22,2032,266.8703
RE1,PWRGAS,S22,2033,296.4454
RE1,PWRGAS,S22,2034,327.7731
RE1,PWRGAS,S22,2035,360.3208
RE1,PWRCOA,S11,2020,105.4813
RE1,PWRCOA,S11,2021,126.144
RE1,PWRCOA,S11,2022,126.144
RE1,PWRCOA,S11,2023,126.144
RE1,PWRCOA,S11,2024,126.144
RE1,PWRCOA,S11,2025,121.2172
RE1,PWRCOA,S11,2026,69.8297
RE1,PWRCOA,S11,2027,81.6495
RE1,PWRCOA,S11,2028,69.8297
RE1,PWRCOA,S11,2029,69.8297
RE1,PWRCOA,S11,2030,63.072
