r,t,y,AnnualFixedOperatingCost
RE1,PWRGAS,2020,162.0
RE1,PWRGAS,2021,162.0
RE1,PWRGAS,2022,162.0
RE1,PWRGAS,2023,162.0
RE1,PWRGAS,2024,162.0
RE1,PWRGAS,2025,162.0
RE1,PWRGAS,2026,150.2026
RE1,PWRGAS,2027,173.84
RE1,PWRGAS,2028,198.103
RE1,PWRGAS,2029,225.3126
RE1,PWRGAS,2030,306.8034
RE1,PWRGAS,2031,335.6099
RE1,PWRGAS,2032,366.8019
RE1,PWRGAS,2033,399.29
RE1,PWRGAS,2034,434.0871
RE1,PWRGAS,2035,470.0684
RE1,PWRCOA,2020,288.0
RE1,PWRCOA,2021,288.0
RE1,PWRCOA,2022,288.0
RE1,PWRCOA,2023,288.0
RE1,PWRCOA,2024,288.0
RE1,PWRCOA,2025,288.0
RE1,PWRCOA,2026,288.0
RE1,PWRCOA,2027,288.0
RE1,PWRCOA,2028,288.0
RE1,PWRCOA,2029,288.0
RE1,PWRCOA,2030,144.0
RE1,PWRCOA,2031,144.0
RE1,PWRCOA,2032,144.0
RE1,PWRCOA,2033,144.0
RE1,PWRCOA,2034,144.0
RE1,PWRCOA,2035,144.0
RE1,PWRTRN,2020,192.0
RE1,PWRTRN,2021,192.0
RE1,PWRTRN,2022,197.4821
RE1,PWRTRN,2023,214.6588
RE1,PWRTRN,2024,231.8045
RE1,PWRTRN,2025,250.0378
RE1,PWRTRN,2026,270.3613
RE1,PWRTRN,2027,290.6918
RE1,PWRTRN,2028,312.1146
RE1,PWRTRN,2029,335.6229
RE1,PWRTRN,2030,360.1904
RE1,PWRTRN,2031,385.7901
RE1,PWRTRN,2032,413.503
RE1,PWRTRN,2033,442.2846
RE1,PWRTRN,2034,473.2098
RE1,PWRTRN,2035,505.1804
RE1,LNDMAIRNF,2020,287.0
RE1,LNDMAIRNF,2021,258.3
RE1,LNDMAIRNF,2022,229.6
RE1,LNDMAIRNF,2023,241.5865
RE1,LNDMAIRNF,2024,253.7795
RE1,LNDMAIRNF,2025,268.2126
RE1,LNDMAIRNF,2026,280.3115
RE1,LNDMAIRNF,2027,292.711
RE1,LNDMAIRNF,2028,307.3506
RE1,LNDMAIRNF,2029,321.9901
RE1,LNDMAIRNF,2030,336.8362
RE1,LNDMAIRNF,2031,348.4808
RE1,LNDMAIRNF,2032,360.1255
RE1,LNDMAIRNF,2033,371.7701
RE1,LNDMAIRNF,2034,383.4148
RE1,LNDMAIRNF,2035,395.3382
RE1,LNDRICRNF,2020,156.53
RE1,LNDRICRNF,2021,140.91
RE1,LNDRICRNF,2022,125.18
RE1,LNDRICRNF,2023,109.56
RE1,LNDRICRNF,2024,93.94
RE1,LNDRICRNF,2025,78.21
RE1,LNDRICRNF,2026,62.59
RE1,LNDRICRNF,2027,46.97
RE1,LNDRICRNF,2028,31.35
RE1,LNDRICRNF,2029,15.62
RE1,LNDMAIIRR,2020,25.8224
RE1,LNDMAIIRR,2021,56.0782
RE1,LNDMAIIRR,2022,86.5007
RE1,LNDMAIIRR,2023,83.9167
RE1,LNDMAIIRR,2024,81.3327
RE1,LNDMAIIRR,2025,78.7487
RE1,LNDMAIIRR,2026,76.2407
RE1,LNDMAIIRR,2027,73.6567
RE1,LNDMAIIRR,2028,71.0727
RE1,LNDMAIIRR,2029,68.4887
RE1,LNDMAIIRR,2030,65.9047
RE1,LNDMAIIRR,2031,65.9047
RE1,LNDMAIIRR,2032,65.9047
RE1,LNDMAIIRR,2033,65.9047
RE1,LNDMAIIRR,2034,65.9047
RE1,LNDMAIIRR,2035,65.8463
RE1,LNDRICIRR,2020,77.5459
RE1,LNDRICIRR,2021,92.0185
RE1,LNDRICIRR,2022,108.8962
RE1,LNDRICIRR,2023,125.051
RE1,LNDRICIRR,2024,141.0039
RE1,LNDRICIRR,2025,156.455
RE1,LNDRICIRR,2026,171.5211
RE1,LNDRICIRR,2027,186.1443
RE1,LNDRICIRR,2028,200.4546
RE1,LNDRICIRR,2029,214.4978
RE1,LNDRICIRR,2030,228.0691
RE1,LNDRICIRR,2031,232.6175
RE1,LNDRICIRR,2032,237.2958
RE1,LNDRICIRR,2033,242.1042
RE1,LNDRICIRR,2034,246.9124
RE1,LNDRICIRR,2035,251.8507
RE1,PWRHYD,2020,189.0
RE1,PWRHYD,2021,189.0
RE1,PWRHYD,2022,189.0
RE1,PWRHYD,2023,189.0
RE1,PWRHYD,2024,189.0
RE1,PWRHYD,2025,189.0
RE1,PWRHYD,2026,189.0
RE1,PWRHYD,2027,189.0
RE1,PWRHYD,2028,189.0
RE1,PWRHYD,2029,189.0
RE1,PWRHYD,2030,189.0
RE1,PWRHYD,2031,189.0
RE1,PWRHYD,2032,189.0
RE1,PWRHYD,2033,189.0
RE1,PWRHYD,2034,189.0
RE1,PWRHYD,2035,189.0
RE1,PWRSOL,2020,19.0
RE1,PWRSOL,2021,19.0
RE1,PWRSOL,2022,19.0
RE1,PWRSOL,2023,19.0
RE1,PWRSOL,2024,19.0
RE1,PWRSOL,2025,19.0
RE1,PWRSOL,2026,19.0
RE1,PWRSOL,2027,19.0
RE1,PWRSOL,2028,19.0
RE1,PWRSOL,2029,19.0
RE1,PWRSOL,2030,19.0
RE1,PWRSOL,2031,19.0
RE1,PWRSOL,2032,19.0
RE1,PWRSOL,2033,19.0
RE1,PWRSOL,2034,19.0
RE1,PWRSOL,2035,19.0
RE1,PWRWND,2020,64.5
RE1,PWRWND,2021,64.5
RE1,PWRWND,2022,64.5
RE1,PWRWND,2023,64.5
RE1,PWRWND,2024,64.5
RE1,PWRWND,2025,64.5
RE1,PWRWND,2026,64.5
RE1,PWRWND,2027,64.5
RE1,PWRWND,2028,64.5
RE1,PWRWND,2029,64.5
RE1,PWRWND,2030,64.5
RE1,PWRWND,2031,64.5
RE1,PWRWND,2032,64.5
RE1,PWRWND,2033,64.5
RE1,PWRWND,2034,64.5
RE1,PWRWND,2035,64.5
RE1,DEMAGRSURWAT,2020,2.0
RE1,DEMAGRSURWAT,2021,1.8
RE1,DEMAGRSURWAT,2022,1.6
RE1,DEMAGRSURWAT,2023,1.6711
RE1,DEMAGRSURWAT,2024,1.9579
RE1,DEMAGRSURWAT,2025,2.3052
RE1,DEMAGRSURWAT,2026,2.5946
RE1,DEMAGRSURWAT,2027,2.8822
RE1,DEMAGRSURWAT,2028,3.2375
RE1,DEMAGRSURWAT,2029,3.5281
RE1,DEMAGRSURWAT,2030,3.8168
RE1,DEMAGRSURWAT,2031,3.8712
RE1,DEMAGRSURWAT,2032,3.9271
RE1,DEMAGRSURWAT,2033,3.9846
RE1,DEMAGRSURWAT,2034,4.1169
RE1,DEMAGRSURWAT,2035,4.176
RE1,DEMAGRGWTWAT,2020,1.5
RE1,DEMAGRGWTWAT,2021,2.7
RE1,DEMAGRGWTWAT,2022,2.4
RE1,DEMAGRGWTWAT,2023,2.1
RE1,DEMAGRGWTWAT,2024,1.8
RE1,DEMAGRGWTWAT,2025,1.5
RE1,DEMAGRGWTWAT,2026,1.2
RE1,DEMAGRGWTWAT,2027,0.9
RE1,DEMAGRGWTWAT,2028,0.6
RE1,DEMAGRGWTWAT,2029,0.3
RE1,DEMPWRSURWAT,2020,0.2029
RE1,DEMPWRSURWAT,2021,0.2184
RE1,DEMPWRSURWAT,2022,0.2395
RE1,DEMPWRSURWAT,2023,0.2639
RE1,DEMPWRSURWAT,2024,0.2897
RE1,DEMPWRSURWAT,2025,0.3195
RE1,DEMPWRSURWAT,2026,0.357
RE1,DEMPWRSURWAT,2027,0.3873
RE1,DEMPWRSURWAT,2028,0.4185
RE1,DEMPWRSURWAT,2029,0.4535
RE1,DEMPWRSURWAT,2030,0.4762
RE1,DEMPWRSURWAT,2031,0.5132
RE1,DEMPWRSURWAT,2032,0.5533
RE1,DEMPWRSURWAT,2033,0.595
RE1,DEMPWRSURWAT,2034,0.6397
RE1,DEMPWRSURWAT,2035,0.6859
RE1,DEMPUBSURWAT,2020,3.32
RE1,DEMPUBSURWAT,2021,3.732
RE1,DEMPUBSURWAT,2022,4.2238
RE1,DEMPUBSURWAT,2023,4.7289
RE1,DEMPUBSURWAT,2024,5.254
RE1,DEMPUBSURWAT,2025,5.8057
RE1,DEMPUBSURWAT,2026,6.3773
RE1,DEMPUBSURWAT,2027,6.9688
RE1,DEMPUBSURWAT,2028,7.5936
RE1,DEMPUBSURWAT,2029,8.2383
RE1,DEMPUBSURWAT,2030,8.9163
RE1,DEMPUBSURWAT,2031,9.6208
RE1,DEMPUBSURWAT,2032,10.3519
RE1,DEMPUBSURWAT,2033,11.1163
RE1,DEMPUBSURWAT,2034,11.9138
RE1,DEMPUBSURWAT,2035,12.7513
RE1,DEMPUBGWTWAT,2020,14.94
RE1,DEMPUBGWTWAT,2021,14.94
RE1,DEMPUBGWTWAT,2022,14.94
RE1,DEMPUBGWTWAT,2023,14.94
RE1,DEMPUBGWTWAT,2024,14.94
RE1,DEMPUBGWTWAT,2025,14.94
RE1,DEMPUBGWTWAT,2026,14.94
RE1,DEMPUBGWTWAT,2027,14.94
RE1,DEMPUBGWTWAT,2028,14.94
RE1,DEMPUBGWTWAT,2029,14.94
RE1,DEMPUBGWTWAT,2030,14.94
RE1,DEMPUBGWTWAT,2031,14.94
RE1,DEMPUBGWTWAT,2032,14.94
RE1,DEMPUBGWTWAT,2033,14.94
RE1,DEMPUBGWTWAT,2034,14.94
RE1,DEMPUBGWTWAT,2035,14.94
