r,s,y,StorageUpperLimit
RE1,STG_1,2020,50.0
RE1,STG_1,2021,50.0
RE1,STG_1,2022,50.0
RE1,STG_1,2023,50.0
RE1,STG_1,2024,50.0
RE1,STG_1,2025,50.0
RE1,STG_1,2026,56.3201
RE1,STG_1,2027,62.5692
RE1,STG_1,2028,64.0366
RE1,STG_1,2029,65.9497
RE1,STG_1,2030,67.5685
RE1,STG_1,2031,69.3181
RE1,STG_1,2032,71.216
RE1,STG_1,2033,72.9282
RE1,STG_1,2034,75.1801
RE1,STG_1,2035,77.2881
