r,t,TotalTechnologyModelPeriodActivity
RE1,MINCOA,4181.6736
RE1,MINGAS,6325.223
RE1,PWRGAS,3162.6115
RE1,PWRCOA,1393.8912
RE1,PWRTRN,5341.1806
RE1,RSCLND,4799.5
RE1,LNDMAIRNF,22.55
RE1,LNDRICRNF,7.7923
RE1,LNDMAIIRR,50.1034
RE1,LNDRICIRR,20.6556
RE1,LNDFOR,4035.906
RE1,LNDBLT,258.9
RE1,LNDWAT,400.336
RE1,RSCPRC,5293.9722
RE1,RSCHYD,1463.8807
RE1,RSCSOL,111.2388
RE1,RSCWND,272.3197
RE1,PWRHYD,512.3582
RE1,PWRSOL,111.2388
RE1,PWRWND,272.3197
RE1,DEMAGRDSL,43.5926
RE1,DEMAGRSURWAT,45.0069
RE1,DEMAGRGWTWAT,1.6662
RE1,DEMPWRSURWAT,1.3227
RE1,DEMPUBSURWAT,24.4158
RE1,DEMPUBGWTWAT,8.2715
RE1,DEMTRABIO,23.7796
