r,s,y,StorageLevelYearStart
RE1,STG_1,2026,3.1601
RE1,STG_1,2027,6.2846
RE1,STG_1,2028,7.0183
RE1,STG_1,2029,7.9749
RE1,STG_1,2030,8.7842
RE1,STG_1,2031,9.6591
RE1,STG_1,2032,10.608
RE1,STG_1,2033,11.4641
RE1,STG_1,2034,12.5901
RE1,STG_1,2035,13.6441
