r,s,ls,ld,y,StorageLevelDayTypeFinish
RE1,STG_1,1,1,2021,4.9791
RE1,STG_1,1,1,2025,50.0
RE1,STG_1,1,1,2026,56.3201
RE1,STG_1,1,1,2027,62.5692
RE1,STG_1,1,1,2028,64.0366
RE1,STG_1,1,1,2029,65.9497
RE1,STG_1,1,1,2030,67.5685
RE1,STG_1,1,1,2031,69.3181
RE1,STG_1,1,1,2032,14.5756
RE1,STG_1,1,1,2033,72.9282
RE1,STG_1,1,1,2034,75.1801
RE1,STG_1,1,1,2035,77.2881
