r,t,y,DiscountedSalvageValue
RE1,MINCOA,2020,0.0005
RE1,MINGAS,2020,0.0002
RE1,MINGAS,2021,0.0001
RE1,MINGAS,2022,0.0001
RE1,MINGAS,2023,0.0001
RE1,MINGAS,2024,0.0001
RE1,MINGAS,2025,0.0
RE1,MINGAS,2027,0.0001
RE1,MINGAS,2028,0.0001
RE1,MINGAS,2029,0.0001
RE1,MINGAS,2030,0.0004
RE1,MINGAS,2031,0.0002
RE1,MINGAS,2032,0.0002
RE1,MINGAS,2033,0.0002
RE1,MINGAS,2034,0.0002
RE1,MINGAS,2035,0.0002
RE1,PWRGAS,2026,10.1115
RE1,PWRGAS,2027,16.5077
RE1,PWRGAS,2028,17.7514
RE1,PWRGAS,2029,20.8122
RE1,PWRGAS,2030,65.0409
RE1,PWRGAS,2031,46.3971
RE1,PWRGAS,2032,26.9702
RE1,PWRGAS,2033,29.1712
RE1,PWRGAS,2034,32.4017
RE1,PWRGAS,2035,34.701
RE1,PWRTRN,2022,12.4864
RE1,PWRTRN,2023,39.7155
RE1,PWRTRN,2024,40.2353
RE1,PWRTRN,2025,43.417
RE1,PWRTRN,2026,49.0955
RE1,PWRTRN,2027,49.814
RE1,PWRTRN,2028,53.2297
RE1,PWRTRN,2029,59.2228
RE1,PWRTRN,2030,62.739
RE1,PWRTRN,2031,66.2586
RE1,PWRTRN,2032,72.6841
RE1,PWRTRN,2033,76.4805
RE1,PWRTRN,2034,83.2439
RE1,PWRTRN,2035,87.1613
RE1,LNDMAIRNF,2023,0.096
RE1,LNDMAIRNF,2024,0.1447
RE1,LNDMAIRNF,2025,0.2035
RE1,LNDMAIRNF,2026,0.2406
RE1,LNDMAIRNF,2027,0.2909
RE1,LNDMAIRNF,2028,0.3578
RE1,LNDMAIRNF,2029,0.409
RE1,LNDMAIRNF,2030,0.4623
RE1,LNDMAIRNF,2031,0.1374
RE1,LNDMAIRNF,2032,0.1511
RE1,LNDMAIRNF,2033,0.1648
RE1,LNDMAIRNF,2034,0.1786
RE1,LNDMAIRNF,2035,0.1969
RE1,LNDMAIIRR,2022,0.0416
RE1,LNDRICIRR,2022,0.0253
RE1,LNDRICIRR,2023,0.0491
RE1,LNDRICIRR,2024,0.073
RE1,LNDRICIRR,2025,0.0952
RE1,LNDRICIRR,2026,0.1177
RE1,LNDRICIRR,2027,0.1376
RE1,LNDRICIRR,2028,0.1583
RE1,LNDRICIRR,2029,0.1787
RE1,LNDRICIRR,2030,0.1966
RE1,LNDRICIRR,2031,0.0472
RE1,LNDRICIRR,2032,0.0534
RE1,LNDRICIRR,2033,0.0599
RE1,LNDRICIRR,2034,0.0649
RE1,LNDRICIRR,2035,0.1106
RE1,LNDFOR,2021,19.8924
RE1,LNDFOR,2022,23.8856
RE1,LNDFOR,2023,27.7088
RE1,LNDFOR,2024,31.6653
RE1,LNDFOR,2025,35.5845
RE1,LNDFOR,2026,39.7498
RE1,LNDFOR,2027,41.7998
RE1,LNDFOR,2028,49.3642
RE1,LNDFOR,2029,49.2923
RE1,LNDFOR,2030,52.9218
RE1,LNDBLT,2021,34.7396
RE1,LNDBLT,2022,39.2354
RE1,LNDBLT,2023,48.6355
RE1,LNDBLT,2024,52.3138
RE1,LNDBLT,2025,62.5314
RE1,LNDBLT,2026,65.3923
RE1,LNDBLT,2027,76.4272
RE1,LNDBLT,2028,78.4707
RE1,LNDBLT,2029,90.3231
RE1,LNDBLT,2030,97.271
RE1,LNDBLT,2031,6.1305
RE1,LNDBLT,2032,13.0785
RE1,LNDBLT,2033,13.8959
RE1,LNDBLT,2034,7.3566
RE1,LNDBLT,2035,15.5307
RE1,DEMAGRSURWAT,2023,0.0614
RE1,DEMAGRSURWAT,2024,0.1261
