r,s,ls,ld,y,StorageLevelDayTypeStart
RE1,STG_1,1,1,2026,3.1601
RE1,STG_1,1,1,2027,6.2846
RE1,STG_1,1,1,2028,7.0183
RE1,STG_1,1,1,2029,7.9749
RE1,STG_1,1,1,2030,8.7842
RE1,STG_1,1,1,2031,9.6591
RE1,STG_1,1,1,2032,10.608
RE1,STG_1,1,1,2033,11.4641
RE1,STG_1,1,1,2034,12.5901
RE1,STG_1,1,1,2035,13.6441
RE1,STG_1,2,1,2020,2.8357
RE1,STG_1,2,1,2021,12.3318
RE1,STG_1,2,1,2022,12.3318
RE1,STG_1,2,1,2023,12.3318
RE1,STG_1,2,1,2024,12.3318
RE1,STG_1,2,1,2025,12.3318
RE1,STG_1,2,1,2026,18.6142
RE1,STG_1,2,1,2027,24.8259
RE1,STG_1,2,1,2028,26.2845
RE1,STG_1,2,1,2029,28.1862
RE1,STG_1,2,1,2030,29.7953
RE1,STG_1,2,1,2031,31.5345
RE1,STG_1,2,1,2032,33.421
RE1,STG_1,2,1,2033,35.123
RE1,STG_1,2,1,2034,37.3614
RE1,STG_1,2,1,2035,39.4568
