r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,MINCOA,CO2EQ,1,2020,31.0409
RE1,MINCOA,CO2EQ,1,2021,31.0409
RE1,MINCOA,CO2EQ,1,2022,31.0409
RE1,MINCOA,CO2EQ,1,2023,31.0409
RE1,MINCOA,CO2EQ,1,2024,31.0409
RE1,MINCOA,CO2EQ,1,2025,31.0409
RE1,MINCOA,CO2EQ,1,2026,31.0409
RE1,MINCOA,CO2EQ,1,2027,31.0409
RE1,MINCOA,CO2EQ,1,2028,31.0409
RE1,MINCOA,CO2EQ,1,2029,31.0409
RE1,MINCOA,CO2EQ,1,2030,15.5204
RE1,MINCOA,CO2EQ,1,2031,15.5204
RE1,MINCOA,CO2EQ,1,2032,15.5204
RE1,MINCOA,CO2EQ,1,2033,15.5204
RE1,MINCOA,CO2EQ,1,2034,15.5204
RE1,MINCOA,CO2EQ,1,2035,15.5204
RE1,MINCOA,CO2,1,2020,30.9122
RE1,MINCOA,CO2,1,2021,30.9122
RE1,MINCOA,CO2,1,2022,30.9122
RE1,MINCOA,CO2,1,2023,30.9122
RE1,MINCOA,CO2,1,2024,30.9122
RE1,MINCOA,CO2,1,2025,30.9122
RE1,MINCOA,CO2,1,2026,30.9122
RE1,MINCOA,CO2,1,2027,30.9122
RE1,MINCOA,CO2,1,2028,30.9122
RE1,MINCOA,CO2,1,2029,30.9122
RE1,MINCOA,CO2,1,2030,15.4561
RE1,MINCOA,CO2,1,2031,15.4561
RE1,MINCOA,CO2,1,2032,15.4561
RE1,MINCOA,CO2,1,2033,15.4561
RE1,MINCOA,CO2,1,2034,15.4561
RE1,MINCOA,CO2,1,2035,15.4561
RE1,MINGAS,CO2EQ,1,2020,2.2245
RE1,MINGAS,CO2EQ,1,2021,3.7915
RE1,MINGAS,CO2EQ,1,2022,5.7883
RE1,MINGAS,CO2EQ,1,2023,7.8641
RE1,MINGAS,CO2EQ,1,2024,9.9826
RE1,MINGAS,CO2EQ,1,2025,12.1885
RE1,MINGAS,CO2EQ,1,2026,14.6331
RE1,MINGAS,CO2EQ,1,2027,17.1313
RE1,MINGAS,CO2EQ,1,2028,19.7274
RE1,MINGAS,CO2EQ,1,2029,22.6082
RE1,MINGAS,CO2EQ,1,2030,31.5937
RE1,MINGAS,CO2EQ,1,2031,34.648
RE1,MINGAS,CO2EQ,1,2032,37.9544
RE1,MINGAS,CO2EQ,1,2033,41.3748
RE1,MINGAS,CO2EQ,1,2034,45.0793
RE1,MINGAS,CO2EQ,1,2035,48.8877
RE1,MINGAS,CO2,1,2020,2.2205
RE1,MINGAS,CO2,1,2021,3.7848
RE1,MINGAS,CO2,1,2022,5.778
RE1,MINGAS,CO2,1,2023,7.8501
RE1,MINGAS,CO2,1,2024,9.9648
RE1,MINGAS,CO2,1,2025,12.1668
RE1,MINGAS,CO2,1,2026,14.6071
RE1,MINGAS,CO2,1,2027,17.1009
RE1,MINGAS,CO2,1,2028,19.6923
RE1,MINGAS,CO2,1,2029,22.568
RE1,MINGAS,CO2,1,2030,31.5375
RE1,MINGAS,CO2,1,2031,34.5863
RE1,MINGAS,CO2,1,2032,37.8868
RE1,MINGAS,CO2,1,2033,41.3011
RE1,MINGAS,CO2,1,2034,44.9991
RE1,MINGAS,CO2,1,2035,48.8007
RE1,LNDMAIRNF,CO2EQ,1,2020,0.4182
RE1,LNDMAIRNF,CO2EQ,1,2021,0.3764
RE1,LNDMAIRNF,CO2EQ,1,2022,0.3346
RE1,LNDMAIRNF,CO2EQ,1,2023,0.2927
RE1,LNDMAIRNF,CO2EQ,1,2024,0.2509
RE1,LNDMAIRNF,CO2EQ,1,2025,0.2091
RE1,LNDMAIRNF,CO2EQ,1,2026,0.1673
RE1,LNDMAIRNF,CO2EQ,1,2027,0.1255
RE1,LNDMAIRNF,CO2EQ,1,2028,0.0836
RE1,LNDMAIRNF,CO2EQ,1,2029,0.0418
RE1,LNDMAIRNF,N2O,1,2020,0.0008
RE1,LNDMAIRNF,N2O,1,2021,0.0007
RE1,LNDMAIRNF,N2O,1,2022,0.0007
RE1,LNDMAIRNF,N2O,1,2023,0.0006
RE1,LNDMAIRNF,N2O,1,2024,0.0005
RE1,LNDMAIRNF,N2O,1,2025,0.0004
RE1,LNDMAIRNF,N2O,1,2026,0.0003
RE1,LNDMAIRNF,N2O,1,2027,0.0002
RE1,LNDMAIRNF,N2O,1,2028,0.0002
RE1,LNDMAIRNF,N2O,1,2029,0.0001
RE1,LNDRICRNF,CO2EQ,1,2020,0.2258
RE1,LNDRICRNF,CO2EQ,1,2021,0.2082
RE1,LNDRICRNF,CO2EQ,1,2022,0.1849
RE1,LNDRICRNF,CO2EQ,1,2023,0.1618
RE1,LNDRICRNF,CO2EQ,1,2024,0.1388
RE1,LNDRICRNF,CO2EQ,1,2025,0.1155
RE1,LNDRICRNF,CO2EQ,1,2026,0.0925
RE1,LNDRICRNF,CO2EQ,1,2027,0.0694
RE1,LNDRICRNF,CO2EQ,1,2028,0.0463
RE1,LNDRICRNF,CO2EQ,1,2029,0.0231
RE1,LNDRICRNF,CH4,1,2020,0.0083
RE1,LNDRICRNF,CH4,1,2021,0.0077
RE1,LNDRICRNF,CH4,1,2022,0.0068
RE1,LNDRICRNF,CH4,1,2023,0.006
RE1,LNDRICRNF,CH4,1,2024,0.0051
RE1,LNDRICRNF,CH4,1,2025,0.0043
RE1,LNDRICRNF,CH4,1,2026,0.0034
RE1,LNDRICRNF,CH4,1,2027,0.0026
RE1,LNDRICRNF,CH4,1,2028,0.0017
RE1,LNDRICRNF,CH4,1,2029,0.0009
