Optimal - objective value 10088.59203191
      0 DiscountedSalvageValue(RE1,MINCOA,2020)                                 0.0038433654                      0
     16 DiscountedSalvageValue(RE1,MINGAS,2020)                                 0.0011793204                      0
     17 DiscountedSalvageValue(RE1,MINGAS,2021)                                0.00075631303                      0
     18 DiscountedSalvageValue(RE1,MINGAS,2022)                                0.00089349847                      0
     19 DiscountedSalvageValue(RE1,MINGAS,2023)                                0.00063556167                      0
     20 DiscountedSalvageValue(RE1,MINGAS,2024)                                0.00059112646                      0
     21 DiscountedSalvageValue(RE1,MINGAS,2025)                                0.00026216321                      0
     23 DiscountedSalvageValue(RE1,MINGAS,2027)                                0.00033487629                      0
     24 DiscountedSalvageValue(RE1,MINGAS,2028)                                0.00090105211                      0
     25 DiscountedSalvageValue(RE1,MINGAS,2029)                                 0.0010343829                      0
     26 DiscountedSalvageValue(RE1,MINGAS,2030)                                 0.0033211075                      0
     27 DiscountedSalvageValue(RE1,MINGAS,2031)                                 0.0012217928                      0
     28 DiscountedSalvageValue(RE1,MINGAS,2032)                                  0.001375805                      0
     29 DiscountedSalvageValue(RE1,MINGAS,2033)                                   0.00147779                      0
     30 DiscountedSalvageValue(RE1,MINGAS,2034)                                 0.0016467784                      0
     31 DiscountedSalvageValue(RE1,MINGAS,2035)                                 0.0017635401                      0
     38 DiscountedSalvageValue(RE1,PWRGAS,2026)                                    69.166955                      0
     39 DiscountedSalvageValue(RE1,PWRGAS,2027)                                    123.97569                      0
     40 DiscountedSalvageValue(RE1,PWRGAS,2028)                                    136.71786                      0
     41 DiscountedSalvageValue(RE1,PWRGAS,2029)                                    156.94832                      0
     42 DiscountedSalvageValue(RE1,PWRGAS,2030)                                    503.91613                      0
     43 DiscountedSalvageValue(RE1,PWRGAS,2031)                                    358.94352                      0
     44 DiscountedSalvageValue(RE1,PWRGAS,2032)                                    208.75276                      0
     45 DiscountedSalvageValue(RE1,PWRGAS,2033)                                    224.22708                      0
     46 DiscountedSalvageValue(RE1,PWRGAS,2034)                                    249.86792                      0
     47 DiscountedSalvageValue(RE1,PWRGAS,2035)                                    267.58432                      0
     66 DiscountedSalvageValue(RE1,PWRTRN,2022)                                    94.918002                      0
     67 DiscountedSalvageValue(RE1,PWRTRN,2023)                                     308.9627                      0
     68 DiscountedSalvageValue(RE1,PWRTRN,2024)                                    313.02664                      0
     69 DiscountedSalvageValue(RE1,PWRTRN,2025)                                    337.39557                      0
     70 DiscountedSalvageValue(RE1,PWRTRN,2026)                                    381.59487                      0
     71 DiscountedSalvageValue(RE1,PWRTRN,2027)                                    387.18814                      0
     72 DiscountedSalvageValue(RE1,PWRTRN,2028)                                    413.31268                      0
     73 DiscountedSalvageValue(RE1,PWRTRN,2029)                                     460.1366                      0
     74 DiscountedSalvageValue(RE1,PWRTRN,2030)                                    487.38882                      0
     75 DiscountedSalvageValue(RE1,PWRTRN,2031)                                    512.97195                      0
     76 DiscountedSalvageValue(RE1,PWRTRN,2032)                                    562.65871                      0
     77 DiscountedSalvageValue(RE1,PWRTRN,2033)                                    592.01432                      0
     78 DiscountedSalvageValue(RE1,PWRTRN,2034)                                    643.75134                      0
     79 DiscountedSalvageValue(RE1,PWRTRN,2035)                                    674.62661                      0
    130 DiscountedSalvageValue(RE1,LNDMAIIRR,2022)                                0.32135265                      0
    131 DiscountedSalvageValue(RE1,LNDMAIIRR,2023)                                0.63945996                      0
    132 DiscountedSalvageValue(RE1,LNDMAIIRR,2024)                                0.96405796                      0
