r,l,t,f,y,ProductionByTechnology
RE1,S11,DEMPWRSURWAT,PWRWAT,2020,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2021,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2022,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2023,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2024,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2025,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2026,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2027,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2028,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2029,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2030,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2031,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2032,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2033,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2034,0.0
RE1,S11,DEMPWRSURWAT,PWRWAT,2035,0.0
RE1,S11,LNDBLT,LBLT,2020,4.4554
RE1,S11,LNDBLT,LBLT,2021,4.5891
RE1,S11,LNDBLT,LBLT,2022,4.7228
RE1,S11,LNDBLT,LBLT,2023,4.8564
RE1,S11,LNDBLT,LBLT,2024,5.0347
RE1,S11,LNDBLT,LBLT,2025,5.1683
RE1,S11,LNDBLT,LBLT,2026,5.302
RE1,S11,LNDBLT,LBLT,2027,5.4802
RE1,S11,LNDBLT,LBLT,2028,5.6584
RE1,S11,LNDBLT,LBLT,2029,5.7921
RE1,S11,LNDBLT,LBLT,2030,5.9703
RE1,S11,LNDBLT,LBLT,2031,6.1485
RE1,S11,LNDBLT,LBLT,2032,6.3713
RE1,S11,LNDBLT,LBLT,2033,6.5495
RE1,S11,LNDBLT,LBLT,2034,6.7277
RE1,S11,LNDBLT,LBLT,2035,6.9505
RE1,S11,LNDBLT,WTREVT,2020,3.3416
RE1,S11,LNDBLT,WTREVT,2021,3.4418
RE1,S11,LNDBLT,WTREVT,2022,3.5421
RE1,S11,LNDBLT,WTREVT,2023,3.6423
RE1,S11,LNDBLT,WTREVT,2024,3.776
RE1,S11,LNDBLT,WTREVT,2025,3.8762
